label	path	index_key	n_obs	n_vars	obs_columns	required_obs_columns_present	missing_required_obs_columns	split_usable_columns_present	id_alias_columns_present	perturbation_alias_columns_present	coordinate_alias_columns_present	contract_usable	cell_id_unique	cell_id_head	cell_name_unique	cell_name_head	condition_unique	condition_head	perturbation_unique	perturbation_head	fov_unique	fov_head	x_unique	x_head	y_unique	y_head	z_unique	z_head	dataset_unique	dataset_head
rna	/content/hf_cache/datasets--xingjiepan--PerturbMulti/snapshots/8aac954eb631b68f6e11171a8313db61cc16c38c/RNA_scaled_crispr_screen_20240615.h5ad	id	2206191	209	fov,x,y,global_x,global_y,area,batch,cell_type,cluster_type,singlet_name,singlet_gene,bc3,bc1,n_thresh3,n_thresh1	False	cell_id,cell_name,condition,dataset,perturbation,z	fov	id,_index	singlet_gene,singlet_name,bc1,bc3	fov,x,y,global_x,global_y	True	0		0		0		0		1147	138,604,61,221,512	2206041	-2720.3153415370466,5843.99005344489,-4031.937240120458,-1570.4826412845543,1765.691048670628	2206077	5288.399633599112,5577.074527725294,7263.2725798472975,2084.2767868079004,7085.6163107675375	0		0	
protein	/content/hf_cache/hub/datasets--xingjiepan--PerturbMulti/snapshots/8aac954eb631b68f6e11171a8313db61cc16c38c/protein_intensities_crispr_screen_20240615.h5ad	_index	99294	18	cell_id,condition,cell_name,fov,x,y,z,area,perturbation,top_bc_counts,dataset	True		dataset,fov,cell_name,perturbation	cell_id,_index,cell_name	perturbation	fov,x,y,z	True	99294	0,1,2,3,4	99294	155844328857198891569767177470408245589,87037960057500566910344714542817530155,275154305730943958138352683642239782165,327046536077761088987800153824495004070,85862599036424094053762788041439828612	1	adlib,adlib,adlib,adlib,adlib	508	Pten_gBC_00236,Snip1_gBC_00359,Mtor_gBC_00124,Sf3a2_gBC_00122,Sf3b6_gBC_00088	1129	939,335,518,649,899	99294	3922.2921612573637,-3701.9815633577364,206.25628671180087,1083.347798683804,4371.968540395763	99293	-5031.289005293578,9487.276679620352,1174.6480643016437,3334.6291749905245,11928.290613651336	10	7,0,0,0,0	11	IE48_240531_L7_cas9_proteins_PL109_PL112_M6.zarr,IE46_240529_cas9_L7_40X_protein_PL109_PL112_batch2.zarr,IE43_240501_L7_cas9_proteins_PL109_PL112_M6.zarr,IE42_240429_L7_cas9_proteins_PL109_PL112_M6.zarr,IE47_240531_cas9_L7_40X_protein_PL109_PL112_batch2.zarr
