seed	scale	safe	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	margin_q10_change	mean_margin_change	near_tie_count
3	0.0	True	0.5964334664363728	0.9479116135821665	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0
3	0.025	False	0.5978560336872631	0.9494061335690152	0.5	0.0014225672508902942	0.0014945199868486858	0.0	0.0	13.0	-2.2667956615707308e-05	0.0	35.0
3	0.05	False	0.5992265583394629	0.9508626073705501	0.5	0.0027930919030900725	0.0029509937883835935	0.0	0.0	17.0	-8.096259543088902e-05	0.0	35.0
3	0.1	False	0.601815334578499	0.9536609867925212	0.5	0.005381868142126156	0.005749373210354736	0.0	1.0	19.0	-0.0003859213546576479	0.0	35.0
3	0.15	False	0.6042076066004176	0.9563060780468879	0.5	0.007774140164044763	0.008394464464721474	0.0	3.0	21.0	-0.0007073370093116926	0.0	35.0
3	0.2	False	0.6064112772549507	0.9587975016862893	0.5	0.009977810818577848	0.010885888104122832	0.0	4.0	21.0	-0.000802182043547317	0.0	35.0
3	0.25	False	0.6084342478981832	0.9611351676939992	0.5	0.012000781461810384	0.013223554111832736	0.0	4.0	21.0	-0.0009176951299645353	0.0	35.0
3	0.5	False	0.6161061053832358	0.9705332427600055	0.5	0.019672638946862997	0.022621629177839053	0.0	9.0	25.0	-0.00571926686430041	0.0	35.0
3	0.75	False	0.620340499044463	0.9762241445609574	0.5	0.02390703260809013	0.02831253097879094	0.0	9.0	25.0	-0.0045701308466973845	0.0	35.0
3	1.0	False	0.621853347944064	0.9784580440425229	0.5	0.025419881507691144	0.030546430460356433	0.0	9.0	25.0	-0.0020120759584255077	0.0	35.0
