cp_feature
Cells_AreaShape_Center_X
Cells_AreaShape_Compactness
Cells_AreaShape_Extent
Cells_AreaShape_FormFactor
Cells_AreaShape_Orientation
Cells_AreaShape_Perimeter
Cells_AreaShape_Solidity
Cells_AreaShape_Zernike_1_1
Cells_AreaShape_Zernike_2_0
Cells_AreaShape_Zernike_2_2
Cells_AreaShape_Zernike_3_1
Cells_AreaShape_Zernike_3_3
Cells_AreaShape_Zernike_4_0
Cells_AreaShape_Zernike_4_2
Cells_AreaShape_Zernike_4_4
Cells_AreaShape_Zernike_5_1
Cells_AreaShape_Zernike_5_3
Cells_AreaShape_Zernike_6_0
Cells_AreaShape_Zernike_6_2
Cells_AreaShape_Zernike_6_6
Cells_AreaShape_Zernike_7_1
Cells_AreaShape_Zernike_7_3
Cells_AreaShape_Zernike_7_5
Cells_AreaShape_Zernike_8_0
Cells_AreaShape_Zernike_8_2
Cells_AreaShape_Zernike_8_4
Cells_AreaShape_Zernike_8_8
Cells_AreaShape_Zernike_9_1
Cells_AreaShape_Zernike_9_3
Cells_AreaShape_Zernike_9_5
Cells_Correlation_Correlation_DNA_ER
Cells_Correlation_Correlation_DNA_Mito
Cells_Correlation_Correlation_DNA_RNA
Cells_Correlation_Correlation_ER_RNA
Cells_Correlation_Correlation_Mito_ER
Cells_Correlation_Correlation_RNA_AGP
Cells_Correlation_K_AGP_DNA
Cells_Correlation_K_DNA_ER
Cells_Correlation_K_DNA_Mito
Cells_Correlation_K_DNA_RNA
Cells_Correlation_K_ER_DNA
Cells_Correlation_K_ER_Mito
Cells_Correlation_K_Mito_DNA
Cells_Correlation_K_RNA_DNA
Cells_Correlation_K_RNA_Mito
Cells_Correlation_Overlap_DNA_AGP
Cells_Correlation_Overlap_DNA_ER
Cells_Correlation_Overlap_DNA_Mito
Cells_Correlation_Overlap_DNA_RNA
Cells_Correlation_Overlap_ER_AGP
Cells_Correlation_Overlap_ER_RNA
Cells_Correlation_Overlap_Mito_RNA
Cells_Correlation_Overlap_RNA_AGP
Cells_Granularity_1_ER
Cells_Granularity_2_AGP
Cells_Granularity_2_RNA
Cells_Granularity_4_AGP
Cells_Granularity_4_ER
Cells_Granularity_4_Mito
Cells_Granularity_6_AGP
Cells_Granularity_7_AGP
Cells_Granularity_7_Mito
Cells_Granularity_7_RNA
Cells_Granularity_8_AGP
Cells_Granularity_8_ER
Cells_Granularity_8_Mito
Cells_Granularity_8_RNA
Cells_Granularity_9_ER
Cells_Granularity_9_Mito
Cells_Intensity_IntegratedIntensityEdge_DNA
Cells_Intensity_IntegratedIntensityEdge_ER
Cells_Intensity_IntegratedIntensityEdge_Mito
Cells_Intensity_LowerQuartileIntensity_AGP
Cells_Intensity_LowerQuartileIntensity_DNA
Cells_Intensity_MADIntensity_DNA
Cells_Intensity_MADIntensity_ER
Cells_Intensity_MassDisplacement_DNA
Cells_Intensity_MassDisplacement_ER
Cells_Intensity_MaxIntensityEdge_RNA
Cells_Intensity_MinIntensityEdge_RNA
Cells_Intensity_MinIntensity_Mito
Cells_Intensity_StdIntensityEdge_AGP
Cells_Intensity_StdIntensityEdge_DNA
Cells_Intensity_StdIntensityEdge_ER
Cells_Intensity_StdIntensityEdge_Mito
Cells_Intensity_StdIntensityEdge_RNA
Cells_Intensity_UpperQuartileIntensity_DNA
Cells_Neighbors_AngleBetweenNeighbors_Adjacent
Cells_Neighbors_FirstClosestDistance_Adjacent
Cells_Neighbors_NumberOfNeighbors_5
Cells_Neighbors_NumberOfNeighbors_Adjacent
Cells_Neighbors_PercentTouching_Adjacent
Cells_Neighbors_SecondClosestDistance_Adjacent
Cells_RadialDistribution_FracAtD_AGP_3of4
Cells_RadialDistribution_FracAtD_DNA_1of4
Cells_RadialDistribution_FracAtD_DNA_3of4
Cells_RadialDistribution_FracAtD_ER_2of4
Cells_RadialDistribution_FracAtD_ER_3of4
Cells_RadialDistribution_FracAtD_Mito_2of4
Cells_RadialDistribution_FracAtD_Mito_3of4
