baseline	seed_count	mean_feature_dim	mean_transition_improvement	min_transition_improvement	mean_delta_cosine	min_delta_cosine	mean_recall_at_1	min_recall_at_1	mean_effective_rank	mean_magnitude_ratio	mean_transition_gap_vs_full	mean_delta_gap_vs_full	mean_recall_gap_vs_full
source_plus_supported_action_dims	5	40.0	0.011281438877205865	0.0004243423315503873	0.4515151363616764	0.39796251669475374	0.3333333333333333	0.25925925925925924	10.24580878790742	0.7556432505625732	1.1191785345698868e-15	9.370282327836322e-15	0.0
full_action_descriptor	5	44.0	0.011281438877204748	0.0004243423315500173	0.45151513636166707	0.39796251669473043	0.3333333333333333	0.25925925925925924	10.245808787907375	0.7556432505625665	0.0	0.0	0.0
source_only	5	24.0	0.009866133543730638	0.002179689139244399	0.42764472546686944	0.31040365825169414	0.25925925925925924	0.2222222222222222	9.778554663094674	0.7167147237905473	-0.0014153053334741096	-0.023870410894797623	-0.07407407407407407
source_plus_program_action	5	32.0	0.002384418768792888	-0.012583759247016761	0.41430055906889274	0.3292559025001556	0.3555555555555555	0.2222222222222222	9.924756829135067	0.8964676502220573	-0.008897020108411858	-0.037214577292774234	0.022222222222222233
source_plus_supported_program_action	5	32.0	0.002384418768792888	-0.012583759247016761	0.41430055906889274	0.3292559025001556	0.3555555555555555	0.2222222222222222	9.924756829135067	0.8964676502220573	-0.008897020108411858	-0.037214577292774234	0.022222222222222233
program_action_only	5	8.0	-0.013511858479056279	-0.03470555839563512	0.12512618968036088	0.006402578321282766	0.4148148148148148	0.3333333333333333	1.9208609388465292	0.694698416204398	-0.024793297356261026	-0.32638894668130614	0.08148148148148147
supported_program_action_only	5	8.0	-0.013511858479056279	-0.03470555839563512	0.12512618968036088	0.006402578321282766	0.4148148148148148	0.3333333333333333	1.9208609388465292	0.694698416204398	-0.024793297356261026	-0.32638894668130614	0.08148148148148147
