seed	baseline	status	feature_dim	transition_improvement	delta_cosine	recall_at_1	effective_rank	magnitude_ratio	transition_gap_vs_full	delta_gap_vs_full	recall_gap_vs_full
0	full_action_descriptor	completed	44	0.005661906516194076	0.39796251669473043	0.48148148148148145	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0	source_only	completed	24	0.007292707159617141	0.4078914741957141	0.2222222222222222	9.941981399454747	0.7407144485430317	0.0016308006434230657	0.00992895750098366	-0.25925925925925924
0	source_plus_supported_action_dims	completed	40	0.005661906516197546	0.39796251669475374	0.48148148148148145	10.283476977293098	0.7744371112179331	3.4703143136916026e-15	2.3314683517128287e-14	0.0
0	source_plus_program_action	completed	32	-0.01154435683718035	0.3292559025001556	0.5555555555555556	9.952470696636881	0.9224895024225522	-0.017206263353374426	-0.06870661419457486	0.07407407407407413
0	source_plus_supported_program_action	completed	32	-0.01154435683718035	0.3292559025001556	0.5555555555555556	9.952470696636881	0.9224895024225522	-0.017206263353374426	-0.06870661419457486	0.07407407407407413
0	program_action_only	completed	8	-0.03470555839563512	0.006402578321282766	0.48148148148148145	1.8320649500155686	0.7163314583977896	-0.040367464911829194	-0.39155993837344766	0.0
0	supported_program_action_only	completed	8	-0.03470555839563512	0.006402578321282766	0.48148148148148145	1.8320649500155686	0.7163314583977896	-0.040367464911829194	-0.39155993837344766	0.0
1	full_action_descriptor	completed	44	0.021756478285427833	0.5404280277268804	0.3333333333333333	9.937518308977577	0.7933582487536444	0.0	0.0	0.0
1	source_only	completed	24	0.021016800186439102	0.5200304643310929	0.25925925925925924	9.186469959052808	0.7570631258545355	-0.000739678098988731	-0.020397563395787466	-0.07407407407407407
1	source_plus_supported_action_dims	completed	40	0.02175647828542801	0.5404280277268864	0.3333333333333333	9.937518308977612	0.793358248753668	1.7694179454963432e-16	5.995204332975845e-15	0.0
1	source_plus_program_action	completed	32	0.009454733618749748	0.4631352187334461	0.2962962962962963	9.451385970398876	1.0013584368144	-0.012301744666678086	-0.07729280899343427	-0.037037037037037035
1	source_plus_supported_program_action	completed	32	0.009454733618749748	0.4631352187334461	0.2962962962962963	9.451385970398876	1.0013584368144	-0.012301744666678086	-0.07729280899343427	-0.037037037037037035
1	program_action_only	completed	8	-0.017147750340499823	0.09734953294463662	0.4074074074074074	1.9613763161313575	0.8492675111333724	-0.038904228625927656	-0.44307849478224376	0.07407407407407407
1	supported_program_action_only	completed	8	-0.017147750340499823	0.09734953294463662	0.4074074074074074	1.9613763161313575	0.8492675111333724	-0.038904228625927656	-0.44307849478224376	0.07407407407407407
2	full_action_descriptor	completed	44	0.009402064646795659	0.4018851082029823	0.2962962962962963	9.632914633777684	0.5918627929859949	0.0	0.0	0.0
2	source_only	completed	24	0.003695604655984438	0.31040365825169414	0.2962962962962963	9.077536948566559	0.6112936545461276	-0.00570645999081122	-0.09148144995128815	0.0
2	source_plus_supported_action_dims	completed	40	0.009402064646795967	0.4018851082029925	0.2962962962962963	9.632914633777894	0.5918627929860075	3.0878077872387166e-16	1.021405182655144e-14	0.0
2	source_plus_program_action	completed	32	0.01120565457539862	0.4425943992700854	0.2962962962962963	9.623590952467676	0.6622864108281882	0.0018035899286029614	0.04070929106710314	0.0
2	source_plus_supported_program_action	completed	32	0.01120565457539862	0.4425943992700854	0.2962962962962963	9.623590952467676	0.6622864108281882	0.0018035899286029614	0.04070929106710314	0.0
2	program_action_only	completed	8	0.005500544984093243	0.284037871678747	0.48148148148148145	1.8913166593987196	0.49527975074843344	-0.0039015196627024155	-0.11784723652423529	0.18518518518518517
2	supported_program_action_only	completed	8	0.005500544984093243	0.284037871678747	0.48148148148148145	1.8913166593987196	0.49527975074843344	-0.0039015196627024155	-0.11784723652423529	0.18518518518518517
3	full_action_descriptor	completed	44	0.0004243423315500173	0.4200548145191377	0.25925925925925924	10.486444270464679	0.8778340372856198	0.0	0.0	0.0
3	source_only	completed	24	0.002179689139244399	0.4126835997171488	0.25925925925925924	10.075538285430207	0.7665865231579823	0.0017553468076943815	-0.007371214801988879	0.0
3	source_plus_supported_action_dims	completed	40	0.0004243423315503873	0.4200548145191415	0.25925925925925924	10.486444270464592	0.8778340372856264	3.7003820146930266e-16	3.83026943495679e-15	0.0
3	source_plus_program_action	completed	32	-0.012583759247016761	0.38005175470258196	0.2222222222222222	9.757981569174884	1.0832149651409733	-0.013008101578566779	-0.04000305981655572	-0.037037037037037035
3	source_plus_supported_program_action	completed	32	-0.012583759247016761	0.38005175470258196	0.2222222222222222	9.757981569174884	1.0832149651409733	-0.013008101578566779	-0.04000305981655572	-0.037037037037037035
3	program_action_only	completed	8	-0.021120159401142837	0.14498800591598016	0.3333333333333333	1.969572966817313	0.9061947717934259	-0.021544501732692855	-0.2750668086031575	0.07407407407407407
3	supported_program_action_only	completed	8	-0.021120159401142837	0.14498800591598016	0.3333333333333333	1.969572966817313	0.9061947717934259	-0.021544501732692855	-0.2750668086031575	0.07407407407407407
4	full_action_descriptor	completed	44	0.019162402606056148	0.4972452146646043	0.2962962962962963	10.888689749023888	0.7407240625696372	0.0	0.0	0.0
4	source_only	completed	24	0.015145866577368104	0.48721443083869703	0.25925925925925924	10.611246722969051	0.7079158668510599	-0.004016536028688044	-0.010030783825907275	-0.037037037037037035
4	source_plus_supported_action_dims	completed	40	0.019162402606057418	0.4972452146646078	0.2962962962962963	10.888689749023902	0.7407240625696313	1.2698175844150228e-15	3.497202527569243e-15	0.0
4	source_plus_program_action	completed	32	0.015389821734013183	0.45646552013819486	0.4074074074074074	10.838354956997012	0.8129889359041729	-0.003772580872042965	-0.04077969452640945	0.1111111111111111
4	source_plus_supported_program_action	completed	32	0.015389821734013183	0.45646552013819486	0.4074074074074074	10.838354956997012	0.8129889359041729	-0.003772580872042965	-0.04077969452640945	0.1111111111111111
4	program_action_only	completed	8	-8.636924209686697e-05	0.09285295954115785	0.37037037037037035	1.9499738018696877	0.5064185889489685	-0.019248771848153014	-0.40439225512344645	0.07407407407407407
4	supported_program_action_only	completed	8	-8.636924209686697e-05	0.09285295954115785	0.37037037037037035	1.9499738018696877	0.5064185889489685	-0.019248771848153014	-0.40439225512344645	0.07407407407407407
