split	n_seed_rows	mean_train_calibrated_transition_gain	min_train_calibrated_transition_gain	max_train_calibrated_transition_gain	mean_train_calibrated_delta_cosine_gain	min_train_calibrated_delta_cosine_gain	max_train_calibrated_delta_cosine_gain	mean_train_calibrated_recall_gain	min_train_calibrated_recall_gain	max_train_calibrated_recall_gain	mean_calibrated_transition_gain	min_calibrated_transition_gain	max_calibrated_transition_gain	mean_calibrated_delta_cosine_gain	min_calibrated_delta_cosine_gain	max_calibrated_delta_cosine_gain	mean_calibrated_recall_gain	min_calibrated_recall_gain	max_calibrated_recall_gain
alternate_test	3	0.09149453106449668	0.083881716924473	0.09699744283146405	0.1166196990302782	0.11177156318356907	0.12327873406012513	0.023809523809523836	0.0	0.07142857142857151	0.06314006818194894	0.0335000285611546	0.1157990761202206	-0.11318618827335188	-0.1397021543941173	-0.0724752237876514	0.030303030303030234	0.0181818181818181	0.0545454545454545
test	3	0.09149453106449668	0.083881716924473	0.09699744283146405	0.1166196990302782	0.11177156318356907	0.12327873406012513	0.023809523809523836	0.0	0.07142857142857151	0.06293503363426096	0.0248229063158521	0.1215569270779197	-0.10495876614568622	-0.1401994182579762	-0.0588676871555795	0.1071428571428571	0.0714285714285714	0.1428571428571428
validation	3	0.09149453106449668	0.083881716924473	0.09699744283146405	0.1166196990302782	0.11177156318356907	0.12327873406012513	0.023809523809523836	0.0	0.07142857142857151	0.051936162453181244	0.0081167160839996	0.1180689795887351	-0.0661076324213666	-0.1037339015444554	-0.0102394283921349	0.0	-0.037037037037037	0.074074074074074
