candidate	alpha	fold_count	mean_transition_gap	min_transition_gap	mean_recall_gap	min_recall_gap	mean_delta_cosine_gap	min_delta_cosine_gap	mean_delta_rank
pooled_environment_centered_ridge	0.0	40	0.0	0.0	0.0	0.0	0.0	0.0	6.120890443433328
pooled_environment_centered_ridge	0.025	40	0.0001979745915512662	-4.929105216369342e-05	-0.005555555555555555	-0.11111111111111116	0.0014188471364117341	-0.0020882120221245026	6.122524256074364
pooled_environment_centered_ridge	0.05	40	0.0003856978844295015	-0.0001060007673747091	-0.008333333333333335	-0.11111111111111116	0.002781012412111488	-0.004234512648583322	6.124243717393031
pooled_environment_centered_ridge	0.075	40	0.0005631243131477216	-0.00017438838570182913	-0.002777777777777779	-0.11111111111111116	0.004083325295254633	-0.0064390639256436955	6.126042515610524
pooled_environment_centered_ridge	0.1	40	0.0007302096577840671	-0.00025305256754738596	-0.005555555555555557	-0.11111111111111116	0.005322555938575392	-0.00870192226939609	6.127913476520052
pooled_environment_centered_ridge	0.15	40	0.001033187092758432	-0.0004412588471060467	-0.008333333333333333	-0.11111111111111116	0.007598673726373855	-0.01340221124794716	6.131839937137185
pooled_environment_centered_ridge	0.2	40	0.0012943042793798043	-0.0006809132230424847	-0.011111111111111112	-0.11111111111111116	0.009583166716284532	-0.018333428830112686	6.1359549574269225
pooled_environment_centered_ridge	0.35	40	0.001823585560897505	-0.0016859354712500533	-0.01111111111111111	-0.11111111111111116	0.013540523026102508	-0.034459748185034944	6.1486814766367415
pooled_environment_centered_ridge	0.5	40	0.0019666841363086664	-0.0031232146830317943	-0.016666666666666663	-0.33333333333333337	0.014097050746963127	-0.05237166239862845	6.160137335969102
pooled_environment_centered_ridge	0.75	40	0.001334979076997232	-0.006865133435089758	-0.02777777777777778	-0.33333333333333337	0.006860278309621315	-0.08497203167916101	6.169262173871995
pooled_environment_centered_ridge	1.0	40	-0.00039045557884517226	-0.013122876321957931	-0.03888888888888889	-0.4444444444444444	-0.010063479913054741	-0.11886207115360234	6.160078905441114
pooled_full_ridge	0.0	40	0.0	0.0	0.0	0.0	0.0	0.0	6.120890443433328
pooled_full_ridge	0.025	40	0.000254415673019396	-0.00013101670197467052	-0.002777777777777776	-0.11111111111111105	0.0016642754743756323	-0.003249631142576065	6.12068788564785
pooled_full_ridge	0.05	40	0.0004951503212989397	-0.00027730746350132507	0.0	-0.11111111111111116	0.0032576982552428926	-0.006576710350541082	6.120596490339276
pooled_full_ridge	0.075	40	0.0007221247232053975	-0.00043886766342293715	0.002777777777777779	-0.11111111111111116	0.0047747820136309176	-0.009977900329329353	6.120612233048716
pooled_full_ridge	0.1	40	0.0009352618621412435	-0.0006156886421020275	0.002777777777777779	-0.11111111111111116	0.0062099022696685815	-0.013449457531929776	6.120729014371761
pooled_full_ridge	0.15	40	0.0013197276178618113	-0.0010150581336089287	-0.002777777777777775	-0.11111111111111116	0.008811276714414576	-0.02058679857147311	6.121231774008439
pooled_full_ridge	0.2	40	0.0016479774853113873	-0.001475266156852291	-0.008333333333333333	-0.11111111111111116	0.011015552693134669	-0.02795158526186764	6.122021399578726
pooled_full_ridge	0.35	40	0.0022903162372768003	-0.003218470089977013	-2.7755575615628915e-18	-0.2222222222222222	0.0148054240211915	-0.050976776043039435	6.1250418708436785
pooled_full_ridge	0.5	40	0.002410038821430964	-0.005677810626971536	-0.019444444444444448	-0.33333333333333337	0.013637195911015268	-0.07440479650151996	6.1265144545174355
pooled_full_ridge	0.75	40	0.0014265391216134612	-0.012515114294052332	-0.01944444444444444	-0.33333333333333337	-0.00018672737012399369	-0.11635841142307585	6.116869649612974
pooled_full_ridge	1.0	40	-0.0010474880506807388	-0.021767115803860447	-0.033333333333333326	-0.4444444444444444	-0.02716153848559193	-0.1753267964350672	6.085600268210504
pooled_source_only_ridge	0.0	40	0.0	0.0	0.0	0.0	0.0	0.0	6.120890443433328
pooled_source_only_ridge	0.025	40	0.00025334215858338393	-0.00014329176663396836	-0.002777777777777776	-0.11111111111111105	0.0016652611743581598	-0.0033046553392568345	6.120810659202412
pooled_source_only_ridge	0.05	40	0.0004929403535619156	-0.00029813213147584366	0.0	-0.11111111111111116	0.003258912073301276	-0.006689511109933266	6.1208523311862155
pooled_source_only_ridge	0.075	40	0.0007187156999157835	-0.0004645256985742613	0.002777777777777779	-0.11111111111111116	0.004775368868774271	-0.010151449505889587	6.121010445580872
pooled_source_only_ridge	0.1	40	0.0009305915015355379	-0.0006424758261511197	0.002777777777777779	-0.11111111111111116	0.006208901129630981	-0.01368695196300837	6.121277646849733
pooled_source_only_ridge	0.15	40	0.00131234893302644	-0.0010330529219088926	-0.002777777777777775	-0.11111111111111116	0.008803766321784477	-0.020962666605639085	6.122099206568795
pooled_source_only_ridge	0.2	40	0.0016376447518500527	-0.0014698650936426153	-0.008333333333333335	-0.11111111111111116	0.010996349645230618	-0.02848117778145398	6.123219654687473
pooled_source_only_ridge	0.35	40	0.0022696642869949606	-0.0030574222608975472	-0.0027777777777777805	-0.2222222222222222	0.014714440816691082	-0.05206906025281849	6.127157145495273
pooled_source_only_ridge	0.5	40	0.002376903723526165	-0.005326385968146129	-0.019444444444444448	-0.33333333333333337	0.013423580337229494	-0.07619028688458535	6.1292405847972535
pooled_source_only_ridge	0.75	40	0.0013677867108138348	-0.011901897895617554	-0.01666666666666667	-0.33333333333333337	-0.00066663502857797	-0.11609076617909608	6.120382833235951
pooled_source_only_ridge	1.0	40	-0.001138020392322302	-0.020853923173094563	-0.04166666666666667	-0.33333333333333337	-0.027942038684327875	-0.1763407064633658	6.091301602276384
