heldout_perturbation_id	seed	candidate	alpha	rows	transition_improvement	delta_cosine	condition_recall_at_1	condition_median_rank	delta_rank	magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_condition_recall_at_1	transition_gap_vs_fold_floor	delta_cosine_gap_vs_fold_floor	recall_gap_vs_fold_floor
1	0	pooled_source_only_ridge	0.0	9	0.023028965137528685	0.48590465293160473	0.8888888888888888	1.0	6.125551355323057	0.7852213723499539	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.0	0.0	0.0
1	0	pooled_source_only_ridge	0.025	9	0.0234913770858268	0.48993511619126484	0.8888888888888888	1.0	6.123829149320155	0.7772363188221085	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.0004624119482981165	0.004030463259660111	0.0
1	0	pooled_source_only_ridge	0.05	9	0.023936547845083048	0.4940159505668833	0.8888888888888888	1.0	6.122358188860249	0.7693727937370157	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.0009075827075543628	0.00811129763527857	0.0
1	0	pooled_source_only_ridge	0.075	9	0.02436443181309917	0.49814431298768724	0.8888888888888888	1.0	6.121141802115343	0.7616354830360407	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.0013354666755704854	0.012239660056082513	0.0
1	0	pooled_source_only_ridge	0.1	9	0.024774986773343284	0.50231672635138	0.8888888888888888	1.0	6.120181301067136	0.7540292626655727	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.0017460216358145993	0.016412073419775297	0.0
1	0	pooled_source_only_ridge	0.15	9	0.02554395782994988	0.5107761421979554	0.8888888888888888	1.0	6.119022244117667	0.7392305598520484	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.002514992692421194	0.024871489266350688	0.0
1	0	pooled_source_only_ridge	0.2	9	0.026243191572508047	0.5193505509075967	0.8888888888888888	1.0	6.1188459078275566	0.725019549459054	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.003214226434979362	0.03344589797599201	0.0
1	0	pooled_source_only_ridge	0.35	9	0.02792060086638965	0.5450769633809358	0.8888888888888888	1.0	6.123247492913815	0.6863854605210906	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.0048916357288609665	0.05917231044933108	0.0
1	0	pooled_source_only_ridge	0.5	9	0.028965969837110625	0.5685201862503146	0.8888888888888888	1.0	6.131227188598696	0.6548361932941573	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.00593700469958194	0.08261553331870991	0.0
1	0	pooled_source_only_ridge	0.75	9	0.029310145999298858	0.5913569372040083	0.8888888888888888	1.0	6.131384681702773	0.621735697398009	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.006281180861770173	0.10545228427240355	0.0
