variant	seed_count	mean_action_dim	mean_transition_improvement	mean_delta_cosine	mean_recall_at_1	mean_delta_rank	mean_magnitude_ratio	mean_gap_transition_vs_full	mean_gap_delta_vs_full	mean_gap_recall_vs_full	mean_eval_active_action_support_fraction	mean_exact_action_match_fraction
full_exact_plus_program_action	5	20.0	0.011281438877204748	0.45151513636166707	0.3333333333333333	10.245808787907375	0.7556432505625665	0.0	0.0	0.0	0.5	0.0
program_action_only	5	8.0	0.002384418768792888	0.41430055906889274	0.3555555555555555	9.924756829135067	0.8964676502220573	-0.008897020108411858	-0.037214577292774234	0.022222222222222233	1.0	1.0
source_only	5	0.0	0.009866133543730638	0.42764472546686944	0.25925925925925924	9.778554663094674	0.7167147237905473	-0.0014153053334741096	-0.023870410894797623	-0.07407407407407407	1.0	1.0
supported_action_dims	5	16.0	0.011281438877205865	0.4515151363616764	0.3333333333333333	10.24580878790742	0.7556432505625732	1.1191785345698868e-15	9.370282327836322e-15	0.0	1.0	0.0
supported_program_action_only	5	8.0	0.002384418768792888	0.41430055906889274	0.3555555555555555	9.924756829135067	0.8964676502220573	-0.008897020108411858	-0.037214577292774234	0.022222222222222233	1.0	1.0
