seed	action_variant	scale	safe	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	train_broken_count_diagnostic_only	train_mean_margin_change_diagnostic_only
0	program_action_only	0.0	True	0.07685771243225505	0.8482644465016385	0.7777777777777778	0.0	0.0	0.0	0.0	0.0
0	program_action_only	0.025	True	0.0773227862952143	0.8517840016998441	0.7777777777777778	0.000465073862959256	0.0035195551982056816	0.0	0.0	0.00035738573901423424
0	program_action_only	0.05	True	0.07777490331963331	0.8551880202129396	0.7777777777777778	0.0009171908873782664	0.006923573711301145	0.0	1.0	0.000723754372612064
1	program_action_only	0.0	True	0.06514165491695405	0.8392967964443935	0.7916666666666666	0.0	0.0	0.0	0.0	0.0
1	program_action_only	0.025	True	0.06551835410726461	0.8434914615944847	0.8194444444444444	0.0003766991903105671	0.004194665150091259	0.02777777777777779	0.0	0.00020283973694312785
1	program_action_only	0.05	True	0.06588366341206991	0.847581842020315	0.8194444444444444	0.0007420084951158673	0.008285045575921468	0.02777777777777779	0.0	0.0004118810292408965
2	program_action_only	0.0	True	0.043404554601411856	0.8283199764180136	0.7777777777777778	0.0	0.0	0.0	0.0	0.0
2	program_action_only	0.025	True	0.0437189604014538	0.832395957506766	0.7777777777777778	0.0003144058000419461	0.004075981088752401	0.0	0.0	0.0002287984493704459
2	program_action_only	0.05	True	0.04402395549663457	0.8363796558590175	0.7777777777777778	0.0006194008952227145	0.008059679441003942	0.0	0.0	0.0004527753272658928
3	program_action_only	0.0	True	0.04441455438305164	0.8328747254600489	0.9027777777777778	0.0	0.0	0.0	0.0	0.0
3	program_action_only	0.025	True	0.04471222230354985	0.8374947903487205	0.9166666666666666	0.0002976679204982069	0.004620064888671616	0.01388888888888884	0.0	0.0002019200272712552
3	program_action_only	0.05	True	0.04500082311301089	0.8420075094814687	0.9166666666666666	0.0005862687299592467	0.009132784021419815	0.01388888888888884	0.0	0.00039801629823677274
4	program_action_only	0.0	True	0.061023171324534844	0.8096337394369691	0.6111111111111112	0.0	0.0	0.0	0.0	0.0
4	program_action_only	0.025	True	0.06185979425996519	0.8169100497043839	0.625	0.0008366229354303464	0.0072763102674147095	0.01388888888888884	1.0	0.0003490746018591676
4	program_action_only	0.05	True	0.06267078067755959	0.8240146252308463	0.6527777777777778	0.0016476093530247427	0.014380885793877196	0.04166666666666663	1.0	0.0007213662487845342
