left_out_perturbation_id	alpha_source_only	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full	transition_improvement	recall_at_1	delta_cosine
1	0.0	0.0	0.0	0.0	0.023028965137528685	0.8888888888888888	0.48590465293160473
1	0.05	0.00022311609741174424	0.0	-0.00035372875242678514	0.02325208123494043	0.8888888888888888	0.48555092417917795
1	0.1	0.00042387197607014065	0.0	-0.0007913170461400498	0.023452837113598825	0.8888888888888888	0.4851133358854647
1	0.2	0.0007580359366173121	0.0	-0.0019031971461991315	0.023787001074145997	0.8888888888888888	0.4840014557854056
1	0.35	0.0010902555308839462	0.0	-0.004107070662780987	0.02411922066841263	0.8888888888888888	0.48179758226882374
1	0.5	0.0012192960229320399	0.0	-0.006867343351543376	0.024248261160460725	0.8888888888888888	0.47903730958006135
1	0.75	0.0009848130665231318	0.0	-0.012457867209202778	0.024013778204051817	0.8888888888888888	0.47344678572240195
1	1.0	0.00019645621963878396	0.0	-0.018968238567190487	0.02322542135716747	0.8888888888888888	0.46693641436441424
2	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
2	0.05	0.0005633729491007549	0.0	0.0021518367633190927	-0.006230566569170513	0.3333333333333333	0.39416137213752445
2	0.1	0.0011125558460963504	0.0	0.004294731028127163	-0.005681383672174917	0.3333333333333333	0.3963042664023325
2	0.2	0.002168024116368258	0.0	0.008544818072951987	-0.0046259154019030095	0.3333333333333333	0.40055435344715734
2	0.35	0.0036428618348205684	0.0	0.014795399639190354	-0.003151077683450699	0.3333333333333333	0.4068049350133957
2	0.5	0.004986094660391053	0.0	0.020837325034957666	-0.0018078448578802142	0.3333333333333333	0.412846860409163
2	0.75	0.006928602337734489	0.0	0.030260986805416223	0.00013466281946322093	0.3333333333333333	0.4222705221796216
2	1.0	0.008497215292440692	0.0	0.0386299277445753	0.001703275774169424	0.3333333333333333	0.43063946311878065
3	0.0	0.0	0.0	0.0	0.05799531482670972	0.6666666666666666	0.717307876498913
3	0.05	0.00012358595975157927	0.0	0.002924434190819114	0.0581189007864613	0.6666666666666666	0.7202323106897321
3	0.1	0.00020546959166415496	0.0	0.0055122038326910205	0.058200784418373876	0.6666666666666666	0.722820080331604
3	0.2	0.0002450090723060197	0.0	0.00973518063470935	0.05824032389901574	0.6666666666666666	0.7270430571336224
3	0.35	-1.98285104342083e-06	0.0	0.013882384384260926	0.0579933319756663	0.6666666666666666	0.731190260883174
3	0.5	-0.0006078514920863365	0.0	0.01567533068620386	0.057387463334623384	0.6666666666666666	0.7329832071851169
3	0.75	-0.002381439085247697	0.2222222222222222	0.014144758217299436	0.055613875741462024	0.8888888888888888	0.7314526347162125
3	1.0	-0.005049654244831309	0.2222222222222222	0.007931545377072857	0.05294566058187841	0.8888888888888888	0.7252394218759859
4	0.0	0.0	0.0	0.0	0.05159785686543264	1.0	0.6456696326496965
4	0.05	9.089965174767511e-05	0.0	0.001776016424922311	0.051688756517180315	1.0	0.6474456490746188
