alpha_source_only	mean_transition_gap	min_transition_gap	mean_recall_gap	min_recall_gap	mean_delta_cosine_gap	min_delta_cosine_gap
0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.025	0.00041872842420876446	-0.0015343445040506554	0.0	0.0	0.000580367980565317	-0.008767308986160405
0.05	0.0008001130774055314	-0.0030868369027728573	0.0	0.0	0.0010522038656715267	-0.017907945960397798
0.075	0.00114367221717333	-0.004657447374194934	0.0	0.0	0.0014088482376323254	-0.027414798574951438
0.1	0.0014489375605211251	-0.006246142716378541	0.0	0.0	0.0016432797491936328	-0.03727806296347097
0.15	0.001942785490700865	-0.0094776382487289	0.0	0.0	0.0017153826625929125	-0.05802118264955469
0.2	0.002278207921113349	-0.012780989956670579	0.0	0.0	0.001203700543847978	-0.08000626140407407
0.35	0.0023034951444278885	-0.023118028457793725	0.0	0.0	-0.004595808925602449	-0.15158219596613126
0.5	0.0008063564738780476	-0.03408453135176781	0.0	0.0	-0.018514338334878574	-0.2269255943410345
