seed	split	method	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio
37	validation	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	validation	protected_full_ridge_floor	0.12346197597852825	0.23357613053255583	0.11764705882352941	10.126893531593339	1.2713960946819913
37	validation	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	validation	F082_no_delta_calibration	0.11606206693565883	0.2068546826233889	0.058823529411764705	11.349295671171497	1.1780801265004057
37	test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	test	protected_full_ridge_floor	0.379337087846365	0.35542961134323503	0.35294117647058826	9.741670033842711	1.200993310831222
37	test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	test	F082_no_delta_calibration	0.38585012354850523	0.3653167498413685	0.4117647058823529	11.0036439914738	1.040457570776406
37	alternate_test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	alternate_test	protected_full_ridge_floor	0.13069965863734165	0.1803733774998865	0.11764705882352941	10.49449986057863	0.8073859335581554
37	alternate_test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
37	alternate_test	F082_no_delta_calibration	0.12334500658328491	0.16078534374042575	0.11764705882352941	11.44564107427683	0.8576212905104474
38	validation	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	validation	protected_full_ridge_floor	0.12346197597852825	0.23357613053255583	0.11764705882352941	10.126893531593339	1.2713960946819913
38	validation	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	validation	F082_no_delta_calibration	0.11232359251655921	0.21026335182711797	0.11764705882352941	11.06776494443137	1.1130528634063002
38	test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	test	protected_full_ridge_floor	0.379337087846365	0.35542961134323503	0.35294117647058826	9.741670033842711	1.200993310831222
38	test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	test	F082_no_delta_calibration	0.3697047914286358	0.3446682992030678	0.29411764705882354	10.671618798303726	1.0213718844023358
38	alternate_test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	alternate_test	protected_full_ridge_floor	0.13069965863734165	0.1803733774998865	0.11764705882352941	10.49449986057863	0.8073859335581554
38	alternate_test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
38	alternate_test	F082_no_delta_calibration	0.12343677154540232	0.15741774595933739	0.11764705882352941	11.271925776494875	0.8616475551761634
39	validation	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	validation	protected_full_ridge_floor	0.12346197597852825	0.23357613053255583	0.11764705882352941	10.126893531593339	1.2713960946819913
39	validation	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	validation	F082_no_delta_calibration	0.13994869653096279	0.23084762186591168	0.11764705882352941	11.272964930399574	1.0768955458881464
39	test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	test	protected_full_ridge_floor	0.379337087846365	0.35542961134323503	0.35294117647058826	9.741670033842711	1.200993310831222
39	test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	test	F082_no_delta_calibration	0.38383258844651896	0.36082838624097086	0.35294117647058826	11.038190806070038	1.0148952209431708
39	alternate_test	source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	alternate_test	protected_full_ridge_floor	0.13069965863734165	0.1803733774998865	0.11764705882352941	10.49449986057863	0.8073859335581554
39	alternate_test	no_residual_source_as_target	0.0	0.0	0.058823529411764705	0.0	0.0
39	alternate_test	F082_no_delta_calibration	0.13567404472024677	0.1785163443734213	0.11764705882352941	11.187758725632014	0.8877313690537578
