seed	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
21	0.0	1000000000.0	True	0.0	0	0.4227140453763185	0.9349557596615108	0.5	0.0	0.0	0.0	0.0	0.0	0.0
21	0.005	-5.864001440132409	True	0.0	5	0.4227140453763185	0.9349557596615108	0.5	0.0	0.0	0.0	0.0	0.0	0.0
21	0.005	-5.864000440132409	True	0.027777777777777776	5	0.42271656733837976	0.9349711521901978	0.5	2.521962061241556e-06	1.539252868698604e-05	0.0	0.0	0.0	0.0
21	0.005	-5.772161396941531	True	0.05555555555555555	5	0.42271927926671515	0.9350037592234427	0.5	5.233890396638685e-06	4.7999561931910684e-05	0.0	0.0	0.0	0.0
21	0.005	-5.554497108316539	True	0.1111111111111111	5	0.42272567753919726	0.9350641491713437	0.5	1.1632162878749686e-05	0.00010838950983294016	0.0	0.0	0.0	0.0
21	0.005	-5.296700412605511	True	0.16666666666666666	5	0.4227380140875428	0.9351221311079106	0.5	2.396871122428701e-05	0.00016637144639986	0.0	0.0	0.0	0.0
21	0.005	-5.0717563623875055	True	0.2222222222222222	5	0.4227410020443329	0.9351418015628283	0.5	2.6956668014388452e-05	0.00018604190131754628	0.0	0.0	0.0	0.0
21	0.005	-4.987970337017284	True	0.25	5	0.4227439767222523	0.9351678029334178	0.5	2.9931345933764675e-05	0.00021204327190704753	0.0	0.0	0.0	0.0
21	0.005	-4.520536795001142	True	0.3055555555555556	5	0.42274915469325985	0.9351973804278306	0.5	3.5109316941339674e-05	0.00024162076631983886	0.0	0.0	0.0	0.0
21	0.005	-4.462948783477051	True	0.3611111111111111	5	0.42275291253030073	0.9352115584484246	0.5	3.8867153982213853e-05	0.00025579878691384117	0.0	0.0	0.0	0.0
21	0.005	-4.413172215416796	True	0.4166666666666667	5	0.4227631085865517	0.9352341367073913	0.5	4.9063210233180055e-05	0.0002783770458805179	0.0	0.0	0.0	0.0
21	0.005	-4.269212428868892	True	0.4444444444444444	5	0.42277218832787594	0.9352676327164432	0.5	5.8142951557427214e-05	0.00031187305493241	0.0	0.0	0.0	0.0
21	0.005	-4.20994728997352	True	0.5	5	0.42277859014940844	0.9352903552871652	0.5	6.454477308992512e-05	0.00033459562565441026	0.0	0.0	0.0	0.0
21	0.005	-4.100627828501601	True	0.5555555555555556	5	0.42278233137730065	0.9353099665178468	0.5	6.828600098213178e-05	0.00035420685633602567	0.0	0.0	0.0	0.0
21	0.005	-4.075647531153618	True	0.6111111111111112	5	0.4227938361845716	0.9353233517938533	0.5	7.979080825309959e-05	0.000367592132342498	0.0	0.0	0.0	0.0
