candidate	alpha	threshold	payload_count	mean_active_fraction	mean_safe_active_fraction	mean_unsafe_active_fraction	mean_transition_gap	min_transition_gap	mean_delta_cosine_gap	min_delta_cosine_gap	mean_recall_gap	min_recall_gap
pooled_environment_centered_ridge	0.2	0.5632516945859892	40	0.7499999999999999	0.48888888888888893	0.26111111111111107	0.00123819013265988	-0.0008708408116742256	0.00872459938727447	-0.014932558341957447	-0.005555555555555552	-0.11111111111111116
pooled_environment_centered_ridge	0.2	0.5821669515384837	40	0.65	0.4305555555555555	0.21944444444444441	0.0011837211468187548	-0.0010657056477367186	0.008621745534380595	-0.008680547709922326	-0.0027777777777777735	-0.11111111111111116
pooled_environment_centered_ridge	0.2	0.6051870408918606	40	0.5	0.33055555555555555	0.16944444444444445	0.0010710648229072487	-0.0010657056477367186	0.0072384578252298794	-0.008680547709922326	-0.0027777777777777735	-0.11111111111111116
pooled_environment_centered_ridge	0.2	0.6406556947414954	40	0.35	0.23055555555555557	0.11944444444444444	0.0008281713749519384	-0.0011926618528717292	0.00553302527412294	-0.008302421776715696	-0.0027777777777777735	-0.11111111111111116
pooled_environment_centered_ridge	0.2	0.6699287919609523	40	0.25	0.17222222222222222	0.07777777777777777	0.0006188268790852674	-0.0008181993967898774	0.0046527742275523625	-0.006107888607028378	-0.0027777777777777735	-0.11111111111111116
pooled_environment_centered_ridge	0.2	0.7122403626945992	40	0.15	0.10555555555555556	0.04444444444444444	0.0004015601807991053	-0.0008181993967898774	0.002639745665688773	-0.005537043692816823	-0.002777777777777776	-0.11111111111111116
pooled_environment_centered_ridge	0.2	0.7358039729026754	40	0.09999999999999999	0.075	0.025	0.0003145693896234443	-0.00021745181436516603	0.001927054707151099	-0.004421258253845539	0.0	0.0
pooled_environment_centered_ridge	0.35	0.5460103718452719	40	0.75	0.4833333333333334	0.2666666666666667	0.001895257781920106	-0.0023376702332627286	0.013584112095602724	-0.017679824063652982	-0.00555555555555555	-0.11111111111111116
pooled_environment_centered_ridge	0.35	0.5613798895337988	40	0.65	0.41388888888888886	0.2361111111111111	0.0016268049004317133	-0.0025147839528458574	0.012031005880896353	-0.013220868668269659	-0.008333333333333326	-0.11111111111111116
pooled_environment_centered_ridge	0.35	0.5901868066079241	40	0.5	0.325	0.175	0.0014960004678370618	-0.001145024590911134	0.01059039290933257	-0.015819393667208637	-0.008333333333333326	-0.11111111111111116
pooled_environment_centered_ridge	0.35	0.6247967775841331	40	0.35	0.23888888888888893	0.11111111111111112	0.0013537888132127414	-0.0009232986917621366	0.009333446306198104	-0.009973153438514126	5.551115123125783e-18	-0.11111111111111116
pooled_environment_centered_ridge	0.35	0.6488470873856514	40	0.25	0.16944444444444445	0.08055555555555556	0.0009383112747938923	-0.0016314120034323226	0.007381598742419784	-0.011664726537403858	0.0027777777777777844	-0.11111111111111116
pooled_environment_centered_ridge	0.35	0.6883999021272503	40	0.15	0.10555555555555556	0.04444444444444444	0.0006791443751704918	-0.0016314120034323226	0.005215399473075126	-0.014904917395540784	2.7755575615628915e-18	-0.11111111111111116
pooled_environment_centered_ridge	0.35	0.7263230068111927	40	0.1	0.075	0.025	0.0004966332263399879	-0.00041041454792132073	0.0033731695582105425	-0.00774285637617933	0.0	0.0
pooled_environment_centered_ridge	0.5	0.5060162403206416	40	0.75	0.4444444444444445	0.3055555555555555	0.0017051325067734234	-0.004493069726612509	0.012415517490649073	-0.03105493564812184	-0.005555555555555548	-0.2222222222222222
pooled_environment_centered_ridge	0.5	0.5334349055654448	40	0.65	0.39166666666666666	0.2583333333333333	0.0016028508429284428	-0.004493069726612509	0.013365551016681803	-0.01973175808308708	-0.005555555555555548	-0.2222222222222222
pooled_environment_centered_ridge	0.5	0.5586081803955346	40	0.5	0.3083333333333333	0.19166666666666665	0.001811782007159321	-0.0018401783311627756	0.014185614750248288	-0.02466889527327315	0.0027777777777777805	-0.11111111111111116
pooled_environment_centered_ridge	0.5	0.5936889636641377	40	0.35	0.22222222222222224	0.12777777777777777	0.0015401344037289447	-0.0016626477795290834	0.011539217410811025	-0.02466889527327315	-0.0027777777777777735	-0.11111111111111116
pooled_environment_centered_ridge	0.5	0.6230508174335034	40	0.25	0.1527777777777778	0.09722222222222222	0.0010731762593609317	-0.0016626477795290834	0.008767850458001082	-0.01806234741796575	5.551115123125783e-18	-0.11111111111111116
pooled_environment_centered_ridge	0.5	0.6565972510274494	40	0.15	0.10555555555555554	0.04444444444444444	0.0006640174714136967	-0.0017056840893679218	0.006499530871240061	-0.0210616104042044	0.0	-0.11111111111111116
pooled_environment_centered_ridge	0.5	0.6842775633858933	40	0.1	0.07222222222222222	0.02777777777777778	0.0005350831676891475	-0.000858381034130374	0.003591103988003249	-0.023180664376858118	0.0	0.0
pooled_environment_centered_ridge	0.75	0.45561788259380487	40	0.75	0.39444444444444443	0.3555555555555555	0.001379769667353444	-0.009564849708565366	0.010558474624506231	-0.06327225681972884	-0.013888888888888885	-0.2222222222222222
pooled_environment_centered_ridge	0.75	0.47856014496752225	40	0.65	0.3361111111111111	0.3138888888888889	0.0015129657664482597	-0.00469728020734159	0.011178941272354649	-0.04086988961227461	-0.00833333333333333	-0.11111111111111116
