seed	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
28	0.0	1000000000.0	True	0.0	0	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.005	-4.945900748575165	True	0.0	1	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.005	-4.945899748575165	True	0.027777777777777776	1	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.005	-4.514102034532543	True	0.05555555555555555	1	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.005	-4.3995240830861775	True	0.1111111111111111	1	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.005	-4.183469983032608	True	0.16666666666666666	1	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.005	-4.114471859035207	True	0.2222222222222222	1	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.005	-4.062981114451647	True	0.25	1	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.005	-4.018445185984581	True	0.3055555555555556	1	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.005	-3.8783117675090244	True	0.3611111111111111	1	0.23910390181082963	0.9076649095189219	0.5	3.554314659814928e-07	0.0	0.0	0.0	0.0	0.0
28	0.005	-3.824439398312769	True	0.4166666666666667	1	0.23910390181082963	0.9076649095189219	0.5	3.554314659814928e-07	0.0	0.0	0.0	0.0	0.0
28	0.005	-3.6727553784390334	True	0.4444444444444444	1	0.23910390181082963	0.9076649095189219	0.5	3.554314659814928e-07	0.0	0.0	0.0	0.0	0.0
28	0.005	-3.4638684267924416	True	0.5	1	0.23910395279110455	0.9076649095189219	0.5	4.0641174089972587e-07	0.0	0.0	0.0	0.0	0.0
28	0.005	-3.3308080146116295	True	0.5555555555555556	1	0.23911399197744398	0.9076649095189219	0.5	1.0445598080333074e-05	0.0	0.0	0.0	0.0	0.0
28	0.005	-3.011570901065519	True	0.6111111111111112	1	0.2391137461802215	0.9076649095189219	0.5	1.019980085784078e-05	0.0	0.0	0.0	0.0	0.0
28	0.005	-2.9338956309096877	True	0.6666666666666666	1	0.23911378889742294	0.9076649095189219	0.5	1.0242518059283556e-05	0.0	0.0	0.0	0.0	0.0
28	0.005	-2.8219959618376853	True	0.6944444444444444	1	0.2391305429079486	0.9076649095189219	0.5	2.6996528584954937e-05	0.0	0.0	0.0	0.0	0.0
28	0.005	-2.7366377585704975	True	0.75	1	0.23913077099308733	0.9076649095189219	0.5	2.722461372367535e-05	0.0	0.0	0.0	0.0	0.0
28	0.005	-2.6825203216935174	True	0.8055555555555556	1	0.23913067708497746	0.9076649095189219	0.5	2.7130705613803707e-05	0.0	0.0	0.0	0.0	0.0
28	0.005	-2.65996566092237	True	0.8611111111111112	1	0.23913110803797466	0.9076649095189219	0.5	2.7561658611008344e-05	0.0	0.0	0.0	0.0	0.0
28	0.005	-2.5437802408899133	True	0.8888888888888888	1	0.23915128198030683	0.9076649095189219	0.5	4.77356009431773e-05	0.0	0.0	0.0	0.0	0.0
28	0.005	-1.7056594454649583	True	0.9444444444444444	1	0.23915167667929577	0.9076649095189219	0.5	4.813029993211426e-05	0.0	0.0	0.0	0.0	0.0
28	0.005	0.0	True	1.0	1	0.23915070431762203	0.9076649095189219	0.5	4.715793825837977e-05	0.0	0.0	0.0	0.0	0.0
28	0.005	1e-06	True	1.0	1	0.23915070431762203	0.9076649095189219	0.5	4.715793825837977e-05	0.0	0.0	0.0	0.0	0.0
28	0.01	-4.945900748575165	True	0.0	2	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.01	-4.945899748575165	True	0.027777777777777776	2	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.01	-4.514102034532543	True	0.05555555555555555	2	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.01	-4.376969992754297	True	0.1111111111111111	2	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.01	-4.137486378059014	True	0.16666666666666666	2	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.01	-4.044434346598179	True	0.2222222222222222	2	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.01	-3.9903818702204594	True	0.25	2	0.23910354637936365	0.9076649095189219	0.5	0.0	0.0	0.0	0.0	0.0	0.0
28	0.01	-3.8800355981889574	True	0.3055555555555556	2	0.23910426598798218	0.9076649095189219	0.5	7.196086185268236e-07	0.0	0.0	0.0	0.0	0.0
28	0.01	-3.8014383398757645	True	0.3611111111111111	2	0.23910426598798218	0.9076649095189219	0.5	7.196086185268236e-07	0.0	0.0	0.0	0.0	0.0
28	0.01	-3.6731578358509207	True	0.4166666666666667	2	0.23910426598798218	0.9076649095189219	0.5	7.196086185268236e-07	0.0	0.0	0.0	0.0	0.0
28	0.01	-3.590195348280005	True	0.4444444444444444	2	0.23910425597467277	0.9076649095189219	0.5	7.095953091229568e-07	0.0	0.0	0.0	0.0	0.0
28	0.01	-3.280706664413122	True	0.5	2	0.23910425461275844	0.9076649095189219	0.5	7.082333947916464e-07	0.0	0.0	0.0	0.0	0.0
28	0.01	-3.1228766433653394	True	0.5555555555555556	2	0.2391044664757928	0.9076649095189219	0.5	9.200964291578018e-07	0.0	0.0	0.0	0.0	0.0
28	0.01	-2.98399579860961	True	0.6111111111111112	2	0.23912389261663725	0.9076649095189219	0.5	2.034623727359408e-05	0.0	0.0	0.0	0.0	0.0
28	0.01	-2.732018133364521	True	0.6666666666666666	2	0.23912427463429886	0.9076649095189219	0.5	2.0728254935209467e-05	0.0	0.0	0.0	0.0	0.0
28	0.01	-2.677756936483399	True	0.6944444444444444	2	0.23915769951683932	0.9076649095189219	0.5	5.4153137475670965e-05	0.0	0.0	0.0	0.0	0.0
28	0.01	-2.6395589482839075	True	0.75	2	0.23915898062411042	0.9076649095189219	0.5	5.54342447467715e-05	0.0	0.0	0.0	0.0	0.0
28	0.01	-2.512242654284542	True	0.8055555555555556	2	0.2391992118721921	0.9076649095189219	0.5	9.56654928284395e-05	0.0	0.0	0.0	0.0	0.0
28	0.01	-2.3993267343770137	True	0.8611111111111112	2	0.23919999861188035	0.9076649095189219	0.5	9.645223251669721e-05	0.0	0.0	0.0	0.0	0.0
28	0.01	-2.3615919552540583	True	0.8888888888888888	2	0.2392003915899038	0.9076649095189219	0.5	9.684521054015294e-05	0.0	0.0	0.0	0.0	0.0
28	0.01	-1.1265384024969405	True	0.9444444444444444	2	0.23919953642948777	0.9076649095189219	0.5	9.599005012411732e-05	0.0	0.0	0.0	0.0	0.0
