seed	oracle_safe_scale	oracle_nonzero	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	oracle_transition_improvement	oracle_delta_cosine	oracle_recall_at_1	oracle_gap_transition	oracle_gap_delta_cosine	oracle_gap_recall	oracle_delta_rank	oracle_magnitude_ratio	oracle_broken_count	oracle_repaired_count	oracle_mean_margin_change	identity_violation	leakage_flag
0	0.5	True	0.14366915588425286	0.9348091301779191	0.8888888888888888	0.1475452604935706	0.952324939067705	0.8888888888888888	0.0038761046093177542	0.017515808889785878	0.0	9.133293510342744	1.019742507908151	0.0	0.0	0.007892079420982833	0.0	0.0
1	0.05	True	0.1707350373131547	0.8418910341147743	0.5925925925925926	0.17271364170057307	0.8479537064329533	0.5925925925925926	0.00197860438741837	0.00606267231817903	0.0	7.921764130238812	0.9975193133956786	0.0	0.0	0.002883010443187773	0.0	0.0
2	0.5	True	0.2724394655216964	0.932261923188985	1.0	0.27517717712349127	0.9413673822776514	1.0	0.0027377116017948677	0.009105459088666334	0.0	7.227778049797348	1.00800662103219	0.0	0.0	0.008531051743584595	0.0	0.0
3	0.25	True	0.5212980055525284	0.9320907531731707	1.0	0.5247563509549311	0.9396129562986935	1.0	0.0034583454024027516	0.007522203125522764	0.0	8.24748302114621	1.017564029131645	0.0	0.0	0.008305738066939385	0.0	0.0
4	0.75	True	0.5571293539076213	0.9200586293997617	0.8148148148148148	0.5681972574792232	0.9480959910566845	0.8148148148148148	0.011067903571601923	0.028037361656922832	0.0	8.221040427936106	1.0807193685285783	0.0	0.0	0.0068936080693977235	0.0	0.0
