seed	scale	safe	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	repaired_count	mean_margin_change
0	0.0	True	0.14366915588425286	0.9348091301779191	0.8888888888888888	0.0	0.0	0.0	0.0	0.0	0.0
0	0.025	True	0.14393484163822073	0.9359978687961615	0.8888888888888888	0.00026568575396787586	0.0011887386182424242	0.0	0.0	0.0	0.0004152245552049294
0	0.05	True	0.14419312513130114	0.9371549427760402	0.8888888888888888	0.0005239692470482837	0.0023458125981210554	0.0	0.0	0.0	0.0008305573610090882
0	0.1	True	0.14468737580872387	0.9393732646876488	0.8888888888888888	0.0010182199244710144	0.0045641345097297	0.0	0.0	0.0	0.0016614956522102986
0	0.15	True	0.1451516887785098	0.9414624340096787	0.8888888888888888	0.001482532894256955	0.006653303831759549	0.0	0.0	0.0	0.002476627075123836
0	0.2	True	0.14558584488221898	0.9434207816587562	0.8888888888888888	0.0019166889979661261	0.00861165148083709	0.0	0.0	0.0	0.003246205707459112
0	0.25	True	0.14598962512042307	0.9452466149178895	0.8888888888888888	0.002320469236170214	0.010437484739970415	0.0	0.0	0.0	0.004015931211793305
0	0.5	True	0.1475452604935706	0.952324939067705	0.8888888888888888	0.0038761046093177542	0.017515808889785878	0.0	0.0	0.0	0.007892079420982833
0	0.75	False	0.14830912745464603	0.9557921337191744	0.8518518518518519	0.00463997157039317	0.020983003541255263	-0.03703703703703698	1.0	0.0	0.011424956229193532
0	1.0	False	0.14825547628213553	0.9553143432543786	0.7777777777777778	0.004586320397882676	0.020505213076459472	-0.11111111111111105	3.0	0.0	0.014328353805305796
1	0.0	True	0.1707350373131547	0.8418910341147743	0.5925925925925926	0.0	0.0	0.0	0.0	0.0	0.0
1	0.025	True	0.17173931880384405	0.8449506685447115	0.5925925925925926	0.001004281490689346	0.0030596344299371747	0.0	0.0	0.0	0.0014428620620632326
1	0.05	True	0.17271364170057307	0.8479537064329533	0.5925925925925926	0.00197860438741837	0.00606267231817903	0.0	0.0	0.0	0.002883010443187773
1	0.1	False	0.17457206493965918	0.8537817654496	0.5925925925925926	0.00383702762650448	0.011890731334825766	0.0	1.0	1.0	0.005680932176152057
1	0.15	False	0.1763098356248294	0.8593591612232855	0.6296296296296297	0.005574798311674706	0.0174681271085112	0.03703703703703709	1.0	2.0	0.008441380483131951
1	0.2	False	0.1779268355484944	0.8646707255537179	0.6296296296296297	0.007191798235339691	0.02277969143894365	0.03703703703703709	1.0	2.0	0.011087797945128342
1	0.25	False	0.179423292800497	0.8697024913787573	0.7407407407407407	0.008688255487342283	0.02781145726398304	0.14814814814814814	1.0	5.0	0.013824258552612292
1	0.5	False	0.18512788343449696	0.8902912964240477	0.7037037037037037	0.014392846121342256	0.04840026230927341	0.11111111111111116	3.0	6.0	0.02886872655000384
1	0.75	False	0.1880223731535333	0.902825538740725	0.6666666666666666	0.017287335840378587	0.060934504625950736	0.07407407407407407	4.0	6.0	0.04371119254150013
1	1.0	False	0.18840415070912092	0.907612517266586	0.6666666666666666	0.01766911339596622	0.0657214831518117	0.07407407407407407	4.0	6.0	0.05740645767798362
2	0.0	True	0.2724394655216964	0.932261923188985	1.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.025	True	0.2726957729246734	0.9329710273717652	1.0	0.0002563074029769963	0.0007091041827801403	0.0	0.0	0.0	0.0004125595692557018
2	0.05	True	0.27293953905283785	0.9336522448092085	1.0	0.0005000735311414539	0.0013903216202234558	0.0	0.0	0.0	0.0008239838892318623
2	0.1	True	0.2733893815774529	0.9349316069310617	1.0	0.0009499160557565056	0.002669683742076656	0.0	0.0	0.0	0.0016684042297110814
2	0.15	True	0.27378888901643766	0.9361013171778478	1.0	0.0013494234947412642	0.0038393939888627937	0.0	0.0	0.0	0.002531654596762021
2	0.2	True	0.27413800274282996	0.937162885363965	1.0	0.0016985372211335559	0.004900962174979928	0.0	0.0	0.0	0.0033943742046679106
2	0.25	True	0.27443671099400313	0.9381180083739296	1.0	0.00199724547230673	0.005856085184944515	0.0	0.0	0.0	0.0042560588149026975
2	0.5	True	0.27517717712349127	0.9413673822776514	1.0	0.0027377116017948677	0.009105459088666334	0.0	0.0	0.0	0.008531051743584595
2	0.75	True	0.27468424179844014	0.9422888974459501	1.0	0.002244776276743743	0.010026974256965082	0.0	0.0	0.0	0.012730305620697723
2	1.0	True	0.2730124638633298	0.9412069558881229	1.0	0.0005729983416333795	0.008945032699137823	0.0	0.0	0.0	0.016932207276044015
3	0.0	True	0.5212980055525284	0.9320907531731707	1.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.025	True	0.5218404313981705	0.9330292797574394	1.0	0.0005424258456421249	0.0009385265842687396	0.0	0.0	0.0	0.0009221890907472752
3	0.05	True	0.52233546715805	0.9339260964488219	1.0	0.0010374616055216501	0.0018353432756511578	0.0	0.0	0.0	0.0018229623640692212
3	0.1	True	0.5231890444017553	0.9355949390533133	1.0	0.0018910388492269226	0.003504185880142563	0.0	0.0	0.0	0.0035623554724147828
3	0.15	True	0.5238699108369773	0.937098168769531	1.0	0.00257190528444895	0.0050074155963603095	0.0	0.0	0.0	0.00522088251286733
3	0.2	True	0.5243888855217779	0.9384369996107977	1.0	0.003090879969249505	0.0063462464376270455	0.0	0.0	0.0	0.006801108891669216
3	0.25	True	0.5247563509549311	0.9396129562986935	1.0	0.0034583454024027516	0.007522203125522764	0.0	0.0	0.0	0.008305738066939385
3	0.5	True	0.5246476813386517	0.9431224340557854	1.0	0.0033496757861233295	0.011031680882614747	0.0	0.0	0.0	0.011795274412019215
3	0.75	False	0.5219967867171464	0.942933809468687	0.9629629629629629	0.0006987811646180786	0.010843056295516296	-0.03703703703703709	1.0	0.0	0.012572686129137055
3	1.0	False	0.5175015564957924	0.9394681729788801	0.9259259259259259	-0.003796449056735929	0.007377419805709384	-0.07407407407407407	2.0	0.0	0.013576390996223799
4	0.0	True	0.5571293539076213	0.9200586293997617	0.8148148148148148	0.0	0.0	0.0	0.0	0.0	0.0
4	0.025	True	0.5579035629085697	0.9216568802274382	0.8148148148148148	0.0007742090009483782	0.0015982508276765062	0.0	0.0	0.0	0.000221410218821975
4	0.05	True	0.5586430017679939	0.9232124224961861	0.8148148148148148	0.0015136478603725578	0.0031537930964243843	0.0	0.0	0.0	0.00044067909162595723
4	0.1	True	0.560021069790567	0.9261928227294441	0.8148148148148148	0.002891715882945678	0.006134193329682458	0.0	0.0	0.0	0.0008946107474889899
4	0.15	True	0.5612703222378526	0.9289951009771833	0.8148148148148148	0.004140968330231254	0.008936471577421612	0.0	0.0	0.0	0.0013305574914158748
4	0.2	True	0.5623971485153377	0.9316152213234952	0.8148148148148148	0.005267794607716425	0.011556591923733484	0.0	0.0	0.0	0.0017390939354687705
4	0.25	True	0.5634075718262159	0.934049929516194	0.8148148148148148	0.00627821791859462	0.013991300116432348	0.0	0.0	0.0	0.0021471432468404654
4	0.5	True	0.5669002791798793	0.943389176892199	0.8148148148148148	0.00977092527225798	0.023330547492437348	0.0	0.0	0.0	0.004401290508255131
4	0.75	True	0.5681972574792232	0.9480959910566845	0.8148148148148148	0.011067903571601923	0.028037361656922832	0.0	0.0	0.0	0.0068936080693977235
4	1.0	True	0.5677151900707219	0.948596127919991	0.9259259259259259	0.010585836163100604	0.028537498520229354	0.11111111111111116	0.0	3.0	0.00890912401288144
