cone_mix	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
0.25	0.0	1000000000.0	True	0.0	0	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.005	-4.789530722333639	True	0.0	4	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.005	-4.789529722333639	True	0.027777777777777776	4	0.5155218038544622	0.9397903682821878	0.4305555555555556	1.5938648356694785e-06	5.697973203599993e-06	0.0	0.0	0.0	0.0
0.25	0.005	-4.478743530431977	True	0.05555555555555555	4	0.5155228157397235	0.9397929115259726	0.4305555555555556	2.6057500969178804e-06	8.241216988391642e-06	0.0	0.0	0.0	0.0
0.25	0.005	-4.001203059737141	True	0.1111111111111111	4	0.5155280406623389	0.9398003721420234	0.4305555555555556	7.830672712372255e-06	1.5701833039227786e-05	0.0	0.0	0.0	0.0
0.25	0.005	-3.9068719257963442	True	0.16666666666666666	4	0.515537552615715	0.9398096409839053	0.4305555555555556	1.734262608843462e-05	2.497067492113203e-05	0.0	0.0	0.0	0.0
0.25	0.005	-3.8128874694990844	True	0.2222222222222222	4	0.5155462864732039	0.9398402138136583	0.4305555555555556	2.6076483577330833e-05	5.5543504674182564e-05	0.0	0.0	0.0	0.0
0.25	0.005	-3.6311786892228985	True	0.25	4	0.5155477168325631	0.9398420708800478	0.4305555555555556	2.7506842936508846e-05	5.740057106362606e-05	0.0	0.0	0.0	0.0
0.25	0.005	-3.5917174915037617	True	0.3055555555555556	4	0.5155507388815583	0.9398469126239166	0.4305555555555556	3.052889193178032e-05	6.224231493245913e-05	0.0	0.0	0.0	0.0
0.25	0.005	-3.530022570226551	True	0.3611111111111111	4	0.5155562568335331	0.9398553087125003	0.4305555555555556	3.604684390656754e-05	7.063840351617667e-05	0.0	0.0	0.0	0.0
0.25	0.005	-3.3040719142377806	True	0.4166666666666667	4	0.515569893377622	0.9398893403211398	0.4305555555555556	4.968338799549166e-05	0.00010467001215563876	0.0	0.0	0.0	0.0
0.25	0.005	-3.1606724653112974	True	0.4444444444444444	4	0.5155727737419288	0.9398971425444531	0.4305555555555556	5.2563752302225986e-05	0.00011247223546895224	0.0	0.0	0.0	0.0
0.25	0.005	-2.8925052752130593	True	0.5	4	0.5155843685633203	0.9399079941710613	0.4305555555555556	6.415857369379552e-05	0.0001233238620771404	0.0	0.0	0.0	0.0
0.25	0.005	-2.779676589214641	True	0.5555555555555556	4	0.5155881854858753	0.9399140018695525	0.4305555555555556	6.797549624870669e-05	0.0001293315605683798	0.0	0.0	0.0	0.0
0.25	0.005	-2.5866496085946453	True	0.6111111111111112	4	0.5156079869411497	0.9399449309666442	0.4305555555555556	8.777695152317744e-05	0.0001602606576600607	0.0	0.0	0.0	0.0
0.25	0.005	-2.4429849818546328	True	0.6666666666666666	4	0.5156121678526092	0.9399539891107156	0.4305555555555556	9.195786298266118e-05	0.00016931880173143288	0.0	0.0	0.0	0.0
0.25	0.005	-2.3235067505135305	True	0.6944444444444444	4	0.5156152264151418	0.9399556754916935	0.4305555555555556	9.501642551523748e-05	0.000171005182709294	0.0	0.0	0.0	0.0
0.25	0.005	-2.1778690089888912	True	0.75	4	0.5156198767526706	0.9399609345711488	0.4305555555555556	9.966676304407063e-05	0.0001762642621646604	0.0	0.0	0.0	0.0
0.25	0.005	-2.0125451059750294	True	0.8055555555555556	4	0.5156364353399757	0.9399809703496077	0.4305555555555556	0.00011622535034916393	0.00019630004062354267	0.0	0.0	0.0	0.0
0.25	0.005	-1.4485380631122633	True	0.8611111111111112	4	0.5156637921197665	0.9399942539906321	0.4305555555555556	0.00014358213013998533	0.00020958368164791796	0.0	0.0	0.0	0.0
0.25	0.005	-0.10728910435619429	True	0.8888888888888888	4	0.5156676763271764	0.9399999225152111	0.4305555555555556	0.00014746633754980643	0.00021525220622697905	0.0	0.0	0.0	0.0
0.25	0.005	0.0	False	1.0	4	0.5157287109951612	0.940046656842334	0.4305555555555556	0.00020850100553460038	0.0002619865333498561	0.0	0.0	2.0	0.0
0.25	0.005	1e-06	False	1.0	4	0.5157287109951612	0.940046656842334	0.4305555555555556	0.00020850100553460038	0.0002619865333498561	0.0	0.0	2.0	0.0
0.25	0.01	-4.381463191966508	True	0.0	9	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.01	-4.3814621919665075	True	0.027777777777777776	9	0.5155233942248547	0.9397960543811088	0.4305555555555556	3.184235228159693e-06	1.1384072124642763e-05	0.0	0.0	0.0	0.0
0.25	0.01	-3.8917384261691814	True	0.05555555555555555	9	0.5155264222309022	0.939806302981331	0.4305555555555556	6.212241275616037e-06	2.1632672346894033e-05	0.0	0.0	0.0	0.0
0.25	0.01	-3.684470648546596	True	0.1111111111111111	9	0.5155431906790233	0.9398659191312295	0.4305555555555556	2.2980689396767673e-05	8.124882224536112e-05	0.0	0.0	0.0	0.0
0.25	0.01	-3.626165046994976	True	0.16666666666666666	9	0.5155480670076205	0.939874704816978	0.4305555555555556	2.7857017993904165e-05	9.003450799383028e-05	0.0	0.0	0.0	0.0
0.25	0.01	-3.613921621450771	True	0.2222222222222222	9	0.5155541030210226	0.9398843759806953	0.4305555555555556	3.389303139600397e-05	9.970567171113665e-05	0.0	0.0	0.0	0.0
0.25	0.01	-3.3333301830400637	True	0.25	9	0.5155564474576866	0.9398878766048718	0.4305555555555556	3.62374680600297e-05	0.00010320629588767005	0.0	0.0	0.0	0.0
0.25	0.01	-3.0725044892914566	True	0.3055555555555556	9	0.5155836410269832	0.9399557294633626	0.4305555555555556	6.343103735662048e-05	0.0001710591543784279	0.0	0.0	0.0	0.0
0.25	0.01	-2.845775566140239	True	0.3611111111111111	9	0.5156060113654072	0.9399770140604401	0.4305555555555556	8.58013757806253e-05	0.00019234375145593674	0.0	0.0	0.0	0.0
0.25	0.01	-2.630407464787667	True	0.4166666666666667	9	0.5156208510560896	0.9400052691116382	0.4305555555555556	0.00010064106646301418	0.0002205988026540151	0.0	0.0	0.0	0.0
0.25	0.01	-2.317740461328482	True	0.4444444444444444	9	0.515656693736924	0.9400592568337017	0.4305555555555556	0.0001364837472974667	0.0002745865247175683	0.0	0.0	0.0	0.0
0.25	0.01	-2.2460488597007497	True	0.5	9	0.5156668759032352	0.9400678048714046	0.4305555555555556	0.00014666591360867898	0.00028313456242046176	0.0	0.0	0.0	0.0
0.25	0.01	-2.124525581188577	True	0.5555555555555556	9	0.5156988344149878	0.9401029234240893	0.4305555555555556	0.00017862442536120682	0.0003182531151051382	0.0	0.0	0.0	0.0
