cone_mix	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
1.0	0.0	1000000000.0	True	0.0	0	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-6.3011801699676395	True	0.0	2	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-6.301179169967639	True	0.027777777777777776	2	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-6.167010976320398	True	0.05555555555555555	2	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-5.740906639968761	True	0.1111111111111111	2	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-5.5906818008145915	True	0.16666666666666666	2	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-5.438400593496193	True	0.2222222222222222	2	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-5.389622574308024	True	0.25	2	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-5.349587886519778	True	0.3055555555555556	2	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-5.211959329339288	False	0.3611111111111111	2	0.5155199697039226	0.9397846703089842	0.4305555555555556	-2.402857040006978e-07	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-5.044363793461524	False	0.4166666666666667	2	0.5155199697039226	0.9397846703089842	0.4305555555555556	-2.402857040006978e-07	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-4.411685175169698	False	0.4444444444444444	2	0.5155199862819793	0.9397846703089842	0.4305555555555556	-2.237076472955124e-07	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-4.34336052545973	False	0.5	2	0.5155199498714952	0.9397846703089842	0.4305555555555556	-2.601181313677259e-07	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-4.077595537749042	True	0.5555555555555556	2	0.5155207222340423	0.9397846703089842	0.4305555555555556	5.122444157734662e-07	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-3.664328510912112	True	0.6111111111111112	2	0.5155266996228889	0.9397846703089842	0.4305555555555556	6.489633262329875e-06	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-3.5332690035231766	True	0.6666666666666666	2	0.5155302180369722	0.9397846703089842	0.4305555555555556	1.0008047345633209e-05	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-3.2462834127361284	True	0.6944444444444444	2	0.5155302079092416	0.9397846703089842	0.4305555555555556	9.997919615090112e-06	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-3.1792353985674917	True	0.75	2	0.5155304640675342	0.9397846703089842	0.4305555555555556	1.0254077907667636e-05	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-2.9469971529785863	True	0.8055555555555556	2	0.5155305280196119	0.9397846703089842	0.4305555555555556	1.031802998530118e-05	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-1.7648692446557968	True	0.8611111111111112	2	0.5155314902330651	0.9397846703089842	0.4305555555555556	1.1280243438549498e-05	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-1.323698228713949	True	0.8888888888888888	2	0.5155318892370819	0.9397846703089842	0.4305555555555556	1.1679247455376185e-05	0.0	0.0	0.0	0.0	0.0
1.0	0.005	-0.34108069502639016	True	0.9444444444444444	2	0.5155308452109235	0.9397846703089842	0.4305555555555556	1.0635221296961817e-05	0.0	0.0	0.0	0.0	0.0
1.0	0.005	0.0	False	1.0	2	0.5155396653584862	0.9397846703089842	0.4305555555555556	1.9455368859611077e-05	0.0	0.0	0.0	1.0	0.0
1.0	0.005	1e-06	False	1.0	2	0.5155396653584862	0.9397846703089842	0.4305555555555556	1.9455368859611077e-05	0.0	0.0	0.0	1.0	0.0
1.0	0.01	-5.727338897660261	True	0.0	4	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.01	-5.727337897660261	True	0.027777777777777776	4	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.01	-5.489748029046773	True	0.05555555555555555	4	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.01	-5.357663748172281	True	0.1111111111111111	4	0.5155202099896266	0.9397846703089842	0.4305555555555556	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.01	-4.999983826174765	False	0.16666666666666666	4	0.515519726781676	0.9397846703089842	0.4305555555555556	-4.832079505412423e-07	0.0	0.0	0.0	0.0	0.0
1.0	0.01	-4.900908077551957	False	0.2222222222222222	4	0.515519726781676	0.9397846703089842	0.4305555555555556	-4.832079505412423e-07	0.0	0.0	0.0	0.0	0.0
1.0	0.01	-4.777803471785025	False	0.25	4	0.515519726781676	0.9397846703089842	0.4305555555555556	-4.832079505412423e-07	0.0	0.0	0.0	0.0	0.0
1.0	0.01	-4.715649182960406	False	0.3055555555555556	4	0.515519726781676	0.9397846703089842	0.4305555555555556	-4.832079505412423e-07	0.0	0.0	0.0	0.0	0.0
