seed	representation	status	transition_improvement	delta_cosine	recall_at_1	effective_rank	magnitude_ratio	transition_gap_vs_old_floor	delta_gap_vs_old_floor	recall_gap_vs_old_floor
0	old_bioflow_teacher_floor	completed	0.005661906516194076	0.39796251669473043	0.48148148148148145	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0	true_synthetic_z_bio	completed	-0.06301645167244598	-9.790117961145357e-05	0.25925925925925924	4.349829630776267	0.4890355234254571	-0.06867835818864006	-0.3980604178743419	-0.2222222222222222
0	clean_rna_train_pca	completed	-0.1477607262708741	-0.33481054196840093	0.1111111111111111	3.8859090871400532	0.37866933205638675	-0.1534226327870682	-0.7327730586631314	-0.37037037037037035
0	observed_rna_train_pca	completed	-0.08806952021114532	0.012019953733248183	0.1111111111111111	8.692308216109721	0.5500163320781489	-0.0937314267273394	-0.38594256296148227	-0.37037037037037035
0	observed_counts_train_pca	completed	-0.08806952021114532	0.012019953733248183	0.1111111111111111	8.692308216109721	0.5500163320781489	-0.0937314267273394	-0.38594256296148227	-0.37037037037037035
1	old_bioflow_teacher_floor	completed	0.021756478285427833	0.5404280277268804	0.3333333333333333	9.937518308977577	0.7933582487536444	0.0	0.0	0.0
1	true_synthetic_z_bio	completed	-0.06360184749804619	-0.07362024468844984	0.3333333333333333	5.178599827604713	0.5667454808087613	-0.08535832578347402	-0.6140482724153302	0.0
1	clean_rna_train_pca	completed	-0.1185553727696422	-0.2435094477477494	0.2222222222222222	4.227704604901044	0.5109233336460239	-0.14031185105507005	-0.7839374754746298	-0.1111111111111111
1	observed_rna_train_pca	completed	-0.06514402867255162	0.1760382097059019	0.1111111111111111	8.909741852790221	0.677418157915619	-0.08690050695797945	-0.3643898180209785	-0.2222222222222222
1	observed_counts_train_pca	completed	-0.06514402867255162	0.1760382097059019	0.1111111111111111	8.909741852790221	0.677418157915619	-0.08690050695797945	-0.3643898180209785	-0.2222222222222222
2	old_bioflow_teacher_floor	completed	0.009402064646795659	0.4018851082029823	0.2962962962962963	9.632914633777684	0.5918627929859949	0.0	0.0	0.0
2	true_synthetic_z_bio	completed	-0.04361086678353027	-0.018443380340785447	0.1111111111111111	4.789737849121798	0.4670025815966933	-0.05301293143032593	-0.42032848854376775	-0.18518518518518517
2	clean_rna_train_pca	completed	-0.17485136618581934	-0.38001920303712544	0.3333333333333333	3.9163748293488267	0.4364916588472674	-0.184253430832615	-0.7819043112401077	0.037037037037037035
2	observed_rna_train_pca	completed	-0.12570612019007404	-0.018472136009363562	0.2222222222222222	8.857103170414709	0.5851638590264417	-0.1351081848368697	-0.4203572442123458	-0.07407407407407407
2	observed_counts_train_pca	completed	-0.12570612019007404	-0.018472136009363562	0.2222222222222222	8.857103170414709	0.5851638590264417	-0.1351081848368697	-0.4203572442123458	-0.07407407407407407
3	old_bioflow_teacher_floor	completed	0.0004243423315500173	0.4200548145191377	0.25925925925925924	10.486444270464679	0.8778340372856198	0.0	0.0	0.0
3	true_synthetic_z_bio	completed	-0.0801913575335744	-0.17020830238566131	0.2222222222222222	4.581581781829161	0.6686847330165558	-0.08061569986512442	-0.5902631169047989	-0.037037037037037035
3	clean_rna_train_pca	completed	-0.11432033801228225	-0.1323989586311064	0.2222222222222222	4.471760100236261	0.8313273307349809	-0.11474468034383227	-0.5524537731502441	-0.037037037037037035
3	observed_rna_train_pca	completed	-0.025373559482427428	0.31801717558882536	0.18518518518518517	9.075477235080369	0.8929994000173198	-0.025797901813977446	-0.10203763893031231	-0.07407407407407407
3	observed_counts_train_pca	completed	-0.025373559482427428	0.31801717558882536	0.18518518518518517	9.075477235080369	0.8929994000173198	-0.025797901813977446	-0.10203763893031231	-0.07407407407407407
4	old_bioflow_teacher_floor	completed	0.019162402606056148	0.4972452146646043	0.2962962962962963	10.888689749023888	0.7407240625696372	0.0	0.0	0.0
4	true_synthetic_z_bio	completed	-0.06406502656440508	-0.14164971617866695	0.2222222222222222	4.6305175115491615	0.5466609378071702	-0.08322742917046122	-0.6388949308432712	-0.07407407407407407
4	clean_rna_train_pca	completed	-0.09557470154490151	-0.204433688515538	0.1111111111111111	4.120213438463594	0.536311248059707	-0.11473710415095766	-0.7016789031801423	-0.18518518518518517
4	observed_rna_train_pca	completed	-0.043750771472249206	0.2674965609481877	0.0	8.689246011472752	0.7713939655827372	-0.06291317407830535	-0.22974865371641662	-0.2962962962962963
4	observed_counts_train_pca	completed	-0.043750771472249206	0.2674965609481877	0.0	8.689246011472752	0.7713939655827372	-0.06291317407830535	-0.22974865371641662	-0.2962962962962963
