representation	seed_count	mean_transition_improvement	min_transition_improvement	mean_delta_cosine	min_delta_cosine	mean_recall_at_1	min_recall_at_1	mean_effective_rank	mean_magnitude_ratio	mean_transition_gap_vs_old_floor	min_transition_gap_vs_old_floor	mean_recall_gap_vs_old_floor
old_bioflow_teacher_floor	5	0.011281438877204748	0.0004243423315500173	0.45151513636166707	0.39796251669473043	0.3333333333333333	0.25925925925925924	10.245808787907375	0.7556432505625665	0.0	0.0	0.0
true_synthetic_z_bio	5	-0.06289711001040038	-0.0801913575335744	-0.080803908954635	-0.17020830238566131	0.22962962962962963	0.1111111111111111	4.7060533201762205	0.5476258513309276	-0.07417854888760514	-0.08535832578347402	-0.1037037037037037
observed_counts_train_pca	5	-0.06960880000568952	-0.12570612019007404	0.15101995279335992	-0.018472136009363562	0.1259259259259259	0.0	8.844775297173554	0.6953983429240533	-0.08089023888289427	-0.1351081848368697	-0.2074074074074074
observed_rna_train_pca	5	-0.06960880000568952	-0.12570612019007404	0.15101995279335992	-0.018472136009363562	0.1259259259259259	0.0	8.844775297173554	0.6953983429240533	-0.08089023888289427	-0.1351081848368697	-0.2074074074074074
clean_rna_train_pca	5	-0.1302125009567039	-0.17485136618581934	-0.259034367979984	-0.38001920303712544	0.2	0.1111111111111111	4.124392412017956	0.5387445806688731	-0.14149393983390862	-0.184253430832615	-0.13333333333333333
