pred_endpoint_to_source_cosine	pred_endpoint_to_target_cosine	source_to_target_cosine	pred_delta_to_true_delta_cosine	cell_line_id	perturbation_id	batch_id
0.9690668103073965	0.9738369346857433	0.9351566137867712	0.7792126406398688	0	3	2
0.9931773957973957	0.9702857323821047	0.9614354798470826	0.49564170022705506	1	1	2
0.958014979679139	0.9343489832290518	0.9273521799064832	0.46144306025495324	2	2	1
0.9471430325800918	0.9648004917434276	0.9371434421956534	0.6977671481122941	2	1	2
0.9012554848028993	0.8976438971469217	0.6835978300657952	0.9069999474402315	1	1	1
0.9756771508886902	0.8930186374703386	0.8317844198679208	0.6963393716822462	0	3	1
0.9893517216126855	0.9231522690150326	0.9150780694949804	0.33245923410012745	1	3	2
0.9510110269351769	0.9356231676012298	0.916166873727773	0.5440608115466066	0	2	1
0.9604978915245402	0.9030265492575876	0.9190477299623117	0.21508502124029644	0	1	2
0.9411508143810331	0.9587742219368399	0.8545929138844711	0.8792486347589215	0	2	2
0.9118883748884443	0.9541421746359736	0.9447350753050986	0.6872360008690868	2	2	2
0.9699310137743815	0.968481432559664	0.9299967442987556	0.7532456622576692	0	3	0
0.9840190214614685	0.9548221911320488	0.951853397128503	0.3626925129778896	1	1	0
0.9584807526390394	0.9630463867667599	0.9697274810444942	0.4938775426953594	0	1	1
0.9816073807416648	0.9044060916545402	0.8632474423791898	0.625945504568937	2	3	0
0.9770154997334463	0.9699065849337797	0.943251926077743	0.6935045155104201	1	3	0
0.9724986204604401	0.9480138871732827	0.9523702259681952	0.3332796608919086	0	1	0
0.9732164269549469	0.9338756314134098	0.9452895888900988	0.23665869309163803	2	1	0
0.9720547770167345	0.9597976793720333	0.9186351359370477	0.7329880591940581	1	3	1
0.8962652703328762	0.9426336409896229	0.7929426886660639	0.8715595011361639	2	3	2
0.9367361872704217	0.97083413939713	0.9485306419000711	0.7439483068321264	2	2	0
0.9419669931465353	0.9224442794238407	0.8300171107484332	0.7688486528409506	2	3	1
0.9858931004799747	0.717780814353091	0.793357010949335	-0.4770201935646735	1	2	2
