alpha_source_only	support_threshold	active_fraction	transition_improvement	recall_at_1	delta_cosine	delta_rank	magnitude_ratio	floor_gap_transition	floor_gap_recall	floor_gap_delta_cosine
0.0	0.6927830792808186	1.0	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.7411913856850569	0.8888888888888888	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.7716336318941415	0.8148148148148148	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.8194066234673232	0.7407407407407407	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.8351022750516954	0.6666666666666666	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.846594261214635	0.5925925925925926	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.8758977253508734	0.5185185185185185	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.8842389912966211	0.4074074074074074	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.888804513352674	0.3333333333333333	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.9080497913691117	0.25925925925925924	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.9244297576755922	0.18518518518518517	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.9323819284524113	0.1111111111111111	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.970448962190005	0.037037037037037035	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.0	0.970449962190005	0.0	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.025	0.6927830792808186	1.0	0.00589248054278021	0.4444444444444444	0.39948267453687625	10.28026120379506	0.7721169594735602	0.00023057402658613422	-0.037037037037037035	0.0015201578421458195
0.025	0.7411913856850569	0.8888888888888888	0.005909355546523108	0.4444444444444444	0.39946091558278246	10.281089963495381	0.7720224893997488	0.0002474490303290321	-0.037037037037037035	0.0014983988880520327
0.025	0.7716336318941415	0.8148148148148148	0.005922115465745331	0.4444444444444444	0.3996537116325228	10.280983361675327	0.7723239622671889	0.00026020894955125495	-0.037037037037037035	0.0016911949377923507
0.025	0.8194066234673232	0.7407407407407407	0.005873964520394356	0.4444444444444444	0.3995200494784474	10.279152256838035	0.7727693783019013	0.0002120580042002801	-0.037037037037037035	0.0015575327837169528
0.025	0.8351022750516954	0.6666666666666666	0.005805171101837466	0.4444444444444444	0.398839627203556	10.283209084211185	0.7728300329691193	0.00014326458564339027	-0.037037037037037035	0.0008771105088255515
0.025	0.846594261214635	0.5925925925925926	0.005759628338068246	0.4444444444444444	0.3984163614050175	10.287071957521132	0.7728811795181579	9.772182187417055e-05	-0.037037037037037035	0.00045384471028708795
0.025	0.8758977253508734	0.5185185185185185	0.00576557642711189	0.4444444444444444	0.39837465947503015	10.286557899925548	0.7728447312430089	0.00010366991091781408	-0.037037037037037035	0.00041214278029971796
0.025	0.8842389912966211	0.4074074074074074	0.0057515347901891615	0.4444444444444444	0.39843168788014477	10.28570231596885	0.7732457415859559	8.962827399508575e-05	-0.037037037037037035	0.000469171185414341
0.025	0.888804513352674	0.3333333333333333	0.005759357667413271	0.48148148148148145	0.3984393054981734	10.286177166018852	0.7734079244646809	9.745115121919529e-05	0.0	0.0004767888034429846
0.025	0.9080497913691117	0.25925925925925924	0.00574832332418031	0.48148148148148145	0.39833526143348796	10.287643556624289	0.7735925051662557	8.641680798623409e-05	0.0	0.00037274473875753555
0.025	0.9244297576755922	0.18518518518518517	0.005722223266037276	0.48148148148148145	0.3981742463621613	10.286518653601817	0.7740597762108972	6.031674984320005e-05	0.0	0.00021172966743088217
0.025	0.9323819284524113	0.1111111111111111	0.005690292007157135	0.48148148148148145	0.3980785104891517	10.287485948588376	0.7743267768735225	2.8385490963058965e-05	0.0	0.00011599379442128743
0.025	0.970448962190005	0.037037037037037035	0.00566484679167924	0.48148148148148145	0.3978627738781969	10.28691550651252	0.7743300853151246	2.9402754851640817e-06	0.0	-9.974281653352124e-05
0.025	0.970449962190005	0.0	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.05	0.6927830792808186	1.0	0.006113403116281736	0.4444444444444444	0.400958972198424	10.276679163509051	0.7698632634281042	0.00045149660008766013	-0.037037037037037035	0.002996455503693596
0.05	0.7411913856850569	0.8888888888888888	0.006147847030287405	0.4444444444444444	0.40091900776392353	10.278641528337186	0.7696700131447998	0.00048594051409332935	-0.037037037037037035	0.0029564910691931012
0.05	0.7716336318941415	0.8148148148148148	0.006174042362992822	0.4444444444444444	0.40131338241200826	10.278595032404645	0.7702677880298063	0.0005121358467987461	-0.037037037037037035	0.003350865717277829
0.05	0.8194066234673232	0.7407407407407407	0.006078572086551472	0.4444444444444444	0.40105069692324136	10.275014856090914	0.7711538713477437	0.00041666557035739595	-0.037037037037037035	0.0030881802285109283
0.05	0.8351022750516954	0.6666666666666666	0.00594173224297448	0.4444444444444444	0.39968704261640026	10.283444880385321	0.7712664912607683	0.0002798257267804041	-0.037037037037037035	0.0017245259216698283
0.05	0.846594261214635	0.5925925925925926	0.005851961396097075	0.4444444444444444	0.39884819156622836	10.291597670204856	0.7713600758244039	0.00019005487990299968	-0.037037037037037035	0.0008856748714979323
0.05	0.8758977253508734	0.5185185185185185	0.0058641956819572025	0.4444444444444444	0.3987627265190939	10.290529353676414	0.7712825519428711	0.00020228916576312678	-0.037037037037037035	0.0008002098243634626
0.05	0.8842389912966211	0.4074074074074074	0.00583731269737555	0.4444444444444444	0.3988815137902111	10.288660355313194	0.7720776824757174	0.00017540618118147468	-0.037037037037037035	0.0009189970954806559
0.05	0.888804513352674	0.3333333333333333	0.005853553062715145	0.48148148148148145	0.3988990825143282	10.2896069626167	0.7723995155452131	0.00019164654652106903	0.0	0.0009365658195977788
0.05	0.9080497913691117	0.25925925925925924	0.005832075068257912	0.48148148148148145	0.398693692257474	10.29247354974013	0.7727657196228196	0.00017016855206383654	0.0	0.0007311755627435468
0.05	0.9244297576755922	0.18518518518518517	0.005781315916673836	0.48148148148148145	0.39837965491789845	10.289972546829151	0.7736892870620568	0.00011940940047976047	0.0	0.0004171382231680232
0.05	0.9323819284524113	0.1111111111111111	0.005718013340364016	0.48148148148148145	0.3981919851538584	10.2917255971092	0.7742202647012454	5.610682416993997e-05	0.0	0.00022946845912796832
0.05	0.970448962190005	0.037037037037037035	0.005667549345043033	0.48148148148148145	0.39776263433934556	10.290473498960909	0.774224165761125	5.642828848957497e-06	0.0	-0.00019988235538487276
0.05	0.970449962190005	0.0	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.075	0.6927830792808186	1.0	0.006324655915554311	0.4444444444444444	0.40238933469346744	10.272726050183039	0.7676767196619425	0.0006627493993602357	-0.037037037037037035	0.004426817998737009
0.075	0.7411913856850569	0.8888888888888888	0.006377360264582461	0.4444444444444444	0.4023347045966164	10.276104891951354	0.7673803939608603	0.0007154537483883856	-0.037037037037037035	0.004372187901885982
0.075	0.7716336318941415	0.8148148148148148	0.00641766569286094	0.4444444444444444	0.4029396520736327	10.276273931207951	0.7682691751769007	0.0007557591766668642	-0.037037037037037035	0.004977135378902264
0.075	0.8194066234673232	0.7407407407407407	0.006275710234390495	0.4444444444444444	0.402552875010374	10.271010590582193	0.7695910472078545	0.0006138037181964194	-0.037037037037037035	0.004590358315643583
0.075	0.8351022750516954	0.6666666666666666	0.006071575260883253	0.4444444444444444	0.40050350459636186	10.284178288553282	0.7697469181848091	0.0004096687446891777	-0.037037037037037035	0.0025409879016314307
0.075	0.846594261214635	0.5925925925925926	0.005938899290560849	0.4444444444444444	0.39925708069387716	10.297074863488996	0.7698742473068013	0.00027699277436677317	-0.037037037037037035	0.0012945639991467361
