seed	active_fraction	safe_active_fraction	unsafe_active_fraction	transition_gap	delta_cosine_gap	recall_gap	transition_improvement	delta_cosine	condition_recall_at_1
0	0.8518518518518519	0.5185185185185185	0.3333333333333333	0.005107354795793779	0.007226329634545781	-0.1111111111111111	0.010769261311987854	0.4051888463292762	0.37037037037037035
1	0.5925925925925926	0.3333333333333333	0.25925925925925924	0.0016896395566159197	0.005005763929576856	0.0	0.023446117842043753	0.5454337916564572	0.3333333333333333
2	0.8148148148148148	0.7037037037037037	0.1111111111111111	0.0037303654719119464	0.0548316214838363	0.037037037037037035	0.013132430118707605	0.4567167296868186	0.3333333333333333
3	0.6666666666666666	0.5185185185185185	0.14814814814814814	0.003463837639415778	0.017314124071403703	0.037037037037037035	0.0038881799709657955	0.4373689385905414	0.2962962962962963
4	0.7037037037037037	0.4074074074074074	0.2962962962962963	0.002829104558944334	0.015244097274539514	0.037037037037037035	0.021991507165000482	0.5124893119391438	0.3333333333333333
