seed	feature	active_mean	safe_selected_mean	unsafe_selected_mean	safe_minus_unsafe_mean	unsafe_count	safe_count
0	floor_delta_support	0.8687519005456482	0.8811406025738482	0.8494805862795592	0.03166001629428894	9	14
0	blend_delta_support	0.8801348792302272	0.8922348277824748	0.8613127370378424	0.03092209074463237	9	14
0	support_gain	0.011382978684579102	0.011094225208626494	0.011832150758283156	-0.0007379255496566626	9	14
0	floor_blend_delta_cosine	0.9789214952086642	0.9793919136803326	0.9781897331416247	0.0012021805387079088	9	14
0	blend_minus_floor_norm	0.06260246408851836	0.06312644012186294	0.06178739025887127	0.001339049862991673	9	14
0	blend_to_floor_norm_ratio	0.896763869123599	0.9114121768627089	0.8739776126405387	0.037434564222170175	9	14
0	source_support	0.9929518921523176	0.9928010509842669	0.9931865339692852	-0.00038548298501839273	9	14
0	action_support	0.49999999999999994	0.49999999999999994	0.4999999999999999	5.551115123125783e-17	9	14
1	floor_delta_support	0.8518867660403904	0.8570424121610596	0.8452580781709585	0.011784333990101037	7	9
1	blend_delta_support	0.8546175576515407	0.8645444004502748	0.8418544740531685	0.02268992639710632	7	9
1	support_gain	0.002730791611150342	0.007501988289215185	-0.003403604117790171	0.010905592407005355	7	9
1	floor_blend_delta_cosine	0.9802066970978196	0.9813694572125615	0.9787117198074372	0.0026577374051243163	7	9
1	blend_minus_floor_norm	0.05694197143966305	0.05429222667370569	0.06034878613875109	-0.006056559465045401	7	9
1	blend_to_floor_norm_ratio	0.8949147327750941	0.8882060522882865	0.9035401791152751	-0.015334126826988537	7	9
1	source_support	0.9926000292899898	0.9917570333932709	0.9936838811571999	-0.0019268477639289294	7	9
1	action_support	0.4999999999999999	0.4999999999999999	0.49999999999999994	-5.551115123125783e-17	7	9
2	floor_delta_support	0.8365685669171689	0.8306875073748392	0.8738152773519209	-0.043127769977081676	3	19
2	blend_delta_support	0.8542597505387193	0.8516861716999177	0.8705590831844631	-0.018872911484545396	3	19
2	support_gain	0.017691183621550775	0.02099866432507843	-0.0032561941674577044	0.024254858492536134	3	19
2	floor_blend_delta_cosine	0.9643557349086286	0.9638833267338793	0.9673476533487065	-0.0034643266148272067	3	19
2	blend_minus_floor_norm	0.045483742302043155	0.04472545750386263	0.050286212690519805	-0.005560755186657176	3	19
2	blend_to_floor_norm_ratio	0.9219551587717706	0.9331251928549238	0.851211609578467	0.08191358327645681	3	19
2	source_support	0.9933792295038006	0.9928220585531293	0.9969079788580523	-0.004085920304922941	3	19
2	action_support	0.49999999999999994	0.4999999999999999	0.49999999999999983	5.551115123125783e-17	3	19
3	floor_delta_support	0.8436879503258442	0.8414988413417904	0.8513498317700328	-0.009850990428242334	4	14
3	blend_delta_support	0.8545088605064488	0.8511941421292802	0.8661103748265387	-0.014916232697258502	4	14
3	support_gain	0.010820910180604555	0.009695300787489878	0.014760543056505926	-0.005065242269016048	4	14
3	floor_blend_delta_cosine	0.9772588618983958	0.9774243421057864	0.9766796811725292	0.0007446609332572018	4	14
3	blend_minus_floor_norm	0.058767237909822016	0.06192283134010298	0.04772266090383862	0.014200170436264356	4	14
3	blend_to_floor_norm_ratio	0.8795498095716456	0.8645158656018507	0.9321686134659275	-0.06765274786407682	4	14
3	source_support	0.9933325676404462	0.99318190074216	0.9938599017844475	-0.000678001042287546	4	14
3	action_support	0.4999999999999999	0.49999999999999994	0.4999999999999999	5.551115123125783e-17	4	14
4	floor_delta_support	0.836026903928342	0.815798390662751	0.8638411096685297	-0.04804271900577872	8	11
4	blend_delta_support	0.856133609414348	0.8420796441912941	0.8754578115960469	-0.033378167404752745	8	11
4	support_gain	0.02010670548600597	0.026281253528543238	0.011616701927517223	0.014664551601026015	8	11
4	floor_blend_delta_cosine	0.9782937181783007	0.9786433757683288	0.9778129389920118	0.0008304367763170006	8	11
4	blend_minus_floor_norm	0.05205045803994101	0.05307564764497858	0.050640822333014354	0.002434825311964227	8	11
4	blend_to_floor_norm_ratio	0.9514152568893017	0.9414661055016142	0.9650953400473722	-0.023629234545757938	8	11
4	source_support	0.9909198179873269	0.9905315350483769	0.9914537070283832	-0.0009221719800063255	8	11
4	action_support	0.4999999999999999	0.49999999999999994	0.4999999999999999	5.551115123125783e-17	8	11
