seed	selected_residual_scale	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	selected_transition_improvement	selected_delta_cosine	selected_recall_at_1	selected_gap_transition	selected_gap_delta_cosine	selected_gap_recall	selected_delta_rank	selected_magnitude_ratio	retrieval_row_count	retrieval_broken_count	retrieval_repaired_count	retrieval_preserved_correct_count	retrieval_still_wrong_count	retrieval_broken_near_tie_fraction	retrieval_broken_mean_floor_margin	retrieval_broken_mean_selected_margin	retrieval_broken_mean_margin_change	retrieval_broken_mean_transition_gain_change	retrieval_broken_mean_delta_cosine_change	retrieval_mean_floor_margin	retrieval_mean_selected_margin	retrieval_mean_margin_change	retrieval_mean_rank_change	retrieval_mean_residual_norm	retrieval_selected_median_rank	retrieval_floor_median_rank	inner_val_selected_scale	inner_val_floor_transition	inner_val_floor_delta_cosine	inner_val_floor_recall_at_1	inner_val_selected_transition	inner_val_selected_delta_cosine	inner_val_selected_recall_at_1	inner_val_selected_gap_transition	inner_val_selected_gap_delta_cosine	inner_val_selected_gap_recall	identity_violation	leakage_flag
0	1.0	0.14366915588425286	0.9348091301779191	0.8888888888888888	0.14825547628213553	0.9553143432543786	0.7777777777777778	0.004586320397882676	0.020505213076459472	-0.11111111111111105	10.006084527613568	1.023538631645759	27.0	3.0	0.0	21.0	3.0	1.0	0.005743249971804569	-0.0018874143818404427	-0.007630664353645011	0.012682357378398623	0.015530890009343898	0.04787862585862564	0.06220697966393143	0.014328353805305796	0.1111111111111111	0.9008005581007865	1.0	1.0	1.0	0.14653098784106897	0.9278397509937192	0.5	0.15536239215804298	0.9658708032552284	0.5	0.008831404316974018	0.03803105226150927	0.0	0.0	0.0
1	1.0	0.1707350373131547	0.8418910341147743	0.5925925925925926	0.18840415070912092	0.907612517266586	0.6666666666666666	0.01766911339596622	0.0657214831518117	0.07407407407407407	10.371741735540782	1.0482673532287006	27.0	4.0	6.0	12.0	5.0	1.0	0.0010041597064095742	-0.001356163886047368	-0.002360323592456942	0.0014027506815658675	0.02367164385108772	-0.0017944427586545578	0.055612014919329066	0.05740645767798362	-0.3333333333333333	1.4390963029203543	1.0	1.0	1.0	0.20186171108345005	0.8934681092460667	0.5	0.22037426698043586	0.94284515949237	0.5909090909090909	0.018512555896985805	0.049377050246303344	0.09090909090909094	0.0	0.0
2	0.5	0.2724394655216964	0.932261923188985	1.0	0.27517717712349127	0.9413673822776514	1.0	0.0027377116017948677	0.009105459088666334	0.0	7.227778049797348	1.00800662103219	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025340978206050177	0.03387202994963477	0.008531051743584595	0.0	0.5142175797186743	1.0	1.0	0.5	0.3524021031755711	0.9572456073374324	0.7272727272727273	0.355380154553266	0.9581683660025139	0.7727272727272727	0.0029780513776949125	0.0009227586650815134	0.045454545454545414	0.0	0.0
3	0.1	0.5212980055525284	0.9320907531731707	1.0	0.5231890444017553	0.9355949390533133	1.0	0.0018910388492269226	0.003504185880142563	0.0	7.621333747678195	1.0131982890496312	27.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15187170315005852	0.15543405862247328	0.0035623554724147828	0.0	0.11033877152660489	1.0	1.0	0.1	0.49979749768459175	0.9306660975894416	0.7727272727272727	0.5018168418049863	0.9345573748309836	0.7727272727272727	0.0020193441203945617	0.003891277241541924	0.0	0.0	0.0
4	0.5	0.5571293539076213	0.9200586293997617	0.8148148148148148	0.5669002791798793	0.943389176892199	0.8148148148148148	0.00977092527225798	0.023330547492437348	0.0	7.695668962710091	1.0670733648228787	27.0	0.0	0.0	22.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06913614809181384	0.07353743860006898	0.004401290508255131	-0.07407407407407407	0.5872495899533073	1.0	1.0	0.5	0.6604840138916077	0.943364234409648	0.7272727272727273	0.6683715767068931	0.9553443136401601	0.7272727272727273	0.007887562815285354	0.011980079230512142	0.0	0.0	0.0
