outer_heldout_perturbation_ids	selected_delta_score_weight	inner_mean_condition_recall_at_1	inner_mean_perturbation_recall_at_1
1,2,3	1.0	0.5555555555555556	0.5555555555555556
1,2,4	1.0	0.6666666666666667	0.6666666666666667
1,2,5	0.65	0.5777777777777777	0.5777777777777777
1,2,6	0.5	0.6222222222222222	0.6222222222222222
1,2,7	1.0	0.5611111111111111	0.5611111111111111
1,2,8	0.65	0.5833333333333334	0.5833333333333334
1,3,4	0.2	0.5833333333333334	0.5833333333333334
1,3,5	0.5	0.5333333333333334	0.5333333333333334
1,3,6	0.5	0.5611111111111111	0.5611111111111111
1,3,7	0.8	0.5722222222222222	0.5722222222222222
1,3,8	1.0	0.5444444444444445	0.5444444444444445
1,4,5	1.0	0.5888888888888889	0.5888888888888889
1,4,6	0.2	0.6166666666666667	0.6166666666666667
1,4,7	1.0	0.65	0.65
1,4,8	0.65	0.6333333333333334	0.6333333333333334
1,5,6	0.5	0.5277777777777778	0.5277777777777778
1,5,7	0.8	0.5722222222222222	0.5722222222222222
1,5,8	0.05	0.5277777777777778	0.5277777777777778
1,6,7	0.65	0.5777777777777777	0.5777777777777777
1,6,8	1.0	0.5444444444444445	0.5444444444444445
1,7,8	0.65	0.5555555555555556	0.5555555555555556
2,3,4	0.65	0.6555555555555556	0.6555555555555556
2,3,5	0.65	0.55	0.55
2,3,6	1.0	0.5611111111111111	0.5611111111111111
2,3,7	1.0	0.5666666666666667	0.5666666666666667
2,3,8	1.0	0.6055555555555555	0.6055555555555555
2,4,5	0.8	0.6166666666666667	0.6166666666666667
2,4,6	1.0	0.6444444444444445	0.6444444444444445
2,4,7	1.0	0.638888888888889	0.638888888888889
2,4,8	0.8	0.6277777777777778	0.6277777777777778
2,5,6	0.5	0.5888888888888889	0.5888888888888889
2,5,7	0.8	0.5444444444444445	0.5444444444444445
2,5,8	0.8	0.55	0.55
2,6,7	1.0	0.6	0.6
2,6,8	0.2	0.5777777777777778	0.5777777777777778
2,7,8	0.65	0.5666666666666667	0.5666666666666667
3,4,5	0.5	0.5611111111111111	0.5611111111111111
3,4,6	0.8	0.6	0.6
3,4,7	1.0	0.5888888888888889	0.5888888888888889
3,4,8	1.0	0.6166666666666667	0.6166666666666667
3,5,6	0.8	0.5611111111111111	0.5611111111111111
3,5,7	1.0	0.55	0.55
3,5,8	1.0	0.55	0.55
3,6,7	0.65	0.5888888888888889	0.5888888888888889
3,6,8	0.2	0.5722222222222222	0.5722222222222222
3,7,8	0.1	0.5555555555555556	0.5555555555555556
4,5,6	0.8	0.6111111111111112	0.6111111111111112
4,5,7	1.0	0.6555555555555556	0.6555555555555556
4,5,8	0.35	0.5666666666666667	0.5666666666666667
4,6,7	1.0	0.638888888888889	0.638888888888889
4,6,8	0.8	0.611111111111111	0.611111111111111
4,7,8	0.8	0.6444444444444445	0.6444444444444445
5,6,7	0.8	0.5611111111111111	0.5611111111111111
5,6,8	0.65	0.5611111111111111	0.5611111111111111
5,7,8	0.2	0.5666666666666667	0.5666666666666667
6,7,8	0.65	0.5888888888888889	0.5888888888888889
