split	baseline	transition_source_cosine_improvement	absolute_target_cosine	source_as_target_bio_cosine_to_teacher	delta_cosine	delta_magnitude_ratio	delta_prediction_effective_rank	delta_teacher_effective_rank	source_improvement_hinge_violation_fraction	transition_to_target_map	transition_to_target_median_rank	transition_to_target_recall@1	transition_to_target_recall@5	transition_to_target_recall@10	transition_to_target_same_perturbation_enrichment@10	batch_allocation_gap
train	source_as_target_null	0.0	0.8976797916944727	0.8976797916944727	0.0	0.0	0.0	13.562688934741876	1.0	0.1685346535746907	8.5	0.09722222222222222	0.3611111111111111	0.5694444444444444	0.9666666666666666	0.013888888888888895
train	mean_delta_null	0.010785994354832261	0.9084657860493048	0.8976797916944727	0.34301596938563794	0.3994718334863852	0.0	13.562688934741876	0.6527777777777778	0.1936140321338849	8.0	0.18055555555555555	0.4027777777777778	0.5833333333333334	0.9222222222222223	0.013888888888888895
train	action_mean_delta	0.03957953931910195	0.9372593310135744	0.8976797916944727	0.5930421491371275	0.6706996498328205	5.569731630316757	13.562688934741876	0.3611111111111111	0.4337057310629376	2.0	0.4722222222222222	0.875	0.9583333333333334	2.3	0.013888888888888895
train	action_ridge_delta	0.07685792923111737	0.97453772092559	0.8976797916944727	0.8482527387662345	0.8535124586198578	11.631244288097243	13.562688934741876	0.1527777777777778	0.6140013663888149	1.0	0.7777777777777778	0.9861111111111112	1.0	2.6666666666666665	0.013888888888888895
train	action_low_rank_ridge	0.07402903673614311	0.9717088284306157	0.8976797916944727	0.8229836430630797	0.8318141431026945	7.045244851364066	13.562688934741876	0.16666666666666666	0.562726470886358	1.0	0.6111111111111112	1.0	1.0	2.566666666666667	0.013888888888888895
train	action_knn_delta	-0.0013604381085389565	0.8963193535859335	0.8976797916944727	0.3839014423488653	0.9884192807940634	12.964132041343522	13.562688934741876	0.6527777777777778	0.4381989120960264	1.0	0.5694444444444444	0.8611111111111112	0.9583333333333334	2.3111111111111113	0.013888888888888895
train	oracle_train_delta_upper_bound	0.10232020830552742	1.0	0.8976797916944727	1.0	1.0	13.562688934741876	13.562688934741876	0.0	0.5920447334991962	1.0	1.0	1.0	1.0	2.388888888888889	0.013888888888888895
eval	source_as_target_null	0.0	0.9031308180300731	0.9031308180300731	0.0	0.0	0.0	11.781895734223935	1.0	0.3477099476010151	4.0	0.2962962962962963	0.7037037037037037	0.8148148148148148	0.988888888888889	-0.037037037037037035
eval	mean_delta_null	-0.018758301311607058	0.8843725167184663	0.9031308180300731	-0.07606912518751253	0.39321249800892144	0.0	11.781895734223935	0.8148148148148148	0.35764460281955546	5.0	0.3333333333333333	0.5925925925925926	0.8518518518518519	1.0	-0.037037037037037035
eval	action_mean_delta	-0.018758301311607058	0.8843725167184663	0.9031308180300731	-0.07606912518751253	0.39321249800892144	0.0	11.781895734223935	0.8148148148148148	0.35764460281955546	5.0	0.3333333333333333	0.5925925925925926	0.8518518518518519	1.0	-0.037037037037037035
eval	action_ridge_delta	0.005661906516194076	0.9087927245462672	0.9031308180300731	0.3979625166947304	0.7744371112179363	10.283476977293052	11.781895734223935	0.7407407407407407	0.39993427495606143	2.0	0.48148148148148145	0.8148148148148148	0.9259259259259259	1.0222222222222224	-0.037037037037037035
eval	action_low_rank_ridge	0.004628779569003859	0.9077595975990769	0.9031308180300731	0.3877486776016694	0.7585053440464369	6.768064725485387	11.781895734223935	0.7407407407407407	0.39447613771687845	2.0	0.4074074074074074	0.7777777777777778	0.9629629629629629	1.011111111111111	-0.037037037037037035
eval	action_knn_delta	-0.0691836083273717	0.8339472097027014	0.9031308180300731	0.15175240844798055	1.1209763792392502	10.585675798986209	11.781895734223935	0.8148148148148148	0.38246995870202966	2.0	0.4074074074074074	0.9259259259259259	0.9259259259259259	1.1555555555555554	-0.037037037037037035
