audit	step_count	transition_source_cosine_improvement	absolute_target_cosine	delta_cosine	delta_magnitude_ratio	delta_prediction_effective_rank	source_improvement_hinge_violation_fraction
zero_init	0.0	-2.4835269396561444e-09	0.8976797461509705	0.0	0.0	0.0	1.0
one_step_raw_delta_mse	1.0	0.000614973425399512	0.8982948660850525	0.4107567369937897	0.009023471735417843	6.613606545115919	1.0
raw_delta_mse	20.0	0.040303174406290054	0.937982976436615	0.6698502898216248	1.151134967803955	9.723474104019148	0.4722222089767456
endpoint_cosine	20.0	0.060716815292835236	0.9583966732025146	0.12290426343679428	16.39937400817871	8.38934295134073	0.2916666567325592
whitened_delta_mse	20.0	0.038584038615226746	0.9362637996673584	0.6031650304794312	0.857673704624176	9.620426838472392	0.4722222089767456
whitened_hinge_direction	20.0	-0.7516599893569946	0.14601987600326538	0.41790831089019775	17.71075439453125	8.678486658404271	1.0
