split	vector	rows	dims	min_std	mean_std	rank	effective_rank	top_singular	nearest_train_distance_mean	nearest_train_distance_median	nearest_train_distance_max	centroid_shift_from_train	mean_std_ratio_to_train
train	z_bio_mean	32	16	0.21674326811228126	0.3787950113355376	16	6.568944047514382	7.279153768490927	0.5116945954911396	0.5006602511576936	0.8189771518462017	0.0	1.0
train	z_tech_mean	32	4	0.06428661736218656	0.3189395671999311	4	2.0998676752218506	3.9902052783702073	0.35993363826166314	0.2671678239548165	1.154416193668468	0.0	1.0
train	rna_mean	32	128	0.44778176892604526	0.768329842398933	31	28.45232267153942	23.911816908995803	13.286161746759468	13.43412261972722	15.100300640844535	0.0	1.0
train	image_mean_flat	32	256	0.02435351522821247	0.0821887778692012	31	11.73498317106596	6.116557071564475	5.810850248598941	5.999266999965041	7.5793886010808285	0.0	1.0
val	z_bio_mean	32	16	0.2247737609430353	0.3846557626370279	16	8.362535630203952	7.3829298598501065	0.9563740656036004	0.8915036255309742	1.4968994959876356	0.014021811103435176	1.015472092097588
val	z_tech_mean	32	4	0.19773888677264365	0.3751433838046056	4	2.885655596937312	3.8914959483129183	1.5539762385738447	1.1181652629744119	6.3588260252781295	0.04224594094870056	1.1762208969495542
val	rna_mean	32	128	1.0380110049728142	1.7075849361585003	31	29.299572237571226	40.383053081116934	25.898476482342485	25.94593135793305	32.07796784912542	0.29982787476237854	2.2224633769618523
val	image_mean_flat	32	256	0.031214477764604315	0.0852602060112225	31	17.478960539120422	6.16438845331508	7.646534100444885	7.566150573650832	9.764041357493856	0.005476840918823273	1.037370407756997
test	z_bio_mean	32	16	0.22931905190894442	0.3885737981742332	16	8.490109775585708	7.23290339230423	1.0217437242631138	0.9883958122276746	1.6666259424652092	0.017004188983997366	1.0258155111499965
test	z_tech_mean	32	4	0.12488689765782172	0.36902277539497885	4	2.6552615618338162	4.2164901143007505	0.9968559911964068	0.5778873301277276	4.671207128608707	0.06109225188536209	1.157030401197141
test	rna_mean	32	128	0.9639583287342258	1.600392949177377	31	29.591695076263886	31.807676834480645	24.483855902589983	24.299318092201037	33.133770945245445	0.3106690801233595	2.082950395601606
test	image_mean_flat	32	256	0.024987600033576758	0.08713626891567508	31	17.457585605105795	6.0789445678307175	7.548180746182826	7.532874863003939	9.219522087057003	0.005929367541218491	1.0601966737399056
