candidate_id	selected	decision_label	cv_lcb_transition_gap	cv_lcb_recall_gap	mean_transition_gap	mean_recall_gap	mean_delta_cosine_gap	mean_delta_rank_gap	magnitude_ratio_mean	residual_scale	residual_gate_mean	residual_gate_nonzero_fraction	train_residual_fit_metric	calibration_residual_fit_metric	residual_train_to_calibration_gap	action_negative_gap	permutation_action_gap
spectral	False	spectral_FAILS_CV_GATE	-0.00020704404417760337	-0.041111111111111126	-0.00014980322662127166	-0.013888888888888895	-0.0007381843325368759	0.012371957548175772	0.7284217542170404	0.0	0.0	0.0	0.0018149231190924897	0.0060181090335698914	0.004203185914477402	-0.00014980322662127166	0.0
kernel	False	kernel_FAILS_CV_GATE	9.480582315730084e-05	-0.044453702739398436	0.0003999431065619466	0.0	0.005223782224266213	0.05879236658981757	0.7282364752386078	0.0	0.0	0.0	0.0016075403649024322	0.005920044346230418	0.0043125039813279855	0.0003999431065619466	0.0
program	False	program_FAILS_CV_GATE	-3.446828235900885e-17	0.0	8.673617379884035e-18	0.0	1.3877787807814457e-16	8.881784197001252e-16	0.7248685424975094	0.0	0.0	0.0	0.0019434237636129362	0.0058458032994182976	0.003902379535805361	8.673617379884035e-18	0.0
