fold_id	blend_alpha	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio	transition_gap_vs_raw	delta_cosine_gap_vs_raw	recall_gap_vs_raw
0	0.0	0.5595461801332587	0.979976107510138	1.0	4.717992237251231	0.8762126793174252	0.0	0.0	0.0
0	0.1	0.5579986192596325	0.978275992746583	1.0	4.717053038214999	0.868540760419709	-0.0015475608736262858	-0.0017001147635550273	0.0
0	0.2	0.554194664550519	0.9740692557949481	1.0	4.717184313152307	0.8629097162397917	-0.005351515582739719	-0.005906851715189898	0.0
0	0.35	0.543991679277385	0.96279600633064	1.0	4.719950096738356	0.8584360822958087	-0.015554500855873732	-0.017180101179497975	0.0
0	0.5	0.5283292468648273	0.9454435065956962	1.0	4.726336137913819	0.8588782873233749	-0.031216933268431446	-0.03453260091444177	0.0
0	0.65	0.5075613326981638	0.9222431855903741	1.0	4.736336682921346	0.8643182185620876	-0.051984847435094905	-0.05773292191976387	0.0
0	0.8	0.4824529653244757	0.8938511795194597	1.0	4.74913049609471	0.8747289521629361	-0.07709321480878306	-0.08612492799067828	0.0
0	1.0	0.443999391592096	0.8496905185923127	1.0	4.768085866068854	0.8960866108017395	-0.11554678854116274	-0.13028558891782527	0.0
1	0.0	1.2030610569160507	0.9850710390767115	1.0	5.308349287735332	0.8105688361285338	0.0	0.0	0.0
1	0.1	1.200839494726133	0.9821773502995216	1.0	5.3275468155654355	0.7980071101778744	-0.0022215621899177584	-0.0028936887771898734	0.0
1	0.2	1.1913248841211157	0.9737046528369131	1.0	5.333478980108082	0.7893470082873858	-0.011736172794934996	-0.011366386239798354	0.0
1	0.35	1.1626614757024143	0.9495448252370398	1.0	5.315164276284571	0.784219932074928	-0.040399581213636404	-0.035526213839671694	0.0
1	0.5	1.1173195482255227	0.9111151437052861	1.0	5.266493332711851	0.7891850348913243	-0.08574150869052799	-0.07395589537142533	0.0
1	0.65	1.0580984871413033	0.859504234988487	1.0	5.197345363937624	0.8047086204214261	-0.14496256977474742	-0.1255668040882244	0.0
1	0.8	0.9899381187136387	0.7982375531946655	1.0	5.122676206024447	0.8307371504203672	-0.21312293820241202	-0.18683348588204596	0.0
1	1.0	0.8953665793460637	0.7108134038825468	1.0	5.037316055919877	0.8804902700843956	-0.307694477569987	-0.2742576351941647	0.0
2	0.0	0.9044106327170304	0.9860909559347599	1.0	5.267135238870769	0.8881663592020368	0.0	0.0	0.0
2	0.1	0.902410588751976	0.9848153677567251	1.0	5.241946287330617	0.8870502188560143	-0.0020000439650543766	-0.0012755881780348588	0.0
2	0.2	0.8968738859598596	0.980029045688493	1.0	5.221511411364279	0.8890732554194678	-0.007536746757170754	-0.0060619102462668994	0.0
2	0.35	0.8822879808070808	0.9663578025412686	1.0	5.2014161550232485	0.8980193675354212	-0.022122651909949553	-0.019733153393491354	0.0
2	0.5	0.8610735403420234	0.9454863205173796	1.0	5.194238561308332	0.9139543801626019	-0.043337092375006936	-0.04060463541738035	0.0
2	0.65	0.8346389132220269	0.9185744348274937	1.0	5.198297494670385	0.9365939641766607	-0.06977171949500349	-0.06751652110726625	0.0
2	0.8	0.8045708277001832	0.8871260504060637	1.0	5.210755897393587	0.9655022620076368	-0.0998398050168472	-0.09896490552869619	0.0
2	1.0	0.7614109061870116	0.8408746029110035	1.0	5.235235849889876	1.0128573827266205	-0.1429997265300188	-0.14521635302375646	0.0
3	0.0	0.9116564204404514	0.9840703661021754	1.0	5.494854367034457	0.8740436799789927	0.0	0.0	0.0
3	0.1	0.9061627087966594	0.979819825506551	1.0	5.460593910880063	0.8728111243618376	-0.005493711643791976	-0.0042505405956243525	0.0
3	0.2	0.8948071150862684	0.9708520286819228	1.0	5.419030590307229	0.8758780600476346	-0.016849305354182942	-0.01321833742025258	0.0
3	0.35	0.869044470344418	0.9495645534226063	1.0	5.3428675067517535	0.8882129387309096	-0.04261195009603336	-0.03450581267956909	0.0
3	0.5	0.836015535719331	0.9202985687305549	1.0	5.2539361704093395	0.9092988609668234	-0.0756408847211204	-0.06377179737162042	0.0
3	0.65	0.7985208600676162	0.8845614607974028	1.0	5.159928239182262	0.9385059275757422	-0.11313556037283512	-0.09950890530477252	0.0
3	0.8	0.7584906083304309	0.8438586285988869	1.0	5.069000366413736	0.9751866803891872	-0.15316581211002045	-0.14021173750328841	0.0
3	1.0	0.7034446979211738	0.784660576114488	1.0	4.962635862799244	1.0345545352527556	-0.20821172251927755	-0.19940978998768732	0.0
