perturbation,dose,time,cell_line,perturbation_type,target_gene,moa,condition_key_coarse,condition_key_medium,condition_key_fine,condition_key_with_type,bio_key,condition_id,condition_key,batch,plate,run,well,site,z_plane,imaging_channel,sequencing_lane,library_id
BRD-K53517854,10uM,24h,A549,compound,NA,Selective serotonin reuptake inhibitor (SSRI),BRD-K53517854,BRD-K53517854|10uM|24h,BRD-K53517854|10uM|24h|A549,BRD-K53517854|compound|10uM|24h|A549,BRD-K53517854|10uM,BRD-K53517854|10uM,BRD-K53517854|10uM,SQ00015138,SQ00015138,NA,H13,profile,NA,NA,NA,NA
BRD-K53814070,10uM,24h,A549,compound,NA,Rho associated kinase inhibitor,BRD-K53814070,BRD-K53814070|10uM|24h,BRD-K53814070|10uM|24h|A549,BRD-K53814070|compound|10uM|24h|A549,BRD-K53814070|10uM,BRD-K53814070|10uM,BRD-K53814070|10uM,SQ00015138,SQ00015138,NA,I01,profile,NA,NA,NA,NA
BRD-K54770957,10uM,24h,A549,compound,NA,Cyclooxygenase inhibitor,BRD-K54770957,BRD-K54770957|10uM|24h,BRD-K54770957|10uM|24h|A549,BRD-K54770957|compound|10uM|24h|A549,BRD-K54770957|10uM,BRD-K54770957|10uM,BRD-K54770957|10uM,SQ00015138,SQ00015138,NA,K01,profile,NA,NA,NA,NA
BRD-K55512740,10uM,24h,A549,compound,NA,NA,BRD-K55512740,BRD-K55512740|10uM|24h,BRD-K55512740|10uM|24h|A549,BRD-K55512740|compound|10uM|24h|A549,BRD-K55512740|10uM,BRD-K55512740|10uM,BRD-K55512740|10uM,SQ00015198,SQ00015198,NA,J07,profile,NA,NA,NA,NA
BRD-K56751279,10uM,24h,A549,compound,NA,Rho associated kinase inhibitor,BRD-K56751279,BRD-K56751279|10uM|24h,BRD-K56751279|10uM|24h|A549,BRD-K56751279|compound|10uM|24h|A549,BRD-K56751279|10uM,BRD-K56751279|10uM,BRD-K56751279|10uM,SQ00015198,SQ00015198,NA,C07,profile,NA,NA,NA,NA
BRD-K56810756,10uM,24h,A549,compound,NA,Alcohol dehydrogenase inhibitor,BRD-K56810756,BRD-K56810756|10uM|24h,BRD-K56810756|10uM|24h|A549,BRD-K56810756|compound|10uM|24h|A549,BRD-K56810756|10uM,BRD-K56810756|10uM,BRD-K56810756|10uM,SQ00015134,SQ00015134,NA,F01,profile,NA,NA,NA,NA
BRD-K57545991,10uM,24h,A549,compound,NA,Angiotensin converting enzyme inhibitor,BRD-K57545991,BRD-K57545991|10uM|24h,BRD-K57545991|10uM|24h|A549,BRD-K57545991|compound|10uM|24h|A549,BRD-K57545991|10uM,BRD-K57545991|10uM,BRD-K57545991|10uM,SQ00015134,SQ00015134,NA,H01,profile,NA,NA,NA,NA
BRD-K58626373,10uM,24h,A549,compound,NA,Serotonin receptor agonist,BRD-K58626373,BRD-K58626373|10uM|24h,BRD-K58626373|10uM|24h|A549,BRD-K58626373|compound|10uM|24h|A549,BRD-K58626373|10uM,BRD-K58626373|10uM,BRD-K58626373|10uM,SQ00015134,SQ00015134,NA,I07,profile,NA,NA,NA,NA
BRD-K58736316,10uM,24h,A549,compound,NA,Fatty acid synthase inhibitor,BRD-K58736316,BRD-K58736316|10uM|24h,BRD-K58736316|10uM|24h|A549,BRD-K58736316|compound|10uM|24h|A549,BRD-K58736316|10uM,BRD-K58736316|10uM,BRD-K58736316|10uM,SQ00015134,SQ00015134,NA,J07,profile,NA,NA,NA,NA
BRD-K58951486,10uM,24h,A549,compound,NA,Acetylcholine receptor antagonist,BRD-K58951486,BRD-K58951486|10uM|24h,BRD-K58951486|10uM|24h|A549,BRD-K58951486|compound|10uM|24h|A549,BRD-K58951486|10uM,BRD-K58951486|10uM,BRD-K58951486|10uM,SQ00015134,SQ00015134,NA,I13,profile,NA,NA,NA,NA
