perturbation,dose,time,cell_line,perturbation_type,target_gene,moa,condition_key_coarse,condition_key_medium,condition_key_fine,condition_key_with_type,bio_key,condition_id,condition_key,batch,plate,run,well,site,z_plane,imaging_channel,sequencing_lane,library_id
BRD-K78431006,10uM,24h,A549,compound,NA,ALK tyrosine kinase receptor inhibitor,BRD-K78431006,BRD-K78431006|10uM|24h,BRD-K78431006|10uM|24h|A549,BRD-K78431006|compound|10uM|24h|A549,BRD-K78431006|10uM,BRD-K78431006|10uM,BRD-K78431006|10uM,SQ00014820,SQ00014820,NA,N01,profile,NA,NA,NA,NA
BRD-K79095980,10uM,24h,A549,compound,NA,Antimetabolite,BRD-K79095980,BRD-K79095980|10uM|24h,BRD-K79095980|10uM|24h|A549,BRD-K79095980|compound|10uM|24h|A549,BRD-K79095980|10uM,BRD-K79095980|10uM,BRD-K79095980|10uM,SQ00015044,SQ00015044,NA,M19,profile,NA,NA,NA,NA
BRD-K79254416,10uM,24h,A549,compound,NA,DNA methyltransferase inhibitor,BRD-K79254416,BRD-K79254416|10uM|24h,BRD-K79254416|10uM|24h|A549,BRD-K79254416|compound|10uM|24h|A549,BRD-K79254416|10uM,BRD-K79254416|10uM,BRD-K79254416|10uM,SQ00014812,SQ00014812,NA,B19,profile,NA,NA,NA,NA
BRD-K79602928,10uM,24h,A549,compound,NA,Insulin sensitizer,BRD-K79602928,BRD-K79602928|10uM|24h,BRD-K79602928|10uM|24h|A549,BRD-K79602928|compound|10uM|24h|A549,BRD-K79602928|10uM,BRD-K79602928|10uM,BRD-K79602928|10uM,SQ00014820,SQ00014820,NA,P13,profile,NA,NA,NA,NA
BRD-K79759585,10uM,24h,A549,compound,NA,Phosphodiesterase inhibitor,BRD-K79759585,BRD-K79759585|10uM|24h,BRD-K79759585|10uM|24h|A549,BRD-K79759585|compound|10uM|24h|A549,BRD-K79759585|10uM,BRD-K79759585|10uM,BRD-K79759585|10uM,SQ00014820,SQ00014820,NA,O19,profile,NA,NA,NA,NA
BRD-K79989959,10uM,24h,A549,compound,NA,RNA polymerase inhibitor,BRD-K79989959,BRD-K79989959|10uM|24h,BRD-K79989959|10uM|24h|A549,BRD-K79989959|compound|10uM|24h|A549,BRD-K79989959|10uM,BRD-K79989959|10uM,BRD-K79989959|10uM,SQ00015044,SQ00015044,NA,P07,profile,NA,NA,NA,NA
BRD-K80082640,10uM,24h,A549,compound,NA,Coagulation factor inhibitor,BRD-K80082640,BRD-K80082640|10uM|24h,BRD-K80082640|10uM|24h|A549,BRD-K80082640|compound|10uM|24h|A549,BRD-K80082640|10uM,BRD-K80082640|10uM,BRD-K80082640|10uM,SQ00015096,SQ00015096,NA,G07,profile,NA,NA,NA,NA
BRD-K80738081,10uM,24h,A549,compound,NA,Cytochrome P450 inhibitor|SIRT activator,BRD-K80738081,BRD-K80738081|10uM|24h,BRD-K80738081|10uM|24h|A549,BRD-K80738081|compound|10uM|24h|A549,BRD-K80738081|10uM,BRD-K80738081|10uM,BRD-K80738081|10uM,SQ00015129,SQ00015129,NA,N19,profile,NA,NA,NA,NA
BRD-K81258678,10uM,24h,A549,compound,NA,RNA polymerase inhibitor,BRD-K81258678,BRD-K81258678|10uM|24h,BRD-K81258678|10uM|24h|A549,BRD-K81258678|compound|10uM|24h|A549,BRD-K81258678|10uM,BRD-K81258678|10uM,BRD-K81258678|10uM,SQ00014812,SQ00014812,NA,P01,profile,NA,NA,NA,NA
BRD-K81272440,10uM,24h,A549,compound,NA,Calcium channel blocker,BRD-K81272440,BRD-K81272440|10uM|24h,BRD-K81272440|10uM|24h|A549,BRD-K81272440|compound|10uM|24h|A549,BRD-K81272440|10uM,BRD-K81272440|10uM,BRD-K81272440|10uM,SQ00015100,SQ00015100,NA,C01,profile,NA,NA,NA,NA
BRD-K81694556,10uM,24h,A549,compound,NA,NA,BRD-K81694556,BRD-K81694556|10uM|24h,BRD-K81694556|10uM|24h|A549,BRD-K81694556|compound|10uM|24h|A549,BRD-K81694556|10uM,BRD-K81694556|10uM,BRD-K81694556|10uM,SQ00015100,SQ00015100,NA,D13,profile,NA,NA,NA,NA
BRD-K82467063,10uM,24h,A549,compound,NA,NA,BRD-K82467063,BRD-K82467063|10uM|24h,BRD-K82467063|10uM|24h|A549,BRD-K82467063|compound|10uM|24h|A549,BRD-K82467063|10uM,BRD-K82467063|10uM,BRD-K82467063|10uM,SQ00015100,SQ00015100,NA,F19,profile,NA,NA,NA,NA
BRD-K82767007,10uM,24h,A549,compound,NA,Thromboxane synthase inhibitor,BRD-K82767007,BRD-K82767007|10uM|24h,BRD-K82767007|10uM|24h|A549,BRD-K82767007|compound|10uM|24h|A549,BRD-K82767007|10uM,BRD-K82767007|10uM,BRD-K82767007|10uM,SQ00015100,SQ00015100,NA,G01,profile,NA,NA,NA,NA
BRD-K83057217,10uM,24h,A549,compound,NA,Thymidylate synthase inhibitor,BRD-K83057217,BRD-K83057217|10uM|24h,BRD-K83057217|10uM|24h|A549,BRD-K83057217|compound|10uM|24h|A549,BRD-K83057217|10uM,BRD-K83057217|10uM,BRD-K83057217|10uM,SQ00015100,SQ00015100,NA,H19,profile,NA,NA,NA,NA
BRD-K84011460,10uM,24h,A549,compound,NA,Ion channel antagonist,BRD-K84011460,BRD-K84011460|10uM|24h,BRD-K84011460|10uM|24h|A549,BRD-K84011460|compound|10uM|24h|A549,BRD-K84011460|10uM,BRD-K84011460|10uM,BRD-K84011460|10uM,SQ00015096,SQ00015096,NA,I01,profile,NA,NA,NA,NA
BRD-K84163249,10uM,24h,A549,compound,NA,Vitamin D receptor agonist,BRD-K84163249,BRD-K84163249|10uM|24h,BRD-K84163249|10uM|24h|A549,BRD-K84163249|compound|10uM|24h|A549,BRD-K84163249|10uM,BRD-K84163249|10uM,BRD-K84163249|10uM,SQ00015100,SQ00015100,NA,J19,profile,NA,NA,NA,NA
BRD-K84783599,10uM,24h,A549,compound,NA,Guanylate cyclase stimulant,BRD-K84783599,BRD-K84783599|10uM|24h,BRD-K84783599|10uM|24h|A549,BRD-K84783599|compound|10uM|24h|A549,BRD-K84783599|10uM,BRD-K84783599|10uM,BRD-K84783599|10uM,SQ00015100,SQ00015100,NA,L07,profile,NA,NA,NA,NA
BRD-K84892605,10uM,24h,A549,compound,NA,CFTR channel antagonist,BRD-K84892605,BRD-K84892605|10uM|24h,BRD-K84892605|10uM|24h|A549,BRD-K84892605|compound|10uM|24h|A549,BRD-K84892605|10uM,BRD-K84892605|10uM,BRD-K84892605|10uM,SQ00015100,SQ00015100,NA,L19,profile,NA,NA,NA,NA
BRD-K84986517,10uM,24h,A549,compound,NA,HIV protease inhibitor,BRD-K84986517,BRD-K84986517|10uM|24h,BRD-K84986517|10uM|24h|A549,BRD-K84986517|compound|10uM|24h|A549,BRD-K84986517|10uM,BRD-K84986517|10uM,BRD-K84986517|10uM,SQ00015096,SQ00015096,NA,D13,profile,NA,NA,NA,NA
BRD-K84996356,10uM,24h,A549,compound,NA,Drugs Acting on Androgen Receptor,BRD-K84996356,BRD-K84996356|10uM|24h,BRD-K84996356|10uM|24h|A549,BRD-K84996356|compound|10uM|24h|A549,BRD-K84996356|10uM,BRD-K84996356|10uM,BRD-K84996356|10uM,SQ00015096,SQ00015096,NA,D19,profile,NA,NA,NA,NA
BRD-K85833139,10uM,24h,A549,compound,NA,Protein synthesis stimulant,BRD-K85833139,BRD-K85833139|10uM|24h,BRD-K85833139|10uM|24h|A549,BRD-K85833139|compound|10uM|24h|A549,BRD-K85833139|10uM,BRD-K85833139|10uM,BRD-K85833139|10uM,SQ00015096,SQ00015096,NA,E07,profile,NA,NA,NA,NA
BRD-K85925969,10uM,24h,A549,compound,NA,Nucleoside reverse transcriptase inhibitor,BRD-K85925969,BRD-K85925969|10uM|24h,BRD-K85925969|10uM|24h|A549,BRD-K85925969|compound|10uM|24h|A549,BRD-K85925969|10uM,BRD-K85925969|10uM,BRD-K85925969|10uM,SQ00015096,SQ00015096,NA,E13,profile,NA,NA,NA,NA
BRD-K87156652,10uM,24h,A549,compound,NA,Antithyroid agent,BRD-K87156652,BRD-K87156652|10uM|24h,BRD-K87156652|10uM|24h|A549,BRD-K87156652|compound|10uM|24h|A549,BRD-K87156652|10uM,BRD-K87156652|10uM,BRD-K87156652|10uM,SQ00015048,SQ00015048,NA,E01,profile,NA,NA,NA,NA
BRD-K87737963,10uM,24h,A549,compound,NA,NA,BRD-K87737963,BRD-K87737963|10uM|24h,BRD-K87737963|10uM|24h|A549,BRD-K87737963|compound|10uM|24h|A549,BRD-K87737963|10uM,BRD-K87737963|10uM,BRD-K87737963|10uM,SQ00015048,SQ00015048,NA,B13,profile,NA,NA,NA,NA
BRD-K88358234,10uM,24h,A549,compound,NA,Serotonin receptor agonist,BRD-K88358234,BRD-K88358234|10uM|24h,BRD-K88358234|10uM|24h|A549,BRD-K88358234|compound|10uM|24h|A549,BRD-K88358234|10uM,BRD-K88358234|10uM,BRD-K88358234|10uM,SQ00015048,SQ00015048,NA,D01,profile,NA,NA,NA,NA
BRD-K89917372,10uM,24h,A549,compound,NA,Potassium channel activator,BRD-K89917372,BRD-K89917372|10uM|24h,BRD-K89917372|10uM|24h|A549,BRD-K89917372|compound|10uM|24h|A549,BRD-K89917372|10uM,BRD-K89917372|10uM,BRD-K89917372|10uM,SQ00015048,SQ00015048,NA,H01,profile,NA,NA,NA,NA
BRD-K90825648,10uM,24h,A549,compound,NA,NA,BRD-K90825648,BRD-K90825648|10uM|24h,BRD-K90825648|10uM|24h|A549,BRD-K90825648|compound|10uM|24h|A549,BRD-K90825648|10uM,BRD-K90825648|10uM,BRD-K90825648|10uM,SQ00015052,SQ00015052,NA,N01,profile,NA,NA,NA,NA
BRD-K91263825,10uM,24h,A549,compound,NA,Tricyclic antidepressant,BRD-K91263825,BRD-K91263825|10uM|24h,BRD-K91263825|10uM|24h|A549,BRD-K91263825|compound|10uM|24h|A549,BRD-K91263825|10uM,BRD-K91263825|10uM,BRD-K91263825|10uM,SQ00015048,SQ00015048,NA,J07,profile,NA,NA,NA,NA
BRD-K92441787,10uM,24h,A549,compound,NA,Retinoid receptor agonist,BRD-K92441787,BRD-K92441787|10uM|24h,BRD-K92441787|10uM|24h|A549,BRD-K92441787|compound|10uM|24h|A549,BRD-K92441787|10uM,BRD-K92441787|10uM,BRD-K92441787|10uM,SQ00015056,SQ00015056,NA,A13,profile,NA,NA,NA,NA
BRD-K92848252,10uM,24h,A549,compound,NA,Angiotensin converting enzyme activator|DNA intercalating agent|Topoisomerase inhibitor,BRD-K92848252,BRD-K92848252|10uM|24h,BRD-K92848252|10uM|24h|A549,BRD-K92848252|compound|10uM|24h|A549,BRD-K92848252|10uM,BRD-K92848252|10uM,BRD-K92848252|10uM,SQ00015056,SQ00015056,NA,C07,profile,NA,NA,NA,NA
BRD-K92984783,10uM,24h,A549,compound,NA,Dopamine receptor antagonist|Serotonin receptor antagonist,BRD-K92984783,BRD-K92984783|10uM|24h,BRD-K92984783|10uM|24h|A549,BRD-K92984783|compound|10uM|24h|A549,BRD-K92984783|10uM,BRD-K92984783|10uM,BRD-K92984783|10uM,SQ00015056,SQ00015056,NA,C13,profile,NA,NA,NA,NA
BRD-K93208532,10uM,24h,A549,compound,NA,Phosphodiesterase inhibitor,BRD-K93208532,BRD-K93208532|10uM|24h,BRD-K93208532|10uM|24h|A549,BRD-K93208532|compound|10uM|24h|A549,BRD-K93208532|10uM,BRD-K93208532|10uM,BRD-K93208532|10uM,SQ00015052,SQ00015052,NA,D01,profile,NA,NA,NA,NA
BRD-K93618743,10uM,24h,A549,compound,NA,Bone resorption inhibitor,BRD-K93618743,BRD-K93618743|10uM|24h,BRD-K93618743|10uM|24h|A549,BRD-K93618743|compound|10uM|24h|A549,BRD-K93618743|10uM,BRD-K93618743|10uM,BRD-K93618743|10uM,SQ00015056,SQ00015056,NA,E13,profile,NA,NA,NA,NA
BRD-K93645900,10uM,24h,A549,compound,NA,Phosphodiesterase inhibitor,BRD-K93645900,BRD-K93645900|10uM|24h,BRD-K93645900|10uM|24h|A549,BRD-K93645900|compound|10uM|24h|A549,BRD-K93645900|10uM,BRD-K93645900|10uM,BRD-K93645900|10uM,SQ00015056,SQ00015056,NA,E19,profile,NA,NA,NA,NA
BRD-K93754473,10uM,24h,A549,compound,NA,Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM),BRD-K93754473,BRD-K93754473|10uM|24h,BRD-K93754473|10uM|24h|A549,BRD-K93754473|compound|10uM|24h|A549,BRD-K93754473|10uM,BRD-K93754473|10uM,BRD-K93754473|10uM,SQ00015056,SQ00015056,NA,F19,profile,NA,NA,NA,NA
BRD-K93779381,10uM,24h,A549,compound,NA,PKC activator,BRD-K93779381,BRD-K93779381|10uM|24h,BRD-K93779381|10uM|24h|A549,BRD-K93779381|compound|10uM|24h|A549,BRD-K93779381|10uM,BRD-K93779381|10uM,BRD-K93779381|10uM,SQ00015052,SQ00015052,NA,D19,profile,NA,NA,NA,NA
BRD-K93880783,10uM,24h,A549,compound,NA,DNA directed DNA polymerase inhibitor|Reverse transcriptase inhibitor,BRD-K93880783,BRD-K93880783|10uM|24h,BRD-K93880783|10uM|24h|A549,BRD-K93880783|compound|10uM|24h|A549,BRD-K93880783|10uM,BRD-K93880783|10uM,BRD-K93880783|10uM,SQ00015052,SQ00015052,NA,D13,profile,NA,NA,NA,NA
BRD-K94436377,10uM,24h,A549,compound,NA,Aryl hydrocarbon receptor agonist|Capillary stabilizing agent,BRD-K94436377,BRD-K94436377|10uM|24h,BRD-K94436377|10uM|24h|A549,BRD-K94436377|compound|10uM|24h|A549,BRD-K94436377|10uM,BRD-K94436377|10uM,BRD-K94436377|10uM,SQ00015052,SQ00015052,NA,E13,profile,NA,NA,NA,NA
BRD-K95412502,10uM,24h,A549,compound,NA,ATPase inhibitor,BRD-K95412502,BRD-K95412502|10uM|24h,BRD-K95412502|10uM|24h|A549,BRD-K95412502|compound|10uM|24h|A549,BRD-K95412502|10uM,BRD-K95412502|10uM,BRD-K95412502|10uM,SQ00015052,SQ00015052,NA,K13,profile,NA,NA,NA,NA
BRD-K96123349,10uM,24h,A549,compound,NA,Dihydroorotate dehydrogenase inhibitor,BRD-K96123349,BRD-K96123349|10uM|24h,BRD-K96123349|10uM|24h|A549,BRD-K96123349|compound|10uM|24h|A549,BRD-K96123349|10uM,BRD-K96123349|10uM,BRD-K96123349|10uM,SQ00015056,SQ00015056,NA,K19,profile,NA,NA,NA,NA
BRD-K96342952,10uM,24h,A549,compound,NA,Bacterial 30S ribosomal subunit inhibitor,BRD-K96342952,BRD-K96342952|10uM|24h,BRD-K96342952|10uM|24h|A549,BRD-K96342952|compound|10uM|24h|A549,BRD-K96342952|10uM,BRD-K96342952|10uM,BRD-K96342952|10uM,SQ00015052,SQ00015052,NA,H07,profile,NA,NA,NA,NA
BRD-K96615647,10uM,24h,A549,compound,NA,NA,BRD-K96615647,BRD-K96615647|10uM|24h,BRD-K96615647|10uM|24h|A549,BRD-K96615647|compound|10uM|24h|A549,BRD-K96615647|10uM,BRD-K96615647|10uM,BRD-K96615647|10uM,SQ00015052,SQ00015052,NA,G19,profile,NA,NA,NA,NA
BRD-K96671969,10uM,24h,A549,compound,NA,NA,BRD-K96671969,BRD-K96671969|10uM|24h,BRD-K96671969|10uM|24h|A549,BRD-K96671969|compound|10uM|24h|A549,BRD-K96671969|10uM,BRD-K96671969|10uM,BRD-K96671969|10uM,SQ00015056,SQ00015056,NA,M01,profile,NA,NA,NA,NA
BRD-K96740444,10uM,24h,A549,compound,NA,Dopamine receptor antagonist,BRD-K96740444,BRD-K96740444|10uM|24h,BRD-K96740444|10uM|24h|A549,BRD-K96740444|compound|10uM|24h|A549,BRD-K96740444|10uM,BRD-K96740444|10uM,BRD-K96740444|10uM,SQ00015056,SQ00015056,NA,M07,profile,NA,NA,NA,NA
BRD-K96936751,10uM,24h,A549,compound,NA,GABA benzodiazepine site receptor partial agonist,BRD-K96936751,BRD-K96936751|10uM|24h,BRD-K96936751|10uM|24h|A549,BRD-K96936751|compound|10uM|24h|A549,BRD-K96936751|10uM,BRD-K96936751|10uM,BRD-K96936751|10uM,SQ00015056,SQ00015056,NA,N13,profile,NA,NA,NA,NA
BRD-K97101532,10uM,24h,A549,compound,NA,NA,BRD-K97101532,BRD-K97101532|10uM|24h,BRD-K97101532|10uM|24h|A549,BRD-K97101532|compound|10uM|24h|A549,BRD-K97101532|10uM,BRD-K97101532|10uM,BRD-K97101532|10uM,SQ00015052,SQ00015052,NA,H19,profile,NA,NA,NA,NA
BRD-K97158071,10uM,24h,A549,compound,NA,Dopamine receptor antagonist,BRD-K97158071,BRD-K97158071|10uM|24h,BRD-K97158071|10uM|24h|A549,BRD-K97158071|compound|10uM|24h|A549,BRD-K97158071|10uM,BRD-K97158071|10uM,BRD-K97158071|10uM,SQ00015052,SQ00015052,NA,J01,profile,NA,NA,NA,NA
BRD-K97309399,10uM,24h,A549,compound,NA,Dopamine receptor antagonist,BRD-K97309399,BRD-K97309399|10uM|24h,BRD-K97309399|10uM|24h|A549,BRD-K97309399|compound|10uM|24h|A549,BRD-K97309399|10uM,BRD-K97309399|10uM,BRD-K97309399|10uM,SQ00015052,SQ00015052,NA,K19,profile,NA,NA,NA,NA
BRD-K97564742,10uM,24h,A549,compound,NA,Histamine receptor antagonist,BRD-K97564742,BRD-K97564742|10uM|24h,BRD-K97564742|10uM|24h|A549,BRD-K97564742|compound|10uM|24h|A549,BRD-K97564742|10uM,BRD-K97564742|10uM,BRD-K97564742|10uM,SQ00015052,SQ00015052,NA,I13,profile,NA,NA,NA,NA
BRD-K97643133,10uM,24h,A549,compound,NA,CD antagonist,BRD-K97643133,BRD-K97643133|10uM|24h,BRD-K97643133|10uM|24h|A549,BRD-K97643133|compound|10uM|24h|A549,BRD-K97643133|10uM,BRD-K97643133|10uM,BRD-K97643133|10uM,SQ00015052,SQ00015052,NA,I19,profile,NA,NA,NA,NA
BRD-K97963946,10uM,24h,A549,compound,NA,NA,BRD-K97963946,BRD-K97963946|10uM|24h,BRD-K97963946|10uM|24h|A549,BRD-K97963946|compound|10uM|24h|A549,BRD-K97963946|10uM,BRD-K97963946|10uM,BRD-K97963946|10uM,SQ00015052,SQ00015052,NA,P07,profile,NA,NA,NA,NA
BRD-K98004573,10uM,24h,A549,compound,NA,Histamine receptor antagonist|Platelet activating factor receptor antagonist,BRD-K98004573,BRD-K98004573|10uM|24h,BRD-K98004573|10uM|24h|A549,BRD-K98004573|compound|10uM|24h|A549,BRD-K98004573|10uM,BRD-K98004573|10uM,BRD-K98004573|10uM,SQ00015052,SQ00015052,NA,P01,profile,NA,NA,NA,NA
BRD-K98530306,10uM,24h,A549,compound,NA,Adrenergic receptor agonist,BRD-K98530306,BRD-K98530306|10uM|24h,BRD-K98530306|10uM|24h|A549,BRD-K98530306|compound|10uM|24h|A549,BRD-K98530306|10uM,BRD-K98530306|10uM,BRD-K98530306|10uM,SQ00015044,SQ00015044,NA,B19,profile,NA,NA,NA,NA
BRD-K98769987,10uM,24h,A549,compound,NA,Benzodiazepine receptor antagonist,BRD-K98769987,BRD-K98769987|10uM|24h,BRD-K98769987|10uM|24h|A549,BRD-K98769987|compound|10uM|24h|A549,BRD-K98769987|10uM,BRD-K98769987|10uM,BRD-K98769987|10uM,SQ00015048,SQ00015048,NA,M01,profile,NA,NA,NA,NA
BRD-K99113996,10uM,24h,A549,compound,NA,MTOR inhibitor,BRD-K99113996,BRD-K99113996|10uM|24h,BRD-K99113996|10uM|24h|A549,BRD-K99113996|compound|10uM|24h|A549,BRD-K99113996|10uM,BRD-K99113996|10uM,BRD-K99113996|10uM,SQ00015044,SQ00015044,NA,H01,profile,NA,NA,NA,NA
BRD-K99504665,10uM,24h,A549,compound,NA,Gonadotropin releasing factor hormone receptor agonist,BRD-K99504665,BRD-K99504665|10uM|24h,BRD-K99504665|10uM|24h|A549,BRD-K99504665|compound|10uM|24h|A549,BRD-K99504665|10uM,BRD-K99504665|10uM,BRD-K99504665|10uM,SQ00015052,SQ00015052,NA,L19,profile,NA,NA,NA,NA
BRD-K99749624,10uM,24h,A549,compound,NA,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,BRD-K99749624,BRD-K99749624|10uM|24h,BRD-K99749624|10uM|24h|A549,BRD-K99749624|compound|10uM|24h|A549,BRD-K99749624|10uM,BRD-K99749624|10uM,BRD-K99749624|10uM,SQ00015048,SQ00015048,NA,N13,profile,NA,NA,NA,NA
BRD-K99964838,10uM,24h,A549,compound,NA,Src inhibitor|Abl kinase inhibitor|Bcr-Abl kinase inhibitor,BRD-K99964838,BRD-K99964838|10uM|24h,BRD-K99964838|10uM|24h|A549,BRD-K99964838|compound|10uM|24h|A549,BRD-K99964838|10uM,BRD-K99964838|10uM,BRD-K99964838|10uM,SQ00015120,SQ00015120,NA,N19,profile,NA,NA,NA,NA
