experiment_id	stage	mode	seed	dataset	eval_split	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio	floor_gap	identity_pass	decision	artifact_dir
BSJ000	StageA_B	rank_bottleneck_audit	0	synth_genetic_anchor_lite	test_heldout_perturbation	0.0057	0.398	0.4815	10.2835	0.7744	0.0	1.0	PHASE6_REOPEN_BIOSPECTRAL_APPROVED	outputs/autoresearch_biospectral_jepa_phase6/rank_bottleneck_audit
BSJ001	StageC	frozen_neural_low_rank_equivalence	0	synth_genetic_anchor_lite	test_heldout_perturbation	0.0046	0.3877	0.4074	6.7681	0.7585	-0.0011	1.0	BSJ001_KEEP_NEURAL_LOWRANK_MATCHES_ANALYTIC	outputs/autoresearch_biospectral_jepa_phase6/experiments/BSJ001_frozen_neural_low_rank_seed0
BSJ002	StageC	frozen_full_ridge_floor_wrapper_zero_residual	0	synth_genetic_anchor_lite	test_heldout_perturbation	0.0057	0.398	0.4815	10.2835	0.7744	-0.0	1.0	BSJ002_KEEP_FLOOR_WRAPPER_MATCHES_FULL_RIDGE	outputs/autoresearch_biospectral_jepa_phase6/experiments/BSJ002_floor_wrapper_seed0
BSJ003	StageC	frozen_rank_ladder_router	0	synth_genetic_anchor_lite	test_heldout_perturbation	0.0057	0.398	0.4815	10.2835	0.7744	-0.0	1.0	BSJ003_KEEP_RANK_LADDER_PRESERVES_FLOOR	outputs/autoresearch_biospectral_jepa_phase6/experiments/BSJ003_rank_ladder_seed0
BSJ004	StageD	frozen_floor_plus_spectral_residual	0	synth_genetic_anchor_lite	test_heldout_perturbation	0.0050	0.4059	0.4074	10.4574	0.8000	-0.0007	1.0	BSJ004_DISCARD_RESIDUAL_BELOW_FLOOR	outputs/autoresearch_biospectral_jepa_phase6/experiments/BSJ004_spectral_residual_seed0
