seed	status	old_same_condition_recall_at_1	new_same_condition_recall_at_1	new_same_cell_recall_at_1	old_perturbation_probe_cv	new_perturbation_probe_cv	old_batch_probe_cv	new_batch_probe_cv	old_effective_rank	new_effective_rank	dropout_robustness_cosine	rna_to_image_recall_at_1	image_to_rna_recall_at_1	final_jepa_loss	final_reconstruction_loss	final_weighted_jepa_to_rec_ratio
0	completed	0.37037037037037035	0.5555555555555556	0.009259259259259259	0.3888888888888889	0.20833333333333334	0.2916666666666667	0.2638888888888889	12.267061812031356	9.3316790632078	0.9987940382016984	0.4074074074074074	0.7037037037037037	0.03414261341094971	915.07275390625	37.311363220214844
1	completed	0.7407407407407407	0.5925925925925926	0.006172839506172839	0.3611111111111111	0.2638888888888889	0.2638888888888889	0.3888888888888889	9.285376975953827	11.972737746741197	0.9989763128042481	0.5185185185185185	0.5185185185185185	0.025867223739624023	827.5842895507812	31.25629997253418
2	completed	0.8148148148148148	0.5555555555555556	0.009259259259259259	0.2638888888888889	0.2638888888888889	0.19444444444444445	0.3472222222222222	10.543944749626668	10.197782981831255	0.9989437645843896	0.1111111111111111	0.037037037037037035	0.02554982900619507	854.3351440429688	29.906095504760742
3	completed	0.3333333333333333	0.4444444444444444	0.0	0.3611111111111111	0.25	0.2777777777777778	0.3333333333333333	10.920406160813238	9.264709689610285	0.9980738765593132	0.1111111111111111	0.4074074074074074	0.018606364727020264	814.5223388671875	22.84328269958496
4	completed	0.5925925925925926	0.37037037037037035	0.0030864197530864196	0.16666666666666666	0.3194444444444444	0.3194444444444444	0.3611111111111111	9.95488653952436	9.994941976480685	0.9986494786440324	0.1111111111111111	0.1111111111111111	0.02338552474975586	874.9796752929688	26.726932525634766
