seed	status	old_transition_improvement	new_transition_improvement	old_delta_cosine	new_delta_cosine	old_recall_at_1	new_recall_at_1	old_effective_rank_transition	new_effective_rank_transition	old_magnitude_ratio	new_magnitude_ratio	transition_gap_vs_old_floor	delta_gap_vs_old_floor	recall_gap_vs_old_floor	rank_gap_vs_old_floor
0	completed	0.005661906516194076	3.356898815477639e-05	0.39796251669473043	0.3834141975916412	0.48148148148148145	0.3333333333333333	10.283476977293052	3.6447818861893033	0.7744371112179363	0.9780459750898955	-0.0056283375280392995	-0.014548319103089236	-0.14814814814814814	-6.638695091103749
1	completed	0.021756478285427833	2.2123393062713472e-05	0.5404280277268804	0.5366234815514643	0.3333333333333333	0.2962962962962963	9.937518308977577	5.097747918580036	0.7933582487536444	0.6905493945055584	-0.02173435489236512	-0.003804546175416035	-0.037037037037037035	-4.839770390397541
2	completed	0.009402064646795659	-3.588421376821138e-06	0.4018851082029823	0.2581054255348263	0.2962962962962963	0.18518518518518517	9.632914633777684	5.3610669514730755	0.5918627929859949	0.6934606474076941	-0.00940565306817248	-0.143779682668156	-0.1111111111111111	-4.2718476823046085
3	completed	0.0004243423315500173	4.131318759143582e-05	0.4200548145191377	0.6161389281502286	0.25925925925925924	0.2222222222222222	10.486444270464679	3.131521029437406	0.8778340372856198	0.9180907101427969	-0.00038302914395858145	0.19608411363109096	-0.037037037037037035	-7.354923241027272
4	completed	0.019162402606056148	2.931463302889724e-05	0.4972452146646043	0.4631547994130421	0.2962962962962963	0.1111111111111111	10.888689749023888	3.8780115997451023	0.7407240625696372	0.7021837282160985	-0.019133087973027253	-0.0340904152515622	-0.18518518518518517	-7.010678149278785
