split	operator	effective_rank	spectral_entropy	cumvar_top_1	cumvar_top_2	cumvar_top_4	cumvar_top_6	cumvar_top_8	cumvar_top_10	cumvar_top_12	cumvar_top_16	cumvar_top_full	principal_angle_mean_deg	principal_angle_max_deg	per_perturbation_direction_agreement	residual_norm_mean	residual_effective_rank
train	teacher_delta	13.562688934741876	1.9433748084218259	0.3856818592100153	0.5684745012372533	0.7723528563091487	0.8823336940480591	0.9426627850290505	0.9711608100581095	0.9862343367229223	0.9978731579745903	1.0					
eval	teacher_delta	11.781895734223935	1.7502543484560618	0.4424660234245265	0.6154963834054944	0.8423441221953407	0.9237932979452513	0.963481652858319	0.9855906239012187	0.9935116192590439	0.9994113808773734	1.0					
train	full_ridge_pred_delta	11.631244288097243	1.796246262981763	0.4195931957515405	0.5967469083784497	0.8139980749780787	0.9232585336234465	0.9648607115564675	0.9852414192495487	0.995147755152297	0.9996092836833927	1.0					
eval	full_ridge_pred_delta	10.283476977293052	1.7229253141211776	0.3410306051264408	0.5835219384068662	0.8639067607217453	0.9441292993662819	0.9784248479553126	0.9933159049028832	0.99825132851174	0.9998617584700956	1.0					
train	low_rank_ridge_pred_delta	7.045244851364056	1.6317698714429776	0.4373121563347075	0.6217638638717752	0.8472310294355044	0.9601770065762567	0.9999999999999999	1.0	1.0	1.0000000000000002	1.0					
eval	low_rank_ridge_pred_delta	6.768064725485378	1.5900092584051844	0.35489121760582076	0.6070294614563504	0.8958263178275172	0.9725970523946198	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0000000000000002	1.0					
train	boj002_pred_delta	9.587401162168156	1.6186918390272385	0.46140262545256194	0.6933719655813906	0.8569148528670847	0.9455950542841419	0.9791483192911169	0.994541512840798	0.9988921926064159	0.9999999999999999	1.0					
eval	boj002_pred_delta	7.581180176098392	1.613894073927526	0.3405831723567268	0.6325039080027088	0.8997998888289215	0.9665059234003268	0.9930566585635123	1.0	1.0	1.0000000000000002	1.0					
train	full_ridge_pred_delta_vs_teacher												7.505480465807091	28.31977124448904	0.9999999546591571	0.21432331105990146	14.065932919131033
train	low_rank_ridge_pred_delta_vs_teacher												5.492181119625024e-07	1.4787793334710982e-06	0.9786512511525755	0.22947627739030108	15.852021978898247
eval	full_ridge_pred_delta_vs_teacher												20.333400957024352	68.340278623843	-0.04962805690446248	0.4013157539111305	12.055665232761019
eval	low_rank_ridge_pred_delta_vs_teacher												18.23564862078033	78.04850791266001	-0.042345621050359605	0.40254122644994444	12.251805208232128
