split_seed	baseline	subset	condition_count	fit_metadata_json	pearson_delta_all_mean	pearson_delta_all_std	pearson_delta_de20_mean	pearson_delta_de20_std	top20_de_overlap_mean	top20_de_overlap_std	mse_delta_all_mean	mse_delta_all_std	mse_delta_de20_mean	mse_delta_de20_std	mse_expression_all_mean	mse_expression_all_std	mse_expression_de20_mean	mse_expression_de20_std	direction_accuracy_de20_mean	direction_accuracy_de20_std	prediction_delta_variance	true_delta_variance	prediction_delta_variance_ratio	mean_collapse_flag
1	global_train_mean	all_test	116	"{""description"": ""Mean expression vector across final train perturbation conditions."", ""fallback"": ""none"", ""train_conditions_used"": 137}"	0.5572660295150801	0.183967541902198	0.6644445728529461	0.3196673584144459	0.24568965517241376	0.11936776075129184	0.004489081559987771	0.004078148974894904	0.38887962957860195	0.31187931101900235	0.00448908152988036	0.004078148945617948	0.38887962700943624	0.3118793083122322	0.8125	0.15126976929792774	9.914783227825234e-16	0.004221964627504349	2.3483814059536486e-13	True
1	global_train_mean	exact_train_combo	14	"{""description"": ""Mean expression vector across final train perturbation conditions."", ""fallback"": ""none"", ""train_conditions_used"": 137}"	0.5458030832341021	0.1954822119428296	0.6507713159997562	0.31821667843297735	0.23928571428571427	0.12702442316984813	0.0030187936624445555	0.001132796269705753	0.3389022440782615	0.200022785380819	0.0030187936624445555	0.001132796269705753	0.3389022376920496	0.20002277444731187	0.85	0.12535663410560172	7.242489041048891e-18	0.002827439457178116	2.56150101557865e-15	True
1	global_train_mean	unseen_single	37	"{""description"": ""Mean expression vector across final train perturbation conditions."", ""fallback"": ""none"", ""train_conditions_used"": 137}"	0.49832252148184303	0.20811846061068817	0.5240806842002149	0.38372590542097695	0.2283783783783784	0.1373201725995702	0.00254985096398741	0.0017563026307971163	0.21708785265533104	0.17203582715178733	0.00254985095140197	0.0017563026159124861	0.21708785144712878	0.17203582437432852	0.7391891891891891	0.1899982699548316	1.145936051263766e-16	0.0023958832025527954	4.782937874612501e-14	True
1	single_perturbation_additive	all_test	116	"{""description"": ""delta(A+B) := delta(A) + delta(B) using train singles only; missing singles fall back to train mean."", ""exact_additive"": 14, ""global_train_mean"": 102, ""train_single_genes"": 70}"	0.5997885598258307	0.20426452788850977	0.7023909777651349	0.3154053687280581	0.2862068965517241	0.1595503118812467	0.00431745047861678	0.004155480767143082	0.3549109291775024	0.32312478702535236	0.00431745044850937	0.0041554807371674525	0.3549109271703416	0.3231247850907359	0.830603448275862	0.15726262239293384	0.0005736197927035391	0.004221964627504349	0.13586560838682638	False
1	single_perturbation_additive	exact_train_combo	14	"{""description"": ""delta(A+B) := delta(A) + delta(B) using train singles only; missing singles fall back to train mean."", ""exact_additive"": 14, ""global_train_mean"": 102, ""train_single_genes"": 70}"	0.8981326200946061	0.04927011143218189	0.9651843852721764	0.022549959685574123	0.5750000000000001	0.1191487665543734	0.0015967075596563518	0.000773893952436944	0.05744729789772204	0.037252819954052635	0.0015967075596563518	0.000773893952436944	0.057447296168122976	0.037252818316326416	1.0	0.0	0.004132666625082493	0.002827439457178116	1.4616286883139984	False
1	single_perturbation_additive	unseen_single	37	"{""description"": ""delta(A+B) := delta(A) + delta(B) using train singles only; missing singles fall back to train mean."", ""exact_additive"": 14, ""global_train_mean"": 102, ""train_single_genes"": 70}"	0.49832252148184303	0.20811846061068817	0.5240806842002149	0.38372590542097695	0.2283783783783784	0.1373201725995702	0.00254985096398741	0.0017563026307971163	0.21708785265533104	0.17203582715178733	0.00254985095140197	0.0017563026159124861	0.21708785144712878	0.17203582437432852	0.7391891891891891	0.1899982699548316	1.145936051263766e-16	0.0023958832025527954	4.782937874612501e-14	True
1	family_n_condition_mean_table	all_test	116	"{""description"": ""Train-only condition mean lookup matching the Family N pattern; unseen keys fall back to train mean."", ""exact_condition"": 0, ""global_train_mean"": 116, ""train_condition_keys"": 138}"	0.5572660295150801	0.183967541902198	0.6644445728529461	0.3196673584144459	0.24568965517241376	0.11936776075129184	0.004489081559987771	0.004078148974894904	0.38887962957860195	0.31187931101900235	0.00448908152988036	0.004078148945617948	0.38887962700943624	0.3118793083122322	0.8125	0.15126976929792774	9.914783227825234e-16	0.004221964627504349	2.3483814059536486e-13	True
1	family_n_condition_mean_table	exact_train_combo	14	"{""description"": ""Train-only condition mean lookup matching the Family N pattern; unseen keys fall back to train mean."", ""exact_condition"": 0, ""global_train_mean"": 116, ""train_condition_keys"": 138}"	0.5458030832341021	0.1954822119428296	0.6507713159997562	0.31821667843297735	0.23928571428571427	0.12702442316984813	0.0030187936624445555	0.001132796269705753	0.3389022440782615	0.200022785380819	0.0030187936624445555	0.001132796269705753	0.3389022376920496	0.20002277444731187	0.85	0.12535663410560172	7.242489041048891e-18	0.002827439457178116	2.56150101557865e-15	True
1	family_n_condition_mean_table	unseen_single	37	"{""description"": ""Train-only condition mean lookup matching the Family N pattern; unseen keys fall back to train mean."", ""exact_condition"": 0, ""global_train_mean"": 116, ""train_condition_keys"": 138}"	0.49832252148184303	0.20811846061068817	0.5240806842002149	0.38372590542097695	0.2283783783783784	0.1373201725995702	0.00254985096398741	0.0017563026307971163	0.21708785265533104	0.17203582715178733	0.00254985095140197	0.0017563026159124861	0.21708785144712878	0.17203582437432852	0.7391891891891891	0.1899982699548316	1.145936051263766e-16	0.0023958832025527954	4.782937874612501e-14	True
1	closed_form_pls_perturbation_readout	all_test	116	"{""description"": ""Closed-form PLS regression from perturbation multi-hot design to pseudobulk delta."", ""feature_genes"": 105, ""rank_requested"": 8, ""rank_used"": 8, ""train_conditions_used"": 137}"	0.6214780140026714	0.2316975749171557	0.701206747370937	0.3249775578055139	0.32499999999999996	0.15980861398387847	0.003702999093892968	0.0026383258186249686	0.3046106341864978	0.23808553128001592	0.003702999109950254	0.0026383258564381088	0.30461063232385266	0.23808552620740642	0.8461206896551725	0.15962656610483394	0.0008288599201478064	0.004221964627504349	0.1963209058522489	False
