seed	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
17	0.0	1000000000.0	True	0.0	0	0.5006941943939069	0.9173090125933344	0.5	0.0	0.0	0.0	0.0	0.0	0.0
17	0.005	-6.2459658283507595	True	0.0	5	0.5006941943939069	0.9173090125933344	0.5	0.0	0.0	0.0	0.0	0.0	0.0
17	0.005	-6.245964828350759	True	0.027777777777777776	5	0.500697030068773	0.9173514840433568	0.5	2.8356748660307574e-06	4.2471450022341095e-05	0.0	0.0	0.0	0.0
17	0.005	-4.469596600993611	True	0.05555555555555555	5	0.5007000296028656	0.9173826492562908	0.5	5.835208958693272e-06	7.363666295634452e-05	0.0	0.0	0.0	0.0
17	0.005	-4.120583302814731	True	0.1111111111111111	5	0.5007210919611155	0.9174562404173255	0.5	2.6897567208528095e-05	0.0001472278239911251	0.0	0.0	0.0	0.0
17	0.005	-3.273894602012739	True	0.16666666666666666	5	0.5007252112463598	0.917474725680258	0.5	3.101685245288088e-05	0.0001657130869235912	0.0	0.0	0.0	0.0
17	0.005	-3.0285869212382273	True	0.2222222222222222	5	0.5007558528094782	0.9175372801457716	0.5	6.165841557126406e-05	0.0002282675524372113	0.0	0.0	0.0	0.0
17	0.005	-2.811604024093695	True	0.25	5	0.5007582159985032	0.9175405962664571	0.5	6.402160459628714e-05	0.0002315836731227039	0.0	0.0	0.0	0.0
17	0.005	-2.718758129330793	True	0.3055555555555556	5	0.5007631731435024	0.9175453146780532	0.5	6.897874959543859e-05	0.0002363020847188091	0.0	0.0	0.0	0.0
17	0.005	-2.5903103488025243	True	0.3611111111111111	5	0.5007675242165477	0.91756377314644	0.5	7.332982264074417e-05	0.0002547605531055819	0.0	0.0	0.0	0.0
17	0.005	-2.4225768308274604	True	0.4166666666666667	5	0.5007711371890596	0.9175706913700101	0.5	7.69427951526902e-05	0.00026167877667571116	0.0	0.0	0.0	0.0
17	0.005	-2.2469657204651634	True	0.4444444444444444	5	0.5007731084766234	0.9175829230540867	0.5	7.89140827164303e-05	0.0002739104607523135	0.0	0.0	0.0	0.0
17	0.005	-1.6204986980085683	True	0.5	5	0.5007796363648637	0.9175990968700357	0.5	8.544197095672335e-05	0.00029008427670129677	0.0	0.0	0.0	0.0
17	0.005	-1.387870336417372	True	0.5555555555555556	5	0.5007919427900315	0.917611714700565	0.5	9.774839612453068e-05	0.0003027021072306013	0.0	0.0	0.0	0.0
17	0.005	-1.2566155354605915	True	0.6111111111111112	5	0.5008115407403511	0.917630655045513	0.5	0.00011734634644411379	0.0003216424521785832	0.0	0.0	0.0	0.0
17	0.005	-1.0389035252231908	True	0.6666666666666666	5	0.5008288623794438	0.9176463181438694	0.5	0.00013466798553685155	0.00033730555053501643	0.0	0.0	0.0	0.0
17	0.005	-0.7401180487593276	True	0.6944444444444444	5	0.5008376485972076	0.917653370856941	0.5	0.0001434542033006414	0.00034435826360657007	0.0	0.0	0.0	0.0
17	0.005	-0.69237666463798	True	0.75	5	0.5008586736885869	0.9176831824404061	0.5	0.00016447929467999778	0.00037416984707172585	0.0	0.0	0.0	0.0
17	0.005	-0.5735112879269364	True	0.8055555555555556	5	0.500897368734477	0.9177150194552528	0.5	0.0002031743405700448	0.0004060068619183843	0.0	0.0	0.0	0.0
17	0.005	-0.22763486033657782	True	0.8611111111111112	5	0.5009209403121537	0.9177316581191268	0.5	0.00022674591824678458	0.0004226455257924089	0.0	0.0	0.0	0.0
17	0.005	0.0	False	1.0	5	0.5009953796717025	0.9177975446157147	0.5	0.00030118527779554594	0.0004885320223803058	0.0	0.0	4.0	0.0
17	0.005	1e-06	False	1.0	5	0.5009953796717025	0.9177975446157147	0.5	0.00030118527779554594	0.0004885320223803058	0.0	0.0	4.0	0.0
17	0.01	-6.2459658283507595	True	0.0	12	0.5006941943939069	0.9173090125933344	0.5	0.0	0.0	0.0	0.0	0.0	0.0
17	0.01	-6.245964828350759	True	0.027777777777777776	12	0.5006998648398995	0.9173942020806864	0.5	5.670445992533857e-06	8.518948735203313e-05	0.0	0.0	0.0	0.0
17	0.01	-4.469596600993611	True	0.05555555555555555	12	0.5007058623816635	0.9174566462263187	0.5	1.1667987756536213e-05	0.00014763363298431198	0.0	0.0	0.0	0.0
17	0.01	-4.120583302814731	True	0.1111111111111111	12	0.5007477848927109	0.9176039188107564	0.5	5.359049880393485e-05	0.0002949062174220085	0.0	0.0	0.0	0.0
17	0.01	-3.1944465024612625	True	0.16666666666666666	12	0.5007808627939373	0.917705772158448	0.5	8.666840003035414e-05	0.00039675956511353583	0.0	0.0	0.0	0.0
17	0.01	-2.771458869482519	True	0.2222222222222222	12	0.5008169776083976	0.9177658951748252	0.5	0.00012278321449066265	0.00045688258149079175	0.0	0.0	0.0	0.0
17	0.01	-2.429524781326629	True	0.25	12	0.5008225416091414	0.9177984748381347	0.5	0.00012834721523447	0.0004894622448002872	0.0	0.0	0.0	0.0
17	0.01	-2.3138831676447724	True	0.3055555555555556	12	0.5008295912529289	0.9178271703888079	0.5	0.00013539685902197451	0.000518157795473484	0.0	0.0	0.0	0.0
17	0.01	-2.172999883488938	True	0.3611111111111111	12	0.5008394651076128	0.917838856604581	0.5	0.00014527071370584732	0.0005298440112465608	0.0	0.0	0.0	0.0
17	0.01	-1.8478990898331056	True	0.4166666666666667	12	0.5008481116413107	0.9178491126229689	0.5	0.00015391724740376755	0.0005401000296344494	0.0	0.0	0.0	0.0
17	0.01	-1.2518989992443565	True	0.4444444444444444	12	0.5008663381668075	0.9178678798304932	0.5	0.00017214377290053484	0.000558867237158811	0.0	0.0	0.0	0.0
17	0.01	-1.0841743520490197	True	0.5	12	0.5009228115045824	0.9179136117716724	0.5	0.00022861711067545532	0.0006045991783379945	0.0	0.0	0.0	0.0
17	0.01	-0.731213810247599	True	0.5555555555555556	12	0.5009323863646815	0.9179278769054717	0.5	0.00023819197077457055	0.0006188643121373127	0.0	0.0	0.0	0.0
17	0.01	-0.530139790930966	True	0.6111111111111112	12	0.5009732445362798	0.9179885241417808	0.5	0.00027905014237283865	0.0006795115484463654	0.0	0.0	0.0	0.0
17	0.01	-0.22763486033657782	True	0.6666666666666666	12	0.5010201627964055	0.9180216974769702	0.5	0.0003259684024985443	0.0007126848836357391	0.0	0.0	0.0	0.0
17	0.01	0.0	False	1.0	12	0.5012937947048501	0.9182846736283666	0.5	0.0005996003109431935	0.0009756610350322159	0.0	0.0	9.0	0.0
17	0.01	1e-06	False	1.0	12	0.5012937947048501	0.9182846736283666	0.5	0.0005996003109431935	0.0009756610350322159	0.0	0.0	9.0	0.0
17	0.0125	-6.2459658283507595	True	0.0	13	0.5006941943939069	0.9173090125933344	0.5	0.0	0.0	0.0	0.0	0.0	0.0
17	0.0125	-6.245964828350759	True	0.027777777777777776	13	0.5007012818682166	0.91741565405561	0.5	7.087474309663833e-06	0.00010664146227556959	0.0	0.0	0.0	0.0
17	0.0125	-4.469596600993611	True	0.05555555555555555	13	0.500708777821672	0.9174937803533331	0.5	1.4583427765058055e-05	0.0001847677599986497	0.0	0.0	0.0	0.0
17	0.0125	-4.120583302814731	True	0.1111111111111111	13	0.5007610550290553	0.9176779267276669	0.5	6.686063514838025e-05	0.00036891413433248754	0.0	0.0	0.0	0.0
17	0.0125	-3.1944465024612625	True	0.16666666666666666	13	0.5008022989867952	0.9178051847918532	0.5	0.00010810459288823626	0.0004961721985188294	0.0	0.0	0.0	0.0
17	0.0125	-2.771458869482519	True	0.2222222222222222	13	0.5008473410135745	0.9178803320475262	0.5	0.0001531466196675879	0.0005713194541917543	0.0	0.0	0.0	0.0
17	0.0125	-2.429524781326629	True	0.25	13	0.5008542874479068	0.9179210298504903	0.5	0.00016009305399988794	0.0006120172571558724	0.0	0.0	0.0	0.0
17	0.0125	-2.3138831676447724	True	0.3055555555555556	13	0.5008630886368071	0.9179568601747659	0.5	0.00016889424290011945	0.0006478475814314377	0.0	0.0	0.0	0.0
17	0.0125	-2.1532630865179665	True	0.3611111111111111	13	0.5008754290431047	0.9179686058374364	0.5	0.0001812346491977257	0.0006595932441020302	0.0	0.0	0.0	0.0
