eval_perturbation_id	rows	predicted_delta_support_cosine_mean	predicted_delta_support_cosine_min	teacher_delta_support_cosine_mean	teacher_delta_support_cosine_min	support_score_gap_predicted_minus_teacher	transition_improvement	delta_cosine	recall_at_1
9	9	0.8345339166537729	0.6959604174723976	0.6774050301564384	0.347850390279589	0.15712888649733447	-0.03787556074381832	0.12867587312415363	0.5555555555555556
10	9	0.866510282166155	0.7611930308582798	0.7474231873082514	0.6066476285446836	0.11908709485790359	0.009205303511384969	0.4427734591544262	1.0
11	9	0.8595663104875196	0.6927830792808186	0.7903766297155551	0.6413098141108764	0.06918968077196452	0.04565597678101558	0.6224382178056113	0.8888888888888888
