seed	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
16	0.0	1000000000.0	True	0.0	0	0.5699657122051516	0.9715605075922045	0.5	0.0	0.0	0.0	0.0	0.0	0.0
16	0.005	-4.868075264555525	True	0.0	2	0.5699657122051516	0.9715605075922045	0.5	0.0	0.0	0.0	0.0	0.0	0.0
16	0.005	-4.868074264555525	True	0.027777777777777776	2	0.5699667901686305	0.9715652669801607	0.5	1.0779634789237491e-06	4.7593879561880215e-06	0.0	0.0	0.0	0.0
16	0.005	-4.724014241033842	True	0.05555555555555555	2	0.5699677046592796	0.9715677804911427	0.5	1.992454128019183e-06	7.272898938204264e-06	0.0	0.0	0.0	0.0
16	0.005	-4.6930864079025145	True	0.1111111111111111	2	0.5699713137794464	0.9715715563479068	0.5	5.601574294855638e-06	1.1048755702347535e-05	0.0	0.0	0.0	0.0
16	0.005	-4.596904918770341	True	0.16666666666666666	2	0.5699752435432784	0.9715791404071434	0.5	9.531338126866906e-06	1.8632814938968068e-05	0.0	0.0	0.0	0.0
16	0.005	-3.9867693663690895	True	0.2222222222222222	2	0.5699780820754845	0.9715829239688176	0.5	1.2369870332928912e-05	2.2416376613154654e-05	0.0	0.0	0.0	0.0
16	0.005	-3.8054883882148594	True	0.25	2	0.5699797141530853	0.9715847609083634	0.5	1.400194793377274e-05	2.425331615896198e-05	0.0	0.0	0.0	0.0
16	0.005	-3.533779950130762	True	0.3055555555555556	2	0.5699858758288011	0.9715921545307009	0.5	2.0163623649538387e-05	3.164693849644351e-05	0.0	0.0	0.0	0.0
16	0.005	-3.446233955353743	True	0.3611111111111111	2	0.5699947611238677	0.9716040507087887	0.5	2.9048918716134686e-05	4.354311658427701e-05	0.0	0.0	0.0	0.0
16	0.005	-3.252663401884939	True	0.4166666666666667	2	0.5699983389494353	0.9716075694144976	0.5	3.2626744283725806e-05	4.706182229308187e-05	0.0	0.0	0.0	0.0
16	0.005	-3.0255131529420503	True	0.4444444444444444	2	0.5699999083232954	0.971609485558495	0.5	3.41961181438144e-05	4.8977966290553177e-05	0.0	0.0	0.0	0.0
