seed	query_index	condition_key	perturbation_id	cell_line	selected_residual_scale	flip_type	source_top1_correct	floor_top1_correct	selected_top1_correct	floor_rank	selected_rank	rank_change_selected_minus_floor	source_margin	floor_margin	selected_margin	margin_change_selected_minus_floor	floor_correct_score	floor_best_wrong_score	selected_correct_score	selected_best_wrong_score	floor_top1_label	selected_top1_label	same_top1_label_as_floor	floor_transition_gain	selected_transition_gain	transition_gain_change_selected_minus_floor	floor_delta_cosine	selected_delta_cosine	delta_cosine_change_selected_minus_floor	residual_norm	floor_near_tie_0p02	selected_near_tie_0p02	floor_near_tie_0p05	selected_near_tie_0p05	rowwise_active	rowwise_risk_score
16	0	pert=10|dose=1|cell=0	10	cell_line_0	0.05	preserved_correct	False	True	True	1.0	1.0	0.0	-0.2999531347396059	0.36044621851959857	0.3602164486067325	-0.0002297699128660513	0.9791044860021071	0.6186582674825085	0.9793470399538717	0.6191305913471392	pert=10|dose=1|cell=0	pert=10|dose=1|cell=0	True	0.7605358759352461	0.7607784298870106	0.00024255395176442374	0.9847891080126207	0.9849228118879001	0.00013370387527944505	0.047369719451315066	False	False	False	False	True	-1.517544978207475
16	1	pert=10|dose=1|cell=0	10	cell_line_0	0.05	preserved_correct	False	True	True	1.0	1.0	0.0	-0.17775414332660822	0.3477544712182832	0.3477544712182832	0.0	0.9834546845455775	0.6357002133272943	0.9834546845455775	0.6357002133272943	pert=10|dose=1|cell=0	pert=10|dose=1|cell=0	True	0.29350345133515265	0.29350345133515265	0.0	0.940723470906466	0.940723470906466	0.0	0.0	False	False	False	False	False	-0.0
16	2	pert=10|dose=1|cell=0	10	cell_line_0	0.05	preserved_correct	False	True	True	1.0	1.0	0.0	-0.254413684056918	0.35370089027255736	0.35370089027255736	0.0	0.9818330713668163	0.628132181094259	0.9818330713668163	0.628132181094259	pert=10|dose=1|cell=0	pert=10|dose=1|cell=0	True	0.38426324952849766	0.38426324952849766	0.0	0.9561227581175569	0.9561227581175569	0.0	0.0	False	False	False	False	False	-0.0
16	3	pert=10|dose=1|cell=1	10	cell_line_1	0.05	preserved_correct	False	True	True	1.0	1.0	0.0	-0.3633167545085486	0.24615811015609357	0.24615811015609357	0.0	0.9707690901821167	0.7246109800260231	0.9707690901821167	0.7246109800260231	pert=10|dose=1|cell=1	pert=10|dose=1|cell=1	True	0.6636856699897721	0.6636856699897721	0.0	0.9426273080705495	0.9426273080705495	0.0	0.0	False	False	False	False	False	-0.0
16	4	pert=10|dose=1|cell=1	10	cell_line_1	0.05	preserved_correct	False	True	True	1.0	1.0	0.0	-0.678974943122677	0.2471685010348008	0.2471685010348008	0.0	0.9723027890047793	0.7251342879699785	0.9723027890047793	0.7251342879699785	pert=10|dose=1|cell=1	pert=10|dose=1|cell=1	True	0.8278737889276757	0.8278737889276757	0.0	0.8992228022823826	0.8992228022823826	0.0	0.0	False	False	False	False	False	-0.0
16	5	pert=10|dose=1|cell=1	10	cell_line_1	0.05	preserved_correct	False	True	True	1.0	1.0	0.0	-0.8093297430548458	0.2597051493788559	0.2597051493788559	0.0	0.9744126803337038	0.7147075309548478	0.9744126803337038	0.7147075309548478	pert=10|dose=1|cell=1	pert=10|dose=1|cell=1	True	1.0249578345995771	1.0249578345995771	0.0	0.9816689497647423	0.9816689497647423	0.0	0.0	False	False	False	False	False	-0.0
16	6	pert=10|dose=1|cell=2	10	cell_line_2	0.05	still_wrong	False	False	False	4.0	4.0	0.0	-0.28678378181267644	-0.17058126045701405	-0.17058126045701405	0.0	0.7792805400861174	0.9498618005431314	0.7792805400861174	0.9498618005431314	pert=10|dose=1|cell=1	pert=10|dose=1|cell=1	True	0.3365730667349041	0.3365730667349041	0.0	0.6742065681262137	0.6742065681262137	0.0	0.0	False	False	False	False	False	-0.0
16	7	pert=10|dose=1|cell=2	10	cell_line_2	0.05	still_wrong	False	False	False	4.0	4.0	0.0	-0.41428805628586896	-0.1326873277380899	-0.1326873277380899	0.0	0.8133256419427591	0.946012969680849	0.8133256419427591	0.946012969680849	pert=10|dose=1|cell=1	pert=10|dose=1|cell=1	True	0.6109045849396134	0.6109045849396134	0.0	0.8185723815461774	0.8185723815461774	0.0	0.0	False	False	False	False	False	-0.0
16	8	pert=10|dose=1|cell=2	10	cell_line_2	0.05	still_wrong	False	False	False	4.0	4.0	0.0	-0.14889297223234155	-0.1475338442365296	-0.1475338442365296	0.0	0.8031328293946964	0.950666673631226	0.8031328293946964	0.950666673631226	pert=10|dose=1|cell=1	pert=10|dose=1|cell=1	True	0.44253187262771687	0.44253187262771687	0.0	0.7849000536617904	0.7849000536617904	0.0	0.0	False	False	False	False	False	-0.0
16	9	pert=11|dose=1|cell=0	11	cell_line_0	0.05	preserved_correct	False	True	True	1.0	1.0	0.0	-0.16764776047748253	0.018426216153890174	0.018426216153890174	0.0	0.9803516835680244	0.9619254674141342	0.9803516835680244	0.9619254674141342	pert=11|dose=1|cell=0	pert=11|dose=1|cell=0	True	0.4405590679514242	0.4405590679514242	0.0	0.9702839691692023	0.9702839691692023	0.0	0.0	True	True	True	True	False	-0.0
16	10	pert=11|dose=1|cell=0	11	cell_line_0	0.05	preserved_correct	False	True	True	1.0	1.0	0.0	-0.17752543242312757	0.015095812411268672	0.015095812411268672	0.0	0.977717232576728	0.9626214201654594	0.977717232576728	0.9626214201654594	pert=11|dose=1|cell=0	pert=11|dose=1|cell=0	True	0.31394374037392003	0.31394374037392003	0.0	0.9287448569687566	0.9287448569687566	0.0	0.0	True	True	True	True	False	-0.0
16	11	pert=11|dose=1|cell=0	11	cell_line_0	0.05	preserved_correct	False	True	True	1.0	1.0	0.0	-0.13247280690532992	0.00836120730781198	0.00836120730781198	0.0	0.9746619502607891	0.9663007429529771	0.9746619502607891	0.9663007429529771	pert=11|dose=1|cell=0	pert=11|dose=1|cell=0	True	0.3847475858217231	0.3847475858217231	0.0	0.9553631301654764	0.9553631301654764	0.0	0.0	True	True	True	True	False	-0.0
