probe	split	collapse_flag	pass_gate	rna_min_std	image_min_std	rna_mean_std	image_mean_std	rna_rank	image_rank	rna_bio_latent_r2	image_bio_latent_r2	batch_balanced_accuracy	batch_majority_accuracy	rna_to_image_recall@1	rna_to_image_recall@5	image_to_rna_recall@1	image_to_rna_recall@5	rna_to_image_median_rank
oracle_true_z_bio	train	False	False	0.09567553584237422	0.09567553584237422	0.363442421109183	0.363442421109183	16	16	0.9999943094154103	0.9999943094154103	0.34375	0.5	1.0	1.0	1.0	1.0	1.0
oracle_true_z_bio	val	False	False	0.1264715831134361	0.1264715831134361	0.37489685238374365	0.37489685238374365	16	16	0.9998931245116588	0.9998931245116588	0.375	0.5	1.0	1.0	1.0	1.0	1.0
oracle_true_z_bio	test	False	True	0.12065662632752341	0.12065662632752341	0.3770462779971616	0.3770462779971616	16	16	0.9999171826261934	0.9999171826261934	0.375	0.5	1.0	1.0	1.0	1.0	1.0
ridge_rna_to_image_pca	train	False	False	0.9842243110058279	0.9842509839662262	0.9842304028452306	0.9842509840484428	2	2	0.8608115434450886	0.8608105874955196	0.4375	0.5	1.0	1.0	1.0	1.0	1.0
ridge_rna_to_image_pca	val	False	False	1.0099693737361877	0.98696936096079	1.0354802370925147	0.997308077958144	2	2	0.7024537458726345	0.8206854881931607	0.40625	0.5	0.40625	0.84375	0.40625	0.875	2.0
ridge_rna_to_image_pca	test	False	True	0.8861442361949596	0.993563174611467	0.8991284670569925	1.004968981953331	2	2	0.6008053892180638	0.8429494453255786	0.3125	0.5	0.375	0.75	0.40625	0.78125	3.0
ridge_supervised_z_bio	train	False	False	0.09566409894496647	0.09566421348288998	0.3634303594727527	0.3634369716877619	16	16	0.9999943050464435	0.9999942786084792	0.34375	0.5	1.0	1.0	1.0	1.0	1.0
ridge_supervised_z_bio	val	False	False	0.1355965703172241	0.11991200854975449	0.3904103138121672	0.3734714291102279	16	16	0.6223145303702655	0.9865839648739085	0.6875	0.5	0.625	0.96875	0.46875	0.8125	1.0
ridge_supervised_z_bio	test	False	True	0.1402155261726008	0.11029970654605409	0.37819746139483235	0.37868434598158063	16	16	0.4155883400242616	0.9879505857249723	0.21875	0.5	0.4375	0.875	0.40625	0.78125	2.0
pls_cross_covariance	train	False	False	24.70172150242856	41.48663470463588	34.532829897325676	65.71595021679671	2	2	0.838910221566485	0.8623627211750654	0.46875	0.5	0.40625	0.71875	0.46875	0.875	3.0
pls_cross_covariance	val	False	False	28.86262300609987	41.66056897246056	37.64718442859254	66.84469624785855	2	2	0.6960588056696912	0.8224534177411913	0.46875	0.5	0.34375	0.75	0.25	0.71875	3.0
pls_cross_covariance	test	False	True	24.329961107946062	41.89442280519424	32.76525081810824	67.37622235690908	2	2	0.5939571857456727	0.8445254837955762	0.34375	0.5	0.21875	0.6875	0.21875	0.78125	3.5
regularized_cca	train	False	False	0.9707194915044133	0.9707256281930259	0.9748472471938858	0.9748521752035824	2	2	0.8359674589175128	0.8595826191356608	0.46875	0.5	0.4375	0.78125	0.4375	0.90625	3.0
regularized_cca	val	False	False	1.0078024296479204	0.968082782203089	1.0276159867116383	0.983523726387243	2	2	0.7206292943487813	0.8172540740089685	0.4375	0.5	0.375	0.78125	0.40625	0.875	2.5
regularized_cca	test	False	True	0.9120674926493185	0.9911663087121424	0.9283094576395818	1.0008672757009756	2	2	0.6267169889874835	0.8431348801082128	0.3125	0.5	0.25	0.71875	0.1875	0.96875	3.0
