candidate	alpha	seed_count	mean_oracle_active_fraction	mean_transition_improvement	min_transition_improvement	mean_delta_cosine	min_delta_cosine	mean_condition_recall_at_1	min_condition_recall_at_1	mean_delta_rank	mean_magnitude_ratio	mean_transition_gap	min_transition_gap	mean_delta_cosine_gap	min_delta_cosine_gap	mean_recall_gap	min_recall_gap
pooled_source_only_ridge	1.0	5	0.47407407407407404	0.021782418174669714	0.010057474237137128	0.5412069972768799	0.4885045894133175	0.3851851851851852	0.3333333333333333	11.039965074064284	0.6894053539056999	0.010500979297464966	0.005408056079224677	0.0896918609152129	0.030459552372828713	0.05185185185185185	0.037037037037037035
pooled_full_ridge	1.0	5	0.4962962962962963	0.02154460800375612	0.008403095507078781	0.5351014932823865	0.46795866076349557	0.37037037037037035	0.2962962962962963	11.075537654126075	0.6968699572786888	0.010263169126551374	0.005611936135211628	0.08358635692071952	0.029912590972533293	0.037037037037037035	0.0
pooled_source_only_ridge	0.75	5	0.5555555555555556	0.020641594167245446	0.009988996077392466	0.5236121362214483	0.46511030725731284	0.3851851851851852	0.2962962962962963	10.823042133742693	0.6690922847429909	0.0093601552900407	0.0053998179535301935	0.07209699985978132	0.019497759581437846	0.05185185185185186	0.0
pooled_full_ridge	0.75	5	0.548148148148148	0.020299805361712088	0.008058320758534307	0.5235601091496536	0.4631384857727593	0.37777777777777777	0.2962962962962963	10.907351917551988	0.683782070470041	0.00901836648450734	0.005407442560414807	0.07204497278798652	0.02906096513794565	0.04444444444444445	0.0
pooled_environment_centered_ridge	1.0	5	0.5037037037037038	0.019250732687441607	0.007092625645575873	0.5041077372418485	0.44292603441808054	0.39259259259259255	0.2962962962962963	11.02178501608716	0.6963692211555563	0.00796929381023686	0.006044481405225111	0.05259260088018145	0.026310569783794202	0.059259259259259255	0.037037037037037035
pooled_source_only_ridge	0.5	5	0.6	0.018745929171366787	0.008167751876240727	0.5065145187374887	0.4558181076388813	0.3851851851851852	0.2962962962962963	10.606999620206484	0.6838525520740342	0.007464490294162042	0.004454123866970118	0.0549993823758216	0.019592795804626473	0.05185185185185186	0.0
pooled_full_ridge	0.5	5	0.6222222222222222	0.01860234809181605	0.007389409624469619	0.5065960063610105	0.4526009069718142	0.39259259259259255	0.3333333333333333	10.655767796215944	0.686338692787533	0.007320909214611303	0.004312184536131646	0.05508086999934353	0.024255946794584538	0.05925925925925927	0.037037037037037035
pooled_environment_centered_ridge	0.75	5	0.562962962962963	0.018412486767484953	0.006775878068270497	0.4987651595396073	0.43395751108655645	0.4	0.2962962962962963	10.881640981598352	0.6901712519456351	0.007131047890280207	0.005406771179903142	0.04725002317794032	0.025120762222423154	0.06666666666666668	0.037037037037037035
pooled_source_only_ridge	0.35	5	0.6444444444444445	0.016937225434665422	0.0064341113535773525	0.49115465678150744	0.43850147602823425	0.37777777777777777	0.2962962962962963	10.490430559586077	0.696464415952615	0.0056557865574606726	0.003471610926335987	0.039639520419840465	0.01598386238934546	0.04444444444444444	0.037037037037037035
pooled_full_ridge	0.35	5	0.6592592592592592	0.016837453359914205	0.005875666346283394	0.490902695894858	0.43864015708589155	0.37037037037037035	0.2962962962962963	10.516304945704533	0.6992761667431526	0.005556014482709457	0.0033314447152011997	0.03938755953319093	0.013533439409336934	0.037037037037037035	0.0
pooled_environment_centered_ridge	0.5	5	0.6	0.016778951607183096	0.005590331848964658	0.4881695635722906	0.4247236488209025	0.4	0.3333333333333333	10.664955814149724	0.7009016464198442	0.005497512729978351	0.0040825120475908114	0.036654427210623584	0.024358667271799528	0.06666666666666668	0.037037037037037035
pooled_environment_centered_ridge	0.35	5	0.6222222222222222	0.015446123049282428	0.004435561828990626	0.479062209008484	0.4180757737863914	0.37777777777777777	0.3333333333333333	10.509717241192876	0.7130911217059172	0.004164684172077683	0.0030420145496999774	0.027547072646816995	0.019227103482691132	0.04444444444444444	0.0
pooled_source_only_ridge	0.2	5	0.6962962962962963	0.014760127901959307	0.0041920566434848145	0.47453422445803695	0.4187799775049401	0.3555555555555555	0.25925925925925924	10.362470000709846	0.717075663140589	0.003478689024754561	0.0021921739284907205	0.023019088096369867	0.010919093777667088	0.02222222222222222	0.0
pooled_full_ridge	0.2	5	0.6666666666666666	0.014694615177938944	0.0038595347814441355	0.474231880367655	0.4193259187208107	0.36296296296296293	0.25925925925925924	10.387258742750706	0.7201218066854259	0.0034131763007341975	0.0020778751934619616	0.022716744005987954	0.008548286982966946	0.029629629629629627	0.0
pooled_source_only_ridge	0.15	5	0.7037037037037037	0.013954564681169724	0.0033348986413408647	0.4690420591638941	0.4136824502190493	0.34814814814814815	0.25925925925925924	10.324002699590585	0.7259029342659187	0.002673125803964977	0.0017015338415752555	0.017526922802227073	0.008469862649126303	0.014814814814814814	0.0
pooled_full_ridge	0.15	5	0.674074074074074	0.013899830780276281	0.003079180562831136	0.46863199414486106	0.41406647990030737	0.3555555555555555	0.25925925925925924	10.345389917392966	0.727932127201902	0.002618391903071534	0.001601204972245536	0.01711685778319407	0.006486634195145169	0.02222222222222222	0.0
pooled_environment_centered_ridge	0.2	5	0.6444444444444445	0.013845678014504717	0.0029469138589445303	0.46798237168526047	0.4100185780934713	0.36296296296296293	0.2962962962962963	10.380637893185206	0.7282187336731961	0.0025642391372999707	0.0018502696619586492	0.016467235323593434	0.011341389938261115	0.029629629629629627	0.0
pooled_environment_centered_ridge	0.15	5	0.6518518518518518	0.013301231484409542	0.0023770525109731494	0.46441876044219316	0.4091185944858266	0.34814814814814815	0.25925925925925924	10.343092534739117	0.7343139436183914	0.002019792607204796	0.0014154475262074303	0.01290362408052611	0.008761963828213815	0.014814814814814814	0.0
pooled_source_only_ridge	0.1	5	0.7185185185185186	0.01310944763343443	0.0024205671639010522	0.463283407161242	0.4087501461090557	0.34814814814814815	0.25925925925925924	10.293752199360025	0.7350366180149026	0.0018280087562296808	0.0011722137697513652	0.011768270799574921	0.0058089788890975935	0.014814814814814814	0.0
pooled_full_ridge	0.1	5	0.6814814814814815	0.013065953551247584	0.0022465977736581813	0.4629680130485386	0.40873610489835766	0.34814814814814815	0.25925925925925924	10.306290806855463	0.73667868848152	0.0017845146740428364	0.0010966994345624273	0.01145287668687156	0.004441981683111607	0.014814814814814814	0.0
pooled_source_only_ridge	0.075	5	0.725925925925926	0.012701889558720567	0.0019422673304131306	0.460596024026014	0.40725257345254523	0.34074074074074073	0.25925925925925924	10.280487829701178	0.7398711611431382	0.0014204506815158197	0.0008932386259325638	0.009080887664347014	0.004411017234546399	0.007407407407407407	0.0
pooled_full_ridge	0.075	5	0.711111111111111	0.012666707618420031	0.0018109140119281343	0.46041712597600154	0.407322606968688	0.34074074074074073	0.25925925925925924	10.288222696850035	0.740976105599282	0.001385268741215286	0.0008342182209535344	0.008901989614334482	0.0036436415420102453	0.007407407407407407	0.0
pooled_environment_centered_ridge	0.1	5	0.6518518518518518	0.012659131221378355	0.0017664493788817112	0.4602008364620883	0.40544024836816817	0.34074074074074073	0.25925925925925924	10.306029311560447	0.7411049504527569	0.001377692344173609	0.000961966612861298	0.008685700100421346	0.00599959205356948	0.007407407407407407	0.0
pooled_environment_centered_ridge	0.075	5	0.6592592592592592	0.012326350620641066	0.0014459707503837655	0.4580851529531168	0.40358296989132014	0.34074074074074073	0.25925925925925924	10.290438654878724	0.744443630549308	0.0010449117434363205	0.0007283048691598473	0.006570016591449779	0.004555669513424343	0.007407407407407407	0.0
pooled_source_only_ridge	0.05	5	0.7333333333333333	0.012239626156784056	0.0014500448593723985	0.45756185962325835	0.4041614029219313	0.3333333333333333	0.25925925925925924	10.267911575462021	0.7448426388044508	0.0009581872795793089	0.0006061336875336429	0.006046723261591313	0.0028959838930084913	0.0	0.0
pooled_full_ridge	0.05	5	0.711111111111111	0.012215164495608643	0.001361902589446754	0.45745543231410596	0.40420273293195935	0.3333333333333333	0.25925925925925924	10.272315279836127	0.7457618856183946	0.0009337256184038979	0.0005640287196727635	0.005940295952438912	0.0024579061021478	0.0	0.0
pooled_environment_centered_ridge	0.05	5	0.6592592592592592	0.011985884131570465	0.0011154305557643394	0.45591243040188917	0.4017162996772285	0.3333333333333333	0.25925925925925924	10.27368031071688	0.7480991022957356	0.0007044452543657177	0.0004900694989441578	0.004397294040222144	0.0030729587554737536	0.0	0.0
pooled_source_only_ridge	0.025	5	0.7333333333333333	0.011766116457558188	0.000944026931810566	0.4545416607278325	0.40106359274432674	0.3333333333333333	0.25925925925925924	10.255737222984916	0.7501882145705372	0.0004846775803534398	0.0003083941907848532	0.003026524366165473	0.0014651949031455613	0.0	0.0
pooled_full_ridge	0.025	5	0.725925925925926	0.011753421675184792	0.0008996744878271907	0.45450203541914097	0.4010815795540938	0.3333333333333333	0.25925925925925924	10.257758589762183	0.7505964043006536	0.0004719827979800449	0.0002860173328189039	0.0029868990574739352	0.0012124065441824206	0.0	0.0
pooled_environment_centered_ridge	0.025	5	0.6592592592592592	0.011637560130712373	0.0007748727068122306	0.45372160291599234	0.399842184939385	0.3333333333333333	0.25925925925925924	10.258401052194806	0.7518328448413916	0.00035612125350762845	0.0002472910162455103	0.002206466554325348	0.0015536782683118755	0.0	0.0
