seed	candidate	alpha	oracle_active_fraction	transition_improvement	delta_cosine	condition_recall_at_1	condition_median_rank	delta_rank	magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_condition_recall_at_1	transition_gap_vs_per_seed_floor	delta_cosine_gap_vs_per_seed_floor	recall_gap_vs_per_seed_floor
0	pooled_source_only_ridge	0.025	0.7407407407407407	0.0064558569359970605	0.40106359274432674	0.48148148148148145	2.0	10.285826167509194	0.7688625387914869	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.0007939504198029848	0.0031010760495963074	0.0
0	pooled_source_only_ridge	0.05	0.7407407407407407	0.007234928007317073	0.4041614029219313	0.48148148148148145	2.0	10.289376034989107	0.7633692656640614	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.0015730214911229973	0.006198886227200884	0.0
0	pooled_source_only_ridge	0.075	0.7407407407407407	0.00799893346189964	0.40725257345254523	0.48148148148148145	2.0	10.293739251501925	0.7579595193181958	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.002337026945705564	0.009290056757814802	0.0
0	pooled_source_only_ridge	0.1	0.7037037037037037	0.008528295858187337	0.4087501461090557	0.48148148148148145	2.0	10.295276710955129	0.753619354614136	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.0028663893419932614	0.010787629414325262	0.0
0	pooled_source_only_ridge	0.15	0.6666666666666666	0.009855412751352143	0.4136824502190493	0.48148148148148145	2.0	10.310613736810547	0.7443668098485742	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.004193506235158067	0.015719933524318885	0.0
0	pooled_source_only_ridge	0.2	0.6666666666666666	0.011142537416723787	0.4187799775049401	0.48148148148148145	2.0	10.325807567177602	0.7350010981235959	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.005480630900529711	0.020817460810209687	0.0
0	pooled_source_only_ridge	0.35	0.6296296296296297	0.014695349785024563	0.43850147602823425	0.5185185185185185	1.0	10.405893672002431	0.7147129543983035	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.009033443268830488	0.04053895933350382	0.037037037037037035
0	pooled_source_only_ridge	0.5	0.5925925925925926	0.017825777785592675	0.4558181076388813	0.5555555555555556	1.0	10.462681730730443	0.6944552928176543	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.0121638712693986	0.05785559094415088	0.07407407407407413
0	pooled_source_only_ridge	0.75	0.5555555555555556	0.020133627996154806	0.46511030725731284	0.5555555555555556	1.0	10.71216810344941	0.6638527413373763	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.01447172147996073	0.06714779056258241	0.07407407407407413
0	pooled_source_only_ridge	1.0	0.5185185185185185	0.022677391108967295	0.4885045894133175	0.5185185185185185	1.0	10.717874866379956	0.6695346690897692	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.01701548459277322	0.09054207271858705	0.037037037037037035
0	pooled_full_ridge	0.025	0.7407407407407407	0.006474472957309284	0.4010815795540938	0.48148148148148145	2.0	10.283447292773833	0.7689607528881701	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.0008125664411152084	0.003119062859363364	0.0
0	pooled_full_ridge	0.05	0.7407407407407407	0.007272097706327312	0.40420273293195935	0.48148148148148145	2.0	10.284961677013168	0.7635660208719469	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.001610191190133236	0.006240216237228924	0.0
0	pooled_full_ridge	0.075	0.7407407407407407	0.008054592286160948	0.407322606968688	0.48148148148148145	2.0	10.287636851836975	0.7582550720958756	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.0023926857699668727	0.009360090273957566	0.0
0	pooled_full_ridge	0.1	0.6666666666666666	0.008610787259132557	0.40873610489835766	0.48148148148148145	2.0	10.290418017209552	0.7544485227506188	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.0029488807429384816	0.010773588203627227	0.0
0	pooled_full_ridge	0.15	0.6666666666666666	0.01000338120476684	0.41406647990030737	0.48148148148148145	2.0	10.302354893541208	0.7449326983240709	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.004341474688572764	0.016103963205576943	0.0
0	pooled_full_ridge	0.2	0.6666666666666666	0.011339822655366516	0.4193259187208107	0.48148148148148145	2.0	10.319663931611863	0.7357574022510581	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.00567791613917244	0.02136340202608028	0.0
0	pooled_full_ridge	0.35	0.6296296296296297	0.015004075255406734	0.43864015708589155	0.48148148148148145	2.0	10.408952375381052	0.7156815626324227	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.009342168739212658	0.04067764039116112	0.0
0	pooled_full_ridge	0.5	0.5925925925925926	0.01822203387005028	0.4555525393344507	0.5555555555555556	1.0	10.49577486259771	0.6959963861067321	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.012560127353856206	0.057590022639720295	0.07407407407407413
0	pooled_full_ridge	0.75	0.5555555555555556	0.020545547060349292	0.4631384857727593	0.5555555555555556	1.0	10.783650629529587	0.6665731468781887	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.014883640544155217	0.06517596907802886	0.07407407407407413
0	pooled_full_ridge	1.0	0.5185185185185185	0.023144960233189512	0.4858338194711705	0.5185185185185185	1.0	10.861730087732631	0.6719725252845117	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.017483053716995437	0.08787130277644006	0.037037037037037035
0	pooled_environment_centered_ridge	0.025	0.6666666666666666	0.0062727962213186775	0.399842184939385	0.48148148148148145	2.0	10.291609685056402	0.7699740921860756	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.0006108897051246018	0.0018796682446545754	0.0
0	pooled_environment_centered_ridge	0.05	0.6666666666666666	0.006872668081096113	0.4017162996772285	0.48148148148148145	2.0	10.301925075972576	0.7655671966517601	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.001210761564902037	0.003753782982498066	0.0
0	pooled_environment_centered_ridge	0.075	0.6666666666666666	0.007461419955140142	0.40358296989132014	0.48148148148148145	2.0	10.314303172458043	0.7612177044210737	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.001799513438946066	0.005620453196589714	0.0
0	pooled_environment_centered_ridge	0.1	0.6666666666666666	0.008038951955960091	0.40544024836816817	0.48148148148148145	2.0	10.328767536912627	0.7569269094228305	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.0023770454397660156	0.0074777316734377375	0.0
0	pooled_environment_centered_ridge	0.15	0.6666666666666666	0.009159968473526544	0.4091185944858266	0.48148148148148145	2.0	10.363537424925081	0.7485266545140155	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.003498061957332468	0.011156077791096175	0.0
0	pooled_environment_centered_ridge	0.2	0.6296296296296297	0.009905505407650466	0.4100185780934713	0.48148148148148145	2.0	10.396454234503798	0.7421759971974979	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.00424359889145639	0.01205606139874088	0.0
0	pooled_environment_centered_ridge	0.35	0.6296296296296297	0.012639803153792473	0.4180757737863914	0.48148148148148145	2.0	10.540640374918972	0.7205519552018379	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.006977896637598398	0.020113257091660952	0.0
0	pooled_environment_centered_ridge	0.5	0.5925925925925926	0.014982554923827891	0.4247236488209025	0.5555555555555556	1.0	10.717843528311892	0.7037894957477895	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.009320648407633816	0.026761132126172094	0.07407407407407413
0	pooled_environment_centered_ridge	0.75	0.5555555555555556	0.018139306329015496	0.43395751108655645	0.5555555555555556	1.0	10.957127831415628	0.6793097894299128	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.012477399812821421	0.03599499439182602	0.07407407407407413
0	pooled_environment_centered_ridge	1.0	0.5185185185185185	0.02030872282598102	0.44292603441808054	0.5185185185185185	1.0	11.070294772413934	0.6812414726362843	0.005661906516194076	0.39796251669473043	0.48148148148148145	0.014646816309786946	0.04496351772335011	0.037037037037037035
1	pooled_source_only_ridge	0.025	0.6666666666666666	0.022064872476212687	0.5418932226300259	0.3333333333333333	2.0	9.945890590460053	0.7868652753619934	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0003083941907848532	0.0014651949031455613	0.0
1	pooled_source_only_ridge	0.05	0.6666666666666666	0.022362611972961476	0.5433240116198889	0.3333333333333333	2.0	9.95621307555128	0.7804781141530377	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0006061336875336429	0.0028959838930084913	0.0
1	pooled_source_only_ridge	0.075	0.6296296296296297	0.022649716911360397	0.5448390449614268	0.3333333333333333	2.0	9.963942025155243	0.7755080818687644	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0008932386259325638	0.004411017234546399	0.0
1	pooled_source_only_ridge	0.1	0.6296296296296297	0.0229286920551792	0.546237006615978	0.3333333333333333	2.0	9.975439569770874	0.7697736200071666	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0011722137697513652	0.0058089788890975935	0.0
1	pooled_source_only_ridge	0.15	0.6296296296296297	0.02345801212700309	0.5488978903760067	0.3333333333333333	2.0	10.00129799459386	0.7586499796424173	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0017015338415752555	0.008469862649126303	0.0
1	pooled_source_only_ridge	0.2	0.6296296296296297	0.023948652213918554	0.5513471215045475	0.3333333333333333	2.0	10.029979665620285	0.7480120385231985	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0021921739284907205	0.010919093777667088	0.0
1	pooled_source_only_ridge	0.35	0.5185185185185185	0.02522808921176382	0.5564118901162258	0.37037037037037035	2.0	10.141514643114796	0.731286964470893	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.003471610926335987	0.01598386238934546	0.037037037037037035
1	pooled_source_only_ridge	0.5	0.5185185185185185	0.02621060215239795	0.5600208235315068	0.37037037037037035	2.0	10.270133463023848	0.7120650486635036	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.004454123866970118	0.019592795804626473	0.037037037037037035
1	pooled_source_only_ridge	0.75	0.48148148148148145	0.027156296238958027	0.5599257873083182	0.37037037037037035	3.0	10.533739700280332	0.6915236370372774	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0053998179535301935	0.019497759581437846	0.037037037037037035
1	pooled_source_only_ridge	1.0	0.2962962962962963	0.02716453436465251	0.5708875800997091	0.37037037037037035	3.0	11.004340906899445	0.730739739377848	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.005408056079224677	0.030459552372828713	0.037037037037037035
1	pooled_full_ridge	0.025	0.6296296296296297	0.022042495618246737	0.5416404342710628	0.3333333333333333	2.0	9.94201653578767	0.7878464308347876	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0002860173328189039	0.0012124065441824206	0.0
1	pooled_full_ridge	0.05	0.5925925925925926	0.022320507005100597	0.5428859338290282	0.3333333333333333	2.0	9.945777073947575	0.7831437311328331	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0005640287196727635	0.0024579061021478	0.0
1	pooled_full_ridge	0.075	0.5925925925925926	0.022590696506381368	0.5440716692688906	0.3333333333333333	2.0	9.952208459492313	0.7781698903648063	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0008342182209535344	0.0036436415420102453	0.0
1	pooled_full_ridge	0.1	0.5555555555555556	0.02285317771999026	0.544870009409992	0.3333333333333333	2.0	9.959665809482981	0.7737651865551897	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0010966994345624273	0.004441981683111607	0.0
1	pooled_full_ridge	0.15	0.5555555555555556	0.02335768325767337	0.5469146619220255	0.3333333333333333	2.0	9.981273447975063	0.7645072477078065	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.001601204972245536	0.006486634195145169	0.0
1	pooled_full_ridge	0.2	0.5185185185185185	0.023834353478889795	0.5489763147098473	0.37037037037037035	2.0	10.01511391893185	0.7584974468811855	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0020778751934619616	0.008548286982966946	0.037037037037037035
1	pooled_full_ridge	0.35	0.5185185185185185	0.025087923000629033	0.5539614671362173	0.37037037037037035	2.0	10.121643838885719	0.7363460108129589	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.0033314447152011997	0.013533439409336934	0.037037037037037035
1	pooled_full_ridge	0.5	0.48148148148148145	0.02606866282155948	0.5646839745214649	0.37037037037037035	2.0	10.295126588478183	0.7254729458428554	0.021756478285427833	0.5404280277268804	0.3333333333333333	0.004312184536131646	0.024255946794584538	0.037037037037037035
