seed	selected_residual_scale	selected_train_transition_improvement	selected_train_delta_cosine	selected_train_recall_at_1	selected_transition_improvement	selected_delta_cosine	selected_recall_at_1	selected_delta_rank	selected_magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_delta_rank	direct_transition_improvement	direct_delta_cosine	direct_recall_at_1	direct_delta_rank	selected_gap_transition	selected_gap_delta_cosine	selected_gap_recall	selected_action_negative_gap	rna_to_image_recall_at_1	image_to_rna_recall_at_1	target_effective_rank	image_target_effective_rank	floor_init_error	identity_violation	leakage_flag
0	1.0	0.15149331137486147	0.9815055983872016	0.5	0.1490161009516617	0.957840429231444	0.8518518518518519	9.938564815446153	1.0342560588708685	0.14366915588425286	0.9348091301779191	0.8888888888888888	7.653265271940026	0.1490161009516617	0.957840429231444	0.8518518518518519	9.938564815446153	0.005346945067408848	0.023031299053524856	-0.03703703703703698	0.02449093517871305	0.8148148148148148	0.7777777777777778	4.9867390041693875	5.965925413995415	6.146275541851765e-07	0.0	0.0
1	1.0	0.24864717705859649	0.9790010379186584	0.5	0.19228905931609683	0.9166120945667231	0.6666666666666666	10.310896883815268	1.0586142360526876	0.1707350373131547	0.8418910341147743	0.5925925925925926	7.628453394528662	0.19228905931609683	0.9166120945667231	0.6666666666666666	10.310896883815268	0.021554022002942125	0.07472106045194882	0.07407407407407407	0.05278401398489582	0.6296296296296297	0.8888888888888888	5.943674980225257	8.031676607695829	9.431691827543887e-07	0.0	0.0
2	1.0	0.3256358230556164	0.9662852428194066	0.5	0.27378462823573746	0.9436406282711494	1.0	7.9637438928841355	1.0265119299179883	0.2724394655216964	0.932261923188985	1.0	6.230242065351273	0.27378462823573746	0.9436406282711494	1.0	7.9637438928841355	0.0013451627140410594	0.01137870508216432	0.0	0.011237162770077802	0.7037037037037037	0.7037037037037037	5.545190988462882	7.238290478159652	1.1600628440078253e-06	0.0	0.0
3	1.0	0.6217244319178702	0.9786194906664755	0.5	0.5191221428747907	0.940191988855745	0.9629629629629629	10.476194143468273	1.0514435002246036	0.5212980055525284	0.9320907531731707	1.0	7.051391799370344	0.5191221428747907	0.940191988855745	0.9629629629629629	10.476194143468273	-0.0021758626777376167	0.00810123568257426	-0.03703703703703709	0.07077163130488867	0.8518518518518519	1.0	7.845789275370145	7.65144492648573	6.175035700550779e-07	0.0	0.0
4	1.0	0.7154381020209577	0.9889360824113026	0.5	0.5654477673655594	0.9452906320909933	0.9629629629629629	8.628908034605477	1.085050684341376	0.5571293539076213	0.9200586293997617	0.8148148148148148	6.089894692766619	0.5654477673655594	0.9452906320909933	0.9629629629629629	8.628908034605484	0.008318413457938045	0.025232002691231603	0.14814814814814814	0.10199778907107482	0.7777777777777778	0.7777777777777778	7.17675460536759	6.623638804543242	4.288532871044026e-07	0.0	0.0
