latent_space	source_neighborhood_fraction	mean_same_cell_line_purity	min_same_cell_line_purity	mean_same_cell_line_coverage	mean_same_batch_purity	mean_same_perturbation_purity	mean_top1_same_cell_line
z_bio_online	0.3333333333333333	0.9112286890064667	0.831275720164609	0.9112286890064668	0.36067019400352734	0.3420047031158142	1.0
z_bio_plus_z_tech	0.3333333333333333	0.7529394473838918	0.7078189300411523	0.7529394473838918	0.3940329218106996	0.3395061728395062	1.0
z_bio_teacher	0.3333333333333333	0.7156819517930629	0.6502057613168725	0.7156819517930629	0.3924897119341564	0.3374485596707819	1.0
z_tech_teacher	0.3333333333333333	0.6976778365667256	0.6419753086419753	0.6976778365667254	0.3804379776601999	0.35023515579071135	1.0
z_bio_online	0.5	0.6340230536659108	0.6111111111111112	0.9862580834803057	0.3306878306878307	0.332010582010582	1.0
z_bio_plus_z_tech	0.5	0.578656462585034	0.5582010582010583	0.9001322751322752	0.3419312169312169	0.33470332577475437	1.0
z_bio_teacher	0.5	0.5676492819349962	0.5317460317460317	0.8830099941211053	0.338860544217687	0.3350812547241119	1.0
z_tech_teacher	0.5	0.5627362055933485	0.5396825396825397	0.8753674309229865	0.3295540438397581	0.3318216175359033	1.0
z_bio_online	0.6666666666666666	0.5	0.5	1.0	0.32602145796590243	0.3334435626102293	1.0
z_bio_plus_z_tech	0.6666666666666666	0.4748677248677248	0.4609053497942387	0.9497354497354497	0.32727072310405647	0.33395796590241034	1.0
z_bio_teacher	0.6666666666666666	0.46854791299235743	0.43621399176954734	0.9370958259847149	0.330761316872428	0.3324514991181658	1.0
z_tech_teacher	0.6666666666666666	0.4672251616696061	0.44650205761316875	0.9344503233392122	0.3279688418577308	0.3363462669018225	1.0
z_bio_online	1.0	0.3333333333333333	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0
z_bio_plus_z_tech	1.0	0.3333333333333333	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0
z_bio_teacher	1.0	0.3333333333333333	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0
z_tech_teacher	1.0	0.3333333333333333	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0
