seed	selected_residual_scale	selected_train_transition_improvement	selected_train_delta_cosine	selected_train_recall_at_1	selected_transition_improvement	selected_delta_cosine	selected_recall_at_1	selected_delta_rank	selected_magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_recall_at_1	floor_delta_rank	direct_transition_improvement	direct_delta_cosine	direct_recall_at_1	direct_delta_rank	selected_gap_transition	selected_gap_delta_cosine	selected_gap_recall	selected_action_negative_gap	rna_to_image_recall_at_1	image_to_rna_recall_at_1	target_effective_rank	image_target_effective_rank	identity_violation	leakage_flag
0	0.0	0.14541942888185247	0.9490979256830906	0.4583333333333333	0.14366915588425286	0.9348091301779191	0.8888888888888888	7.653265271940026	1.032848813148596	0.14366915588425286	0.9348091301779191	0.8888888888888888	7.653265271940026	0.11683629302393095	0.8110404111535682	0.7037037037037037	11.594326188160649	0.0	0.0	0.0	0.022385561620677466	0.8148148148148148	0.7777777777777778	4.9867390041693875	5.965925413995415	0.0	0.0
1	0.0	0.23016913206959908	0.9223779129863063	0.4861111111111111	0.1707350373131547	0.8418910341147743	0.5925925925925926	7.628453394528662	0.9980487481514073	0.1707350373131547	0.8418910341147743	0.5925925925925926	7.628453394528662	0.16455496604906	0.8137561602904071	0.7777777777777778	11.857686936112023	0.0	0.0	0.0	0.029399823212959364	0.6296296296296297	0.8888888888888888	5.943674980225257	8.031676607695829	0.0	0.0
2	0.0	0.31538051651863425	0.9472656765128912	0.5	0.2724394655216964	0.932261923188985	1.0	6.230242065351273	0.989959751361646	0.2724394655216964	0.932261923188985	1.0	6.230242065351273	0.23683803702812847	0.8321305906647707	0.8148148148148148	10.471092260479605	0.0	0.0	0.0	0.011421118009169173	0.7037037037037037	0.7037037037037037	5.545190988462882	7.238290478159652	0.0	0.0
3	0.0	0.5964334664363728	0.9479116135821665	0.5	0.5212980055525284	0.9320907531731707	1.0	7.051391799370344	1.0111265488257464	0.5212980055525284	0.9320907531731707	1.0	7.051391799370344	0.4852073791916289	0.8916325211974718	0.9259259259259259	11.848845778708567	0.0	0.0	0.0	0.06773297839884662	0.8518518518518519	1.0	7.845789275370145	7.65144492648573	0.0	0.0
4	0.0	0.6985857906455684	0.9562826450260533	0.5	0.5571293539076213	0.9200586293997617	0.8148148148148148	6.089894692766619	1.0546942332990834	0.5571293539076213	0.9200586293997617	0.8148148148148148	6.089894692766619	0.5068937748619565	0.8587436967821556	0.8518518518518519	10.289717063186439	0.0	0.0	0.0	0.09750004547557162	0.7777777777777778	0.7777777777777778	7.17675460536759	6.623638804543242	0.0	0.0
