seed	split	method	direct_transition_improvement	direct_delta_cosine	direct_recall_at_1	direct_delta_rank	direct_magnitude_ratio	ridge_floor_transition_improvement	ridge_floor_delta_cosine	ridge_floor_recall_at_1	ridge_floor_delta_rank	rna_to_image_recall_at_1	image_to_rna_recall_at_1	action_negative_transition_gap	target_effective_rank	image_target_effective_rank	identity_violation	leakage_flag	image_teacher_transition_improvement	image_teacher_delta_cosine	image_teacher_recall_at_1	image_teacher_delta_rank	image_teacher_magnitude_ratio	image_teacher_action_negative_gap	target_image_cosine	source_image_cosine	transition_image_cosine	source_image_effective_rank	target_image_effective_rank	train_raw_transition_improvement	train_raw_delta_cosine	train_raw_recall_at_1	train_raw_delta_rank	train_calibrated_transition_improvement	train_calibrated_delta_cosine	train_calibrated_recall_at_1	train_calibrated_delta_rank	train_calibrated_magnitude_ratio	calibrated_transition_improvement	calibrated_delta_cosine	calibrated_recall_at_1	calibrated_delta_rank	calibrated_magnitude_ratio	calibrated_action_negative_gap	calibrated_delta_cosine_gain	calibrated_transition_gain	calibrated_recall_gain	blend_alpha	gate_status	cv_lcb_transition_gap_vs_raw	cv_lcb_delta_cosine_gap_vs_raw	cv_lcb_recall_gap_vs_raw	mean_transition_gap_vs_raw	mean_delta_cosine_gap_vs_raw	mean_recall_gap_vs_raw	selected_blend_alpha	gate_status_code	gate_cv_lcb_transition_gap_vs_raw	gate_cv_lcb_delta_cosine_gap_vs_raw	gate_cv_lcb_recall_gap_vs_raw
37	validation	F082_delta_calibrated	0.4576653181353624	0.543582070915839	0.5555555555555556	17.386537468731234	1.075794154572038	0.4615999943704057	0.558819482021403	0.5555555555555556	17.351260719474944	0.14814814814814814	0.1111111111111111	0.6076052496007556	17.174829961555066	6.956104820780058	0.0	0.0	0.41760705518276436	0.2968893994069834	0.37037037037037035	17.386537468731234	0.5721928401579743	0.23587429123637854	0.04915443793733309	0.9997647485007257	0.23527431749905917	0.0	14.7583465740141	0.8943290110557542	0.9851257166403712	1.0	17.931137675378988	0.9071199195394376	0.9977082607098927	1.0	17.093933646765596	1.003547855530075	0.3983577725278428	0.27471081894100885	0.37037037037037035	17.393079624462857	0.6891603754822775	0.23318971970215283	-0.02217858046597454	-0.01924928265492154	0.0													
37	validation	F094_split_safe_jepa_calibration_gate	0.4576653181353624	0.543582070915839	0.5555555555555556	17.386537468731234	1.075794154572038	0.4615999943704057	0.558819482021403	0.5555555555555556	17.351260719474944	0.14814814814814814	0.1111111111111111	0.6076052496007556	17.174829961555066	6.956104820780058	0.0	0.0	0.41760705518276436	0.2968893994069834	0.37037037037037035	17.386537468731234	0.5721928401579743	0.23587429123637854	0.04915443793733309	0.9997647485007257	0.23527431749905917	0.0	14.7583465740141	0.8943290110557542	0.9851257166403712	1.0	17.931137675378988	0.8943290110557542	0.9851257166403712	1.0	17.931137675378988	0.8455806664743052	0.41760705518276436	0.2968893994069834	0.37037037037037035	17.386537468731234	0.5721928401579743	0.23587429123637854	0.0	0.0	0.0	0.0	JEPA_GATE_ABSTAIN_USE_RAW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	test	F082_delta_calibrated	0.5432984821037502	0.5629533850422445	0.5357142857142857	17.93113767537898	1.0075949430235072	0.552118135204145	0.5802216940829291	0.5357142857142857	17.9958363960854	0.17857142857142858	0.14285714285714285	0.5682567577984039	16.507341093086286	7.63510026085757	0.0	0.0	0.6475939822355204	0.345672163130759	0.42857142857142855	17.931137675378988	0.5013064323406646	0.24566571213742344	0.040638928639253266	0.9997647485007258	0.20117728732572057	0.0	15.153487975132133	0.8943290110557542	0.9851257166403712	1.0	17.931137675378988	0.9071199195394376	0.9977082607098927	1.0	17.093933646765596	1.003547855530075	0.6466584594682449	0.3313459812905906	0.42857142857142855	17.093933646765596	0.6176165449322281	0.2430529860135856	-0.014326181840168373	-0.0009355227672755984	0.0													
37	test	F094_split_safe_jepa_calibration_gate	0.5432984821037502	0.5629533850422445	0.5357142857142857	17.93113767537898	1.0075949430235072	0.552118135204145	0.5802216940829291	0.5357142857142857	17.9958363960854	0.17857142857142858	0.14285714285714285	0.5682567577984039	16.507341093086286	7.63510026085757	0.0	0.0	0.6475939822355204	0.345672163130759	0.42857142857142855	17.931137675378988	0.5013064323406646	0.24566571213742344	0.040638928639253266	0.9997647485007258	0.20117728732572057	0.0	15.153487975132133	0.8943290110557542	0.9851257166403712	1.0	17.931137675378988	0.8943290110557542	0.9851257166403712	1.0	17.931137675378988	0.8455806664743052	0.6475939822355204	0.345672163130759	0.42857142857142855	17.931137675378988	0.5013064323406646	0.24566571213742344	0.0	0.0	0.0	0.0	JEPA_GATE_ABSTAIN_USE_RAW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	alternate_test	F082_delta_calibrated	0.31581260776324044	0.29867125085390556	0.2727272727272727	17.888862250222314	0.9006341565696574	0.32738503755289244	0.32198637006137715	0.2727272727272727	17.946224588363943	0.05454545454545454	0.03636363636363636	0.3842483812948084	16.94603040113267	7.884275065490885	0.0	0.0	0.48501370060406235	0.19151238580492658	0.12727272727272726	17.888862250222314	0.37469719312060595	0.09764064488354679	0.11061856968218314	0.9997647485007252	0.02511794115018779	0.0	15.338561255497462	0.8943290110557542	0.9851257166403712	1.0	17.931137675378988	0.9071199195394376	0.9977082607098927	1.0	17.093933646765596	1.003547855530075	0.4951208959233436	0.18641752626893773	0.12727272727272726	17.010613719272953	0.46994936260433673	0.09532757014804955	-0.005094859535988844	0.010107195319281226	0.0													
37	alternate_test	F094_split_safe_jepa_calibration_gate	0.31581260776324044	0.29867125085390556	0.2727272727272727	17.888862250222314	0.9006341565696574	0.32738503755289244	0.32198637006137715	0.2727272727272727	17.946224588363943	0.05454545454545454	0.03636363636363636	0.3842483812948084	16.94603040113267	7.884275065490885	0.0	0.0	0.48501370060406235	0.19151238580492658	0.12727272727272726	17.888862250222314	0.37469719312060595	0.09764064488354679	0.11061856968218314	0.9997647485007252	0.02511794115018779	0.0	15.338561255497462	0.8943290110557542	0.9851257166403712	1.0	17.931137675378988	0.8943290110557542	0.9851257166403712	1.0	17.931137675378988	0.8455806664743052	0.48501370060406235	0.19151238580492658	0.12727272727272726	17.888862250222314	0.37469719312060595	0.09764064488354679	0.0	0.0	0.0	0.0	JEPA_GATE_ABSTAIN_USE_RAW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	validation	F082_delta_calibrated	0.4216445319628088	0.5164853481332111	0.5555555555555556	17.322252514239327	1.1889033055926344	0.43827827218223064	0.5422821609049676	0.5555555555555556	17.4211160573632	0.1111111111111111	0.1111111111111111	0.678200156732427	16.515329571205644	6.737017421405803	0.0	0.0	0.4200175818248056	0.3009427369383467	0.4074074074074074	17.32225251423932	0.582015594189295	0.23782353169077905	0.05737920509741887	0.999881805151337	0.23768484414110022	0.0	14.7583465740141	0.8942756136898405	0.9843632570242865	1.0	17.958558558195943	0.907419759067483	0.9978077013160715	1.0	17.08473850127858	1.0000588056025834	0.40131010613896884	0.27861648774248393	0.37037037037037035	17.268005137313285	0.687685929309957	0.23441075293113073	-0.02232624919586279	-0.01870747568583675	-0.037037037037037035													
38	validation	F094_split_safe_jepa_calibration_gate	0.4216445319628088	0.5164853481332111	0.5555555555555556	17.322252514239327	1.1889033055926344	0.43827827218223064	0.5422821609049676	0.5555555555555556	17.4211160573632	0.1111111111111111	0.1111111111111111	0.678200156732427	16.515329571205644	6.737017421405803	0.0	0.0	0.4200175818248056	0.3009427369383467	0.4074074074074074	17.32225251423932	0.582015594189295	0.23782353169077905	0.05737920509741887	0.999881805151337	0.23768484414110022	0.0	14.7583465740141	0.8942756136898405	0.9843632570242865	1.0	17.958558558195943	0.8942756136898405	0.9843632570242865	1.0	17.958558558195943	0.8569766824964542	0.4200175818248056	0.3009427369383467	0.4074074074074074	17.32225251423932	0.582015594189295	0.23782353169077905	0.0	0.0	0.0	0.0	JEPA_GATE_ABSTAIN_USE_RAW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	test	F082_delta_calibrated	0.5850056225846967	0.5456579818708479	0.6071428571428571	17.958558558195943	1.001943669195071	0.5972196984782749	0.5607919156594419	0.6071428571428571	17.998945259840447	0.14285714285714285	0.10714285714285714	0.5794313939325327	17.08992499291363	6.822158166898528	0.0	0.0	0.6563750831227909	0.3581235315295333	0.42857142857142855	17.958558558195943	0.507852018193481	0.2486916236086265	0.1516003818903588	0.999881805151337	0.20995838821299098	0.0	15.153487975132133	0.8942756136898405	0.9843632570242865	1.0	17.958558558195943	0.907419759067483	0.9978077013160715	1.0	17.08473850127858	1.0000588056025834	0.6471938951716438	0.3322952164773421	0.42857142857142855	17.08473850127858	0.6166173018828853	0.24160953798186724	-0.025828315052191186	-0.009181187951147085	0.0													
38	test	F094_split_safe_jepa_calibration_gate	0.5850056225846967	0.5456579818708479	0.6071428571428571	17.958558558195943	1.001943669195071	0.5972196984782749	0.5607919156594419	0.6071428571428571	17.998945259840447	0.14285714285714285	0.10714285714285714	0.5794313939325327	17.08992499291363	6.822158166898528	0.0	0.0	0.6563750831227909	0.3581235315295333	0.42857142857142855	17.958558558195943	0.507852018193481	0.2486916236086265	0.1516003818903588	0.999881805151337	0.20995838821299098	0.0	15.153487975132133	0.8942756136898405	0.9843632570242865	1.0	17.958558558195943	0.8942756136898405	0.9843632570242865	1.0	17.958558558195943	0.8569766824964542	0.6563750831227909	0.3581235315295333	0.42857142857142855	17.958558558195943	0.507852018193481	0.2486916236086265	0.0	0.0	0.0	0.0	JEPA_GATE_ABSTAIN_USE_RAW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
